country,code,gdp_23
Aruba,ABW,
Africa Eastern and Southern,AFE,1236163044999.97
Afghanistan,AFG,
Africa Western and Central,AFW,796586157553.094
Angola,AGO,84722957642.3757
Albania,ALB,22977677860.7979
Andorra,AND,3727673593.01922
Arab World,ARB,3491516939569.88
United Arab Emirates,ARE,504173451327.434
Argentina,ARG,640591410663.883
Armenia,ARM,24212134631.064
American Samoa,ASM,
Antigua and Barbuda,ATG,2033085185.18518
Australia,AUS,1723827215334.71
Austria,AUT,516034144115.95
Azerbaijan,AZE,72356176470.5882
Burundi,BDI,2642161668.92754
Belgium,BEL,632216577075.109
Benin,BEN,19673284686.0023
Burkina Faso,BFA,20324617838.9676
Bangladesh,BGD,437415331040.994
Bulgaria,BGR,101584384672.786
Bahrain,BHR,43205000000.0
"Bahamas, The",BHS,14338500000.0
Bosnia and Herzegovina,BIH,27054889362.8852
Belarus,BLR,71857382745.6066
Belize,BLZ,3281500000.0
Bermuda,BMU,
Bolivia,BOL,45849832906.4139
Brazil,BRA,2173665655937.27
Barbados,BRB,6393564189.61345
Brunei Darussalam,BRN,15128292953.5098
Bhutan,BTN,
Botswana,BWA,19395765126.3127
Central African Republic,CAF,2555492085.24831
Canada,CAN,2140085567791.45
Central Europe and the Baltics,CEB,2252970882003.43
Switzerland,CHE,884940402230.409
Channel Islands,CHI,
Chile,CHL,335533331669.219
China,CHN,17794781986104.5
Cote d'Ivoire,CIV,78788828906.8634
Cameroon,CMR,47945510090.0529
"Congo, Dem. Rep.",COD,66383287002.9969
"Congo, Rep.",COG,15321055818.3263
Colombia,COL,363540156234.868
Comoros,COM,1352380972.15662
Cabo Verde,CPV,2587252076.3056
Costa Rica,CRI,86497941439.0174
Caribbean small states,CSS,53252637669.8953
Cuba,CUB,
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,32229622669.1951
Czechia,CZE,330858339871.686
Germany,DEU,4456081016705.96
Djibouti,DJI,4098530513.55777
Dominica,DMA,653992592.592593
Denmark,DNK,404198757537.974
Dominican Republic,DOM,121444279313.931
Algeria,DZA,239899491127.742
East Asia & Pacific (excluding high income),EAP,21150247849983.1
Early-demographic dividend,EAR,14847823837515.2
East Asia & Pacific,EAS,30775659199419.9
Europe & Central Asia (excluding high income),ECA,2098349713814.25
Europe & Central Asia,ECS,27240628835585.3
Ecuador,ECU,118844826000.0
"Egypt, Arab Rep.",EGY,395926075163.006
Euro area,EMU,15544858680873.8
Eritrea,ERI,
Spain,ESP,1580694712515.71
Estonia,EST,40744848827.9537
Ethiopia,ETH,163697927593.982
European Union,EUU,18349388450765.6
Fragile and conflict affected situations,FCS,1906801170087.86
Finland,FIN,300187202696.084
Fiji,FJI,5494797540.73365
France,FRA,3030904089607.9
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,460000000.0
Gabon,GAB,20516134388.6608
United Kingdom,GBR,3340032380668.04
Georgia,GEO,30535530479.0227
Ghana,GHA,76370394412.4163
Gibraltar,GIB,
Guinea,GIN,23612295818.0961
"Gambia, The",GMB,2339904156.79214
Guinea-Bissau,GNB,1966461400.35833
Equatorial Guinea,GNQ,12116922539.4112
Greece,GRC,238206312632.528
Grenada,GRD,1320334235.58897
Greenland,GRL,
Guatemala,GTM,102050473863.636
Guam,GUM,
Guyana,GUY,16786302158.2734
High income,HIC,67653743404264.1
"Hong Kong SAR, China",HKG,382054574298.529
Honduras,HND,34400509852.0436
Heavily indebted poor countries (HIPC),HPC,1130472157492.99
