iso_code;variable;value
ABW;region;Americas
AFG;region;Asia
AGO;region;Africa
AIA;region;Americas
ALA;region;Europe
ALB;region;Europe
AND;region;Europe
ARE;region;Asia
ARG;region;Americas
ARM;region;Asia
ASM;region;Oceania
ATA;region;
ATF;region;Africa
ATG;region;Americas
AUS;region;Oceania
AUT;region;Europe
AZE;region;Asia
BDI;region;Africa
BEL;region;Europe
BEN;region;Africa
BES;region;Americas
BFA;region;Africa
BGD;region;Asia
BGR;region;Europe
BHR;region;Asia
BHS;region;Americas
BIH;region;Europe
BLM;region;Americas
BLR;region;Europe
BLZ;region;Americas
BMU;region;Americas
BOL;region;Americas
BRA;region;Americas
BRB;region;Americas
BRN;region;Asia
BTN;region;Asia
BVT;region;Americas
BWA;region;Africa
CAF;region;Africa
CAN;region;Americas
CCK;region;Oceania
CHE;region;Europe
CHL;region;Americas
CHN;region;Asia
CIV;region;Africa
CMR;region;Africa
COD;region;Africa
COG;region;Africa
COK;region;Oceania
COL;region;Americas
COM;region;Africa
CPV;region;Africa
CRI;region;Americas
CUB;region;Americas
CUW;region;Americas
CXR;region;Oceania
CYM;region;Americas
CYP;region;Asia
CZE;region;Europe
DEU;region;Europe
DJI;region;Africa
DMA;region;Americas
DNK;region;Europe
DOM;region;Americas
DZA;region;Africa
ECU;region;Americas
EGY;region;Africa
ERI;region;Africa
ESH;region;Africa
ESP;region;Europe
EST;region;Europe
ETH;region;Africa
FIN;region;Europe
FJI;region;Oceania
FLK;region;Americas
FRA;region;Europe
FRO;region;Europe
FSM;region;Oceania
GAB;region;Africa
GBR;region;Europe
GEO;region;Asia
GGY;region;Europe
GHA;region;Africa
GIB;region;Europe
GIN;region;Africa
GLP;region;Americas
GMB;region;Africa
GNB;region;Africa
GNQ;region;Africa
GRC;region;Europe
GRD;region;Americas
GRL;region;Americas
GTM;region;Americas
GUF;region;Americas
GUM;region;Oceania
GUY;region;Americas
HKG;region;Asia
HMD;region;Oceania
HND;region;Americas
HRV;region;Europe
HTI;region;Americas
HUN;region;Europe
IDN;region;Asia
IMN;region;Europe
IND;region;Asia
IOT;region;Africa
IRL;region;Europe
IRN;region;Asia
IRQ;region;Asia
ISL;region;Europe
ISR;region;Asia
ITA;region;Europe
JAM;region;Americas
JEY;region;Europe
JOR;region;Asia
JPN;region;Asia
KAZ;region;Asia
KEN;region;Africa
KGZ;region;Asia
KHM;region;Asia
KIR;region;Oceania
KNA;region;Americas
KOR;region;Asia
KWT;region;Asia
LAO;region;Asia
LBN;region;Asia
LBR;region;Africa
LBY;region;Africa
LCA;region;Americas
LIE;region;Europe
LKA;region;Asia
LSO;region;Africa
LTU;region;Europe
LUX;region;Europe
LVA;region;Europe
MAC;region;Asia
MAF;region;Americas
MAR;region;Africa
MCO;region;Europe
MDA;region;Europe
MDG;region;Africa
MDV;region;Asia
MEX;region;Americas
MHL;region;Oceania
MKD;region;Europe
MLI;region;Africa
MLT;region;Europe
MMR;region;Asia
MNE;region;Europe
MNG;region;Asia
MNP;region;Oceania
MOZ;region;Africa
MRT;region;Africa
MSR;region;Americas
MTQ;region;Americas
MUS;region;Africa
MWI;region;Africa
MYS;region;Asia
MYT;region;Africa
NAM;region;Africa
NCL;region;Oceania
NER;region;Africa
NFK;region;Oceania
NGA;region;Africa
NIC;region;Americas
NIU;region;Oceania
NLD;region;Europe
NOR;region;Europe
NPL;region;Asia
NRU;region;Oceania
NZL;region;Oceania
OMN;region;Asia
PAK;region;Asia
PAN;region;Americas
PCN;region;Oceania
PER;region;Americas
PHL;region;Asia
PLW;region;Oceania
PNG;region;Oceania
POL;region;Europe
PRI;region;Americas
PRK;region;Asia
PRT;region;Europe
PRY;region;Americas
PSE;region;Asia
PYF;region;Oceania
QAT;region;Asia
REU;region;Africa
ROU;region;Europe
RUS;region;Europe
RWA;region;Africa
SAU;region;Asia
SDN;region;Africa
SEN;region;Africa
SGP;region;Asia
SGS;region;Americas
SHN;region;Africa
SJM;region;Europe
SLB;region;Oceania
SLE;region;Africa
SLV;region;Americas
SMR;region;Europe
SOM;region;Africa
SPM;region;Americas
SRB;region;Europe
SSD;region;Africa
STP;region;Africa
SUR;region;Americas
SVK;region;Europe
SVN;region;Europe
SWE;region;Europe
SWZ;region;Africa
SXM;region;Americas
SYC;region;Africa
SYR;region;Asia
TCA;region;Americas
TCD;region;Africa
TGO;region;Africa
THA;region;Asia
TJK;region;Asia
TKL;region;Oceania
TKM;region;Asia
TLS;region;Asia
TON;region;Oceania
TTO;region;Americas
TUN;region;Africa
TUR;region;Asia
TUV;region;Oceania
TWN;region;Asia
TZA;region;Africa
UGA;region;Africa
UKR;region;Europe
UMI;region;Oceania
URY;region;Americas
USA;region;Americas
UZB;region;Asia
VAT;region;Europe
VCT;region;Americas
VEN;region;Americas
VGB;region;Americas
VIR;region;Americas
VNM;region;Asia
VUT;region;Oceania
WLF;region;Oceania
WSM;region;Oceania
YEM;region;Asia
ZAF;region;Africa
ZMB;region;Africa
ZWE;region;Africa
