Rank,Name,Industry,Revenue,Profit,Employees,Headquarters
1.0,Walmart,Retail,648125.0,15511.0,2100000,United States
2.0,Amazon,Retail,574785.0,30425.0,1525000,United States
3.0,State Grid Corporation of China,Electricity,545948.0,9204.0,1361423,China
4.0,Saudi Aramco,Oil and gas,494890.0,129699.0,73311,Saudi Arabia
5.0,China Petrochemical Corporation,Oil and gas,429700.0,9393.0,513434,China
6.0,China National Petroleum Corporation,Oil and gas,476000.0,25250.0,1026301,China
7.0,Vitol,Commodities,400000.0,13000.0,1560,Switzerland
8.0,Apple,Information technology,383482.0,96995.0,161000,United States
9.0,UnitedHealth Group,Healthcare,371622.0,22381.0,440000,United States
10.0,Berkshire Hathaway,Financials,364482.0,96223.0,396500,United States
11.0,CVS Health,Healthcare,357776.0,8344.0,259500,United States
12.0,Volkswagen Group,Automotive,348408.0,17945.0,684025,Germany
13.0,ExxonMobil,Oil and gas,344582.0,36010.0,61500,United States
14.0,Shell,Oil and gas,323183.0,19359.0,103000,United Kingdom
15.0,China State Construction Engineering,Construction,320431.0,4272.0,382894,China
16.0,Toyota,Automotive,312018.0,34214.0,380793,Japan
17.0,McKesson,Healthcare,308951.0,3002.0,48000,United States
18.0,Alphabet,Information technology,307394.0,73795.0,182502,United States
19.0,Cencora,Healthcare,262173.0,1745.0,44000,United States
20.0,Microsoft,Information technology,245122.0,88136.0,228000,United States
