Rank,Name,Industry,Revenue,Profit,Employees,Headquarters
41.0,Bank of America,Financials,171912.0,26515.0,212985,United States
42.0,General Motors,Automotive,171842.0,10127.0,163000,United States
43.0,Elevance Health,Healthcare,171340.0,5987.0,104900,United States
44.0,BMW Group,Automotive,168103.0,12205.0,154950,Germany
45.0,Tata Group,Conglomerate,165500.0,12205.0,154950,India
46.0,Mercedes-Benz Group,Automotive,165638.0,15417.0,166056,Germany
47.0,China Railway Construction Corporation,Construction,160847.0,1701.0,336433,China
48.0,Baowu,Steel,157216.0,2494.0,258697,China
49.0,Citigroup,Financials,156820.0,9228.0,237925,United States
50.0,Centene Corporation,Healthcare,153999.0,2702.0,67700,United States
,Logistics Experts,Consulting,,,4,Switzerland
