country,code,year,books_pc
Algeria,DZA,1953,10.59620991
Algeria,DZA,1954,8.115622229
Algeria,DZA,1963,12.59660576
Algeria,DZA,1964,13.60560854
Algeria,DZA,1965,10.9503472
Algeria,DZA,1966,15.88441334
Algeria,DZA,1967,20.21864505
Algeria,DZA,1968,21.98342693
Algeria,DZA,1979,14.09769384
Algeria,DZA,1980,14.62294523
Algeria,DZA,1982,25.15754287
Algeria,DZA,1983,10.05754949
Algeria,DZA,1984,33.64487488
Algeria,DZA,1985,32.62383312
Algeria,DZA,1991,19.23145949
Algeria,DZA,1992,19.24067768
Algeria,DZA,1994,11.73628914
Algeria,DZA,1996,23.42326141
Argentina,ARG,1938,61.3523754
Argentina,ARG,1939,77.94622426
Argentina,ARG,1940,111.6521985
Argentina,ARG,1941,97.00041661
Argentina,ARG,1942,91.47424512
Argentina,ARG,1943,139.4770451
Argentina,ARG,1944,105.6179775
Argentina,ARG,1945,93.0474334
Argentina,ARG,1946,129.6154338
Argentina,ARG,1947,86.8147033
Argentina,ARG,1950,210.7830424
Argentina,ARG,1951,202.3137985
Argentina,ARG,1952,238.1277886
Argentina,ARG,1953,252.8685496
Argentina,ARG,1954,171.308086
Argentina,ARG,1955,138.2620852
Argentina,ARG,1957,130.5420586
Argentina,ARG,1958,131.5015101
Argentina,ARG,1959,182.484721
Argentina,ARG,1960,197.0798519
Argentina,ARG,1961,176.749258
Argentina,ARG,1962,156.1282597
Argentina,ARG,1963,184.5357898
Argentina,ARG,1964,151.2124973
Argentina,ARG,1965,158.8199128
Argentina,ARG,1966,160.0947903
Argentina,ARG,1967,158.9327741
Argentina,ARG,1969,186.2286084
Argentina,ARG,1970,193.094882
Argentina,ARG,1971,181.0061281
Argentina,ARG,1972,184.7472613
Argentina,ARG,1973,171.044397
Argentina,ARG,1974,186.9660234
Argentina,ARG,1975,197.1100243
Argentina,ARG,1976,253.2482413
Argentina,ARG,1977,195.8580525
Argentina,ARG,1978,168.6207775
Argentina,ARG,1979,159.5227807
Argentina,ARG,1980,165.5986354
Argentina,ARG,1981,147.3585691
Argentina,ARG,1982,169.1783157
Argentina,ARG,1983,141.5525114
Argentina,ARG,1986,154.6957778
Argentina,ARG,1987,152.916996
Argentina,ARG,1990,148.7770917
Argentina,ARG,1991,181.8290353
Argentina,ARG,1992,165.6902288
Argentina,ARG,1994,260.1371711
Argentina,ARG,1995,258.3489256
Argentina,ARG,1996,276.0418126
Armenia,ARM,1924,192.2646098
Armenia,ARM,1925,251.1995938
Armenia,ARM,1926,324.2565491
Armenia,ARM,1927,352.4960912
Armenia,ARM,1928,290.1759074
Armenia,ARM,1929,327.9692052
Armenia,ARM,1930,437.6621807
Armenia,ARM,1931,471.9739793
Armenia,ARM,1932,459.9865992
Armenia,ARM,1933,395.4816803
Armenia,ARM,1934,503.9076242
Armenia,ARM,1935,413.4226638
Armenia,ARM,1936,450.8251556
Armenia,ARM,1937,418.5701743
Armenia,ARM,1938,478.1662131
Armenia,ARM,1939,530.203347
