"CubeId";"devkum"
"PublishingDate";"2022-10-03 14:30"

"Date";"D0";"D1";"Value"
"2019-09";"M0";"EUR1";"1.09055"
"2019-09";"M0";"GBP1";"1.22218"
"2019-09";"M0";"DKK100";"14.61206"
"2019-09";"M0";"NOK100";"10.98585"
"2019-09";"M0";"CZK100";"4.21641"
"2019-09";"M0";"HUF100";"0.32808"
"2019-09";"M0";"PLN100";"25.04754"
"2019-09";"M0";"RUB1";"0.01525"
"2019-09";"M0";"SEK100";"10.19374"
"2019-09";"M0";"TRY100";"17.33105"
"2019-09";"M0";"USD1";"0.9905"
"2019-09";"M0";"CAD1";"0.74765"
"2019-09";"M0";"ARS1";"0.01749"
"2019-09";"M0";"BRL100";"24.03376"
"2019-09";"M0";"MXN100";"5.05672"
"2019-09";"M0";"ZAR1";"0.06672"
"2019-09";"M0";"JPY100";"0.9221"
"2019-09";"M0";"AUD1";"0.67432"
"2019-09";"M0";"CNY100";"13.91616"
"2019-09";"M0";"HKD100";"12.64053"
"2019-09";"M0";"KRW100";"0.08286"
"2019-09";"M0";"MYR100";"23.66584"
"2019-09";"M0";"NZD1";"0.62836"
"2019-09";"M0";"SGD1";"0.71773"
"2019-09";"M0";"THB100";"3.2406"
"2019-09";"M0";"XDR1";"1.35562"
"2019-09";"M0";"USD3M";"0.9827"
"2019-09";"M0";"USD6M";"0.9749"
"2019-10";"M0";"EUR1";"1.0979"
"2019-10";"M0";"GBP1";"1.25433"
"2019-10";"M0";"DKK100";"14.69907"
"2019-10";"M0";"NOK100";"10.85341"
"2019-10";"M0";"CZK100";"4.27289"
"2019-10";"M0";"HUF100";"0.3311"
"2019-10";"M0";"PLN100";"25.51566"
"2019-10";"M0";"RUB1";"0.01544"
"2019-10";"M0";"SEK100";"10.16586"
"2019-10";"M0";"TRY100";"17.15"
"2019-10";"M0";"USD1";"0.99361"
"2019-10";"M0";"CAD1";"0.75311"
"2019-10";"M0";"ARS1";"0.01703"
"2019-10";"M0";"BRL100";"24.28246"
"2019-10";"M0";"MXN100";"5.13768"
"2019-10";"M0";"ZAR1";"0.06663"
"2019-10";"M0";"JPY100";"0.91897"
"2019-10";"M0";"AUD1";"0.67492"
"2019-10";"M0";"CNY100";"14.00003"
"2019-10";"M0";"HKD100";"12.67011"
"2019-10";"M0";"KRW100";"0.08393"
"2019-10";"M0";"MYR100";"23.72637"
"2019-10";"M0";"NZD1";"0.62917"
"2019-10";"M0";"SGD1";"0.72468"
"2019-10";"M0";"THB100";"3.27296"
"2019-10";"M0";"XDR1";"1.36302"
"2019-10";"M0";"USD3M";"0.986"
"2019-10";"M0";"USD6M";"0.9795"
"2019-11";"M0";"EUR1";"1.09778"
"2019-11";"M0";"GBP1";"1.27973"
"2019-11";"M0";"DKK100";"14.6921"
"2019-11";"M0";"NOK100";"10.85294"
"2019-11";"M0";"CZK100";"4.29952"
"2019-11";"M0";"HUF100";"0.32911"
"2019-11";"M0";"PLN100";"25.61498"
"2019-11";"M0";"RUB1";"0.01555"
"2019-11";"M0";"SEK100";"10.30513"
"2019-11";"M0";"TRY100";"17.2959"
"2019-11";"M0";"USD1";"0.99306"
"2019-11";"M0";"CAD1";"0.7502"
"2019-11";"M0";"ARS1";"0.01664"
"2019-11";"M0";"BRL100";"23.93489"
"2019-11";"M0";"MXN100";"5.1454"
"2019-11";"M0";"ZAR1";"0.06713"
"2019-11";"M0";"JPY100";"0.91219"
"2019-11";"M0";"AUD1";"0.67832"
"2019-11";"M0";"CNY100";"14.14842"
"2019-11";"M0";"HKD100";"12.68511"
"2019-11";"M0";"KRW100";"0.08499"
"2019-11";"M0";"MYR100";"23.89206"
"2019-11";"M0";"NZD1";"0.63591"
"2019-11";"M0";"SGD1";"0.72933"
"2019-11";"M0";"THB100";"3.28394"
"2019-11";"M0";"XDR1";"1.36574"
"2019-11";"M0";"USD3M";"0.986"
"2019-11";"M0";"USD6M";"0.9797"
"2019-12";"M0";"EUR1";"1.09305"
"2019-12";"M0";"GBP1";"1.29006"
"2019-12";"M0";"DKK100";"14.62927"
"2019-12";"M0";"NOK100";"10.8823"
"2019-12";"M0";"CZK100";"4.2871"
"2019-12";"M0";"HUF100";"0.33039"
"2019-12";"M0";"PLN100";"25.58311"
"2019-12";"M0";"RUB1";"0.01562"
"2019-12";"M0";"SEK100";"10.42864"
"2019-12";"M0";"TRY100";"16.82328"
"2019-12";"M0";"USD1";"0.98355"
"2019-12";"M0";"CAD1";"0.74641"
"2019-12";"M0";"ARS1";"0.01644"
"2019-12";"M0";"BRL100";"23.89135"
"2019-12";"M0";"MXN100";"5.13994"
"2019-12";"M0";"ZAR1";"0.06816"
"2019-12";"M0";"JPY100";"0.90135"
"2019-12";"M0";"AUD1";"0.67644"
"2019-12";"M0";"CNY100";"14.01753"
"2019-12";"M0";"HKD100";"12.59991"
"2019-12";"M0";"KRW100";"0.08367"
"2019-12";"M0";"MYR100";"23.70972"
"2019-12";"M0";"NZD1";"0.64797"
"2019-12";"M0";"SGD1";"0.72472"
"2019-12";"M0";"THB100";"3.25624"
"2019-12";"M0";"XDR1";"1.35506"
"2019-12";"M0";"USD3M";"0.9765"
"2019-12";"M0";"USD6M";"0.9702"
"2020-01";"M0";"EUR1";"1.07638"
"2020-01";"M0";"GBP1";"1.26692"
"2020-01";"M0";"DKK100";"14.40388"
"2020-01";"M0";"NOK100";"10.82823"
"2020-01";"M0";"CZK100";"4.26998"
"2020-01";"M0";"HUF100";"0.32182"
"2020-01";"M0";"PLN100";"25.32432"
"2020-01";"M0";"RUB1";"0.01567"
"2020-01";"M0";"SEK100";"10.19394"
"2020-01";"M0";"TRY100";"16.3683"
"2020-01";"M0";"USD1";"0.97017"
"2020-01";"M0";"CAD1";"0.74131"
"2020-01";"M0";"ARS1";"0.01619"
"2020-01";"M0";"BRL100";"23.40454"
"2020-01";"M0";"MXN100";"5.15905"
"2020-01";"M0";"ZAR1";"0.06725"
"2020-01";"M0";"JPY100";"0.8875"
"2020-01";"M0";"AUD1";"0.66473"
"2020-01";"M0";"CNY100";"14.03277"
"2020-01";"M0";"HKD100";"12.48193"
"2020-01";"M0";"KRW100";"0.0831"
"2020-01";"M0";"MYR100";"23.79051"
"2020-01";"M0";"NZD1";"0.64036"
"2020-01";"M0";"SGD1";"0.71778"
"2020-01";"M0";"THB100";"3.18409"
"2020-01";"M0";"XDR1";"1.3379"
"2020-01";"M0";"USD3M";"0.9636"
"2020-01";"M0";"USD6M";"0.9575"
"2020-02";"M0";"EUR1";"1.06504"
"2020-02";"M0";"GBP1";"1.26605"
"2020-02";"M0";"DKK100";"14.2549"
"2020-02";"M0";"NOK100";"10.50356"
"2020-02";"M0";"CZK100";"4.24988"
"2020-02";"M0";"HUF100";"0.3156"
