Date,TradeStat,Sector,Measure,Value
1997-01-01,E,GT,WMF,8871.63893961
1997-01-01,E,GT,N,
1997-01-01,E,GT,R,
1997-01-01,E,CHEM,WMF,1358.07436856
1997-01-01,E,CHEM,N,
1997-01-01,E,CHEM,R,
1997-01-01,E,ME,WMF,1831.44908908
1997-01-01,E,ME,N,
1997-01-01,E,ME,R,
1997-01-01,E,UHR,WMF,92.12756856
1997-01-01,E,UHR,N,
1997-01-01,E,UHR,R,
1997-01-01,E,PI,WMF,278.67308009
1997-01-01,E,PI,N,
1997-01-01,E,PI,R,
1997-01-01,E,MET,WMF,690.17565887
1997-01-01,E,MET,N,
1997-01-01,E,MET,R,
1997-01-01,E,FZ,WMF,937.34285183
1997-01-01,E,FZ,N,
1997-01-01,E,FZ,R,
1997-01-01,E,TBS,WMF,692.96662513
1997-01-01,E,TBS,N,
1997-01-01,E,TBS,R,
1997-01-01,A,GT,WMF,8178.23802043
1997-01-01,A,GT,N,
1997-01-01,A,GT,R,
1997-01-01,A,CHEM,WMF,2513.17805166
1997-01-01,A,CHEM,N,
1997-01-01,A,CHEM,R,
1997-01-01,A,ME,WMF,2324.87292965
1997-01-01,A,ME,N,
1997-01-01,A,ME,R,
1997-01-01,A,UHR,WMF,673.00163304
1997-01-01,A,UHR,N,
1997-01-01,A,UHR,R,
1997-01-01,A,PI,WMF,463.53237954
1997-01-01,A,PI,N,
1997-01-01,A,PI,R,
1997-01-01,A,MET,WMF,698.68366598
1997-01-01,A,MET,N,
1997-01-01,A,MET,R,
1997-01-01,A,FZ,WMF,166.08169771
1997-01-01,A,FZ,N,
1997-01-01,A,FZ,R,
1997-01-01,A,TBS,WMF,326.34418555
1997-01-01,A,TBS,N,
1997-01-01,A,TBS,R,
1997-01-01,H,GT,WMF,-693.40091918
1997-02-01,E,GT,WMF,8460.80174495
1997-02-01,E,GT,N,
1997-02-01,E,GT,R,
1997-02-01,E,CHEM,WMF,1284.07144099
1997-02-01,E,CHEM,N,
1997-02-01,E,CHEM,R,
1997-02-01,E,ME,WMF,1881.73150595
1997-02-01,E,ME,N,
1997-02-01,E,ME,R,
1997-02-01,E,UHR,WMF,93.72959444
1997-02-01,E,UHR,N,
1997-02-01,E,UHR,R,
1997-02-01,E,PI,WMF,272.01869182
1997-02-01,E,PI,N,
1997-02-01,E,PI,R,
1997-02-01,E,MET,WMF,706.41309351
1997-02-01,E,MET,N,
1997-02-01,E,MET,R,
1997-02-01,E,FZ,WMF,964.97411512
1997-02-01,E,FZ,N,
1997-02-01,E,FZ,R,
1997-02-01,E,TBS,WMF,714.16800335
1997-02-01,E,TBS,N,
1997-02-01,E,TBS,R,
1997-02-01,A,GT,WMF,8233.52836614
1997-02-01,A,GT,N,
1997-02-01,A,GT,R,
1997-02-01,A,CHEM,WMF,2279.81943548
1997-02-01,A,CHEM,N,
1997-02-01,A,CHEM,R,
1997-02-01,A,ME,WMF,2454.72817902
1997-02-01,A,ME,N,
1997-02-01,A,ME,R,
1997-02-01,A,UHR,WMF,686.01045927
1997-02-01,A,UHR,N,
1997-02-01,A,UHR,R,
1997-02-01,A,PI,WMF,459.72528508
1997-02-01,A,PI,N,
1997-02-01,A,PI,R,
1997-02-01,A,MET,WMF,750.57276407
1997-02-01,A,MET,N,
1997-02-01,A,MET,R,
1997-02-01,A,FZ,WMF,252.96231757
1997-02-01,A,FZ,N,
1997-02-01,A,FZ,R,
1997-02-01,A,TBS,WMF,329.65942739
1997-02-01,A,TBS,N,
1997-02-01,A,TBS,R,
1997-02-01,H,GT,WMF,-227.27337881
1997-03-01,E,GT,WMF,8409.16877467
1997-03-01,E,GT,N,
1997-03-01,E,GT,R,
1997-03-01,E,CHEM,WMF,1382.9263696
1997-03-01,E,CHEM,N,
1997-03-01,E,CHEM,R,
1997-03-01,E,ME,WMF,1873.08921723
1997-03-01,E,ME,N,
1997-03-01,E,ME,R,
1997-03-01,E,UHR,WMF,98.00484115
1997-03-01,E,UHR,N,
1997-03-01,E,UHR,R,
1997-03-01,E,PI,WMF,271.29171905
1997-03-01,E,PI,N,
1997-03-01,E,PI,R,
1997-03-01,E,MET,WMF,711.34462243
1997-03-01,E,MET,N,
1997-03-01,E,MET,R,
1997-03-01,E,FZ,WMF,855.64284533
1997-03-01,E,FZ,N,
1997-03-01,E,FZ,R,
1997-03-01,E,TBS,WMF,708.73320179
1997-03-01,E,TBS,N,
1997-03-01,E,TBS,R,
1997-03-01,A,GT,WMF,8444.56335514
1997-03-01,A,GT,N,
1997-03-01,A,GT,R,
1997-03-01,A,CHEM,WMF,2344.63212323
1997-03-01,A,CHEM,N,
1997-03-01,A,CHEM,R,
1997-03-01,A,ME,WMF,2548.90100437
1997-03-01,A,ME,N,
1997-03-01,A,ME,R,
1997-03-01,A,UHR,WMF,761.35447028
1997-03-01,A,UHR,N,
1997-03-01,A,UHR,R,
1997-03-01,A,PI,WMF,486.2072436
1997-03-01,A,PI,N,
1997-03-01,A,PI,R,
1997-03-01,A,MET,WMF,728.41723336
1997-03-01,A,MET,N,
1997-03-01,A,MET,R,
1997-03-01,A,FZ,WMF,209.4343401
1997-03-01,A,FZ,N,
1997-03-01,A,FZ,R,
1997-03-01,A,TBS,WMF,329.11794988
1997-03-01,A,TBS,N,
1997-03-01,A,TBS,R,
1997-03-01,H,GT,WMF,35.39458048
1997-04-01,E,GT,WMF,8668.68694101
1997-04-01,E,GT,N,
1997-04-01,E,GT,R,
1997-04-01,E,CHEM,WMF,1449.90510363
1997-04-01,E,CHEM,N,
1997-04-01,E,CHEM,R,
1997-04-01,E,ME,WMF,1920.15613544
1997-04-01,E,ME,N,
1997-04-01,E,ME,R,
1997-04-01,E,UHR,WMF,98.5385278
1997-04-01,E,UHR,N,
1997-04-01,E,UHR,R,
1997-04-01,E,PI,WMF,279.72030946
1997-04-01,E,PI,N,
1997-04-01,E,PI,R,
1997-04-01,E,MET,WMF,753.09705011
1997-04-01,E,MET,N,
1997-04-01,E,MET,R,
1997-04-01,E,FZ,WMF,997.49936278
1997-04-01,E,FZ,N,
1997-04-01,E,FZ,R,
1997-04-01,E,TBS,WMF,696.01640461
1997-04-01,E,TBS,N,
1997-04-01,E,TBS,R,
1997-04-01,A,GT,WMF,8410.48854756
1997-04-01,A,GT,N,
1997-04-01,A,GT,R,
1997-04-01,A,CHEM,WMF,2510.53819254
1997-04-01,A,CHEM,N,
1997-04-01,A,CHEM,R,
1997-04-01,A,ME,WMF,2507.28698582
1997-04-01,A,ME,N,
1997-04-01,A,ME,R,
1997-04-01,A,UHR,WMF,655.13902852
1997-04-01,A,UHR,N,
1997-04-01,A,UHR,R,
1997-04-01,A,PI,WMF,464.17589144
1997-04-01,A,PI,N,
1997-04-01,A,PI,R,
1997-04-01,A,MET,WMF,746.09123879
1997-04-01,A,MET,N,
1997-04-01,A,MET,R,
1997-04-01,A,FZ,WMF,196.55988503
1997-04-01,A,FZ,N,
1997-04-01,A,FZ,R,
1997-04-01,A,TBS,WMF,324.28547404
1997-04-01,A,TBS,N,
1997-04-01,A,TBS,R,
1997-04-01,H,GT,WMF,-258.19839345
1997-05-01,E,GT,WMF,8277.24512306
1997-05-01,E,GT,N,
1997-05-01,E,GT,R,
1997-05-01,E,CHEM,WMF,1365.64464529
1997-05-01,E,CHEM,N,
1997-05-01,E,CHEM,R,
1997-05-01,E,ME,WMF,1865.97914209
1997-05-01,E,ME,N,
1997-05-01,E,ME,R,
1997-05-01,E,UHR,WMF,107.5163396
1997-05-01,E,UHR,N,
1997-05-01,E,UHR,R,
1997-05-01,E,PI,WMF,263.6197933
1997-05-01,E,PI,N,
1997-05-01,E,PI,R,
1997-05-01,E,MET,WMF,700.35567282
1997-05-01,E,MET,N,
1997-05-01,E,MET,R,
1997-05-01,E,FZ,WMF,896.99548792
1997-05-01,E,FZ,N,
1997-05-01,E,FZ,R,
1997-05-01,E,TBS,WMF,692.37650446
1997-05-01,E,TBS,N,
1997-05-01,E,TBS,R,
1997-05-01,A,GT,WMF,8193.48808489
1997-05-01,A,GT,N,
1997-05-01,A,GT,R,
