Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1910,-0.88,-0.97,-2.42,-0.89,-0.39,-0.63,-0.52,-0.26,0.04,-2.40,-1.94,-2.18
1911,-1.12,-1.80,-1.51,-1.81,-1.46,-2.31,-0.91,-0.94,-1.20,-1.05,-0.22,-1.27
1912,-0.45,-0.02,-0.42,-1.65,-1.01,-1.37,-0.96,-0.59,-0.61,-0.68,-1.40,-0.84
1913,-1.15,-1.38,-2.27,-1.11,-3.32,-2.62,-0.89,-1.22,-1.85,-0.84,-0.87,-0.38
1914,-1.07,-0.17,-0.34,-0.30,-0.76,-0.95,-1.54,0.14,-0.71,-0.34,0.24,-0.26
1915,-1.47,0.24,-0.43,-0.51,-1.70,0.17,0.55,-1.22,0.15,-1.12,-0.27,-1.04
1916,-0.83,-0.77,-0.67,-2.15,-0.26,-0.04,-1.22,-0.56,-0.54,-1.83,-3.19,-2.36
1917,-2.02,-3.48,-2.01,-2.30,-3.02,-2.07,0.11,-1.45,-0.88,-1.36,-2.38,-1.53
1918,-1.63,-1.89,-2.37,-1.46,-1.04,-0.41,-2.02,-0.69,-0.86,-0.81,-0.47,-0.37
1919,-0.68,-1.08,-1.18,-0.04,-0.98,-0.27,-1.25,-1.04,-1.22,-1.21,-0.29,-0.10
1920,-1.42,-1.11,-1.64,-1.49,-1.54,-0.33,-0.73,-0.82,-0.89,-1.04,-0.99,-1.93
1921,-1.30,-0.88,-1.84,-1.54,0.70,0.39,0.02,-1.83,-0.71,-1.68,-0.41,-1.19
1922,-1.19,-0.66,-1.11,0.36,-1.39,-1.12,-2.32,-2.01,-0.99,-0.74,-0.39,-1.57
1923,-1.02,0.44,-0.18,-0.14,-0.08,-1.21,-1.63,-2.11,-1.81,-1.66,-1.63,-1.06
1924,-1.80,-1.59,-1.61,-2.78,-0.72,-1.30,-0.05,-0.87,-0.25,-1.45,-1.46,-1.84
1925,-2.20,-1.24,-1.30,-1.08,-1.07,-1.14,-1.99,-1.89,-2.61,-1.69,-0.49,-0.04
1926,-1.16,0.52,-0.68,-0.60,-2.22,-1.38,-0.05,-0.66,-0.76,-0.37,-0.42,-1.72
1927,-1.11,-1.85,-0.72,-1.95,-2.01,-0.52,-1.30,-1.05,-0.67,-0.58,-0.51,-1.39
1928,-1.47,-0.97,-0.27,0.40,-1.51,-1.56,-0.70,0.54,0.77,-0.46,-0.09,-0.40
1929,-0.77,-0.11,-1.59,-2.47,-1.92,-1.81,-2.57,-0.71,-2.09,-1.22,-0.58,-1.93
1930,-1.24,-0.58,-0.94,-1.19,-0.96,-0.70,0.33,-0.76,-0.91,-1.02,-0.76,-1.72
1931,-1.47,-1.07,-1.04,-1.69,-0.91,-0.60,-0.70,-0.99,-0.70,-2.24,-2.34,-0.81
