Charger ID;Charger Status;ChargingStationId;OperatorID;OperatorName;IsOpen24Hours;Accessibility;GeoCoordinates;address_country;address_canton;address_region;address_city;address_postalcode;address_street;address_timezone;address_floor;Plugs;PaymentOptions;MaxCapacity;ChargingFacilities (Power);AuthenticationModes;DynamicInfoAvailable;ValueAddedServices;IsHubjectCompatible;lastUpdate;ClearinghouseID;HubOperatorID;AdditionalInfo;deltaType;ChargingPoolID;OpeningTimes;GeoChargingPointEntrance;AccessibilityLocation;CalibrationLawDataAvailability;ChargingStationNames;HotlinePhoneNumber;RenewableEnergy;ChargingStationLocationReference;EnergySource;EnvironmentalImpact;LocationImage;SuboperatorName;DynamicPowerLevel;HardwareManufacturer
CH*SWI*E159969;Occupied;CH*SWI*E159969;CH*SWISSCHARGE;Swisscharge;1;Free publicly accessible;47.225409, 8.81996;CHE;St. Gallen;;Rapperswil-Jona;0;Güterstrasse 777 0;;;Type 2 Outlet;Direct;;22;NFC RFID Classic,REMOTE;true;None;1;2024-11-21T03:15:02.964Z;;CH*SWISSCHARGE;;insert;;;;OnStreet;Not Available;"[{""lang"": ""de"", ""value"": ""Energie 360° SBB Rapperswil""}]";+41713881150;0;;;;;;;
CH*SWI*E117866;Occupied;CH*SWI*E117866;CH*SWISSCHARGE;Swisscharge;1;Free publicly accessible;47.303485, 9.0859142;CHE;St. Gallen;;Wattwil;0;Grünaustrasse 4 0;;;Type 2 Outlet;Direct;;22;NFC RFID Classic,REMOTE;true;None;1;2024-11-21T03:15:03.094Z;;CH*SWISSCHARGE;;insert;;;;OnStreet;Not Available;"[{""lang"": ""de"", ""value"": ""Energie 360° Coop Wattwil""}]";+41713881150;0;;;;;;;
CH*SWI*E134827;Occupied;CH*SWI*E134827;CH*SWISSCHARGE;Swisscharge;1;Free publicly accessible;47.47863876, 9.50692861;CHE;St. Gallen;;Rorschach;0;Churerstrasse 10 0;;;Type 2 Outlet;Direct;;22;NFC RFID Classic,REMOTE;true;None;1;2024-11-21T03:15:03.095Z;;CH*SWISSCHARGE;;insert;;;;OnStreet;Not Available;"[{""lang"": ""de"", ""value"": ""Ladestation WHR 1""}]";+41713881150;0;;;;;;;
CH*SWI*E151540;Available;CH*SWI*E151540;CH*SWISSCHARGE;Swisscharge;1;Free publicly accessible;47.488036, 9.5533757;CHE;St. Gallen;;Thal;0;Flughafenstrasse 11 0;;;Type 2 Outlet;Direct;;22;NFC RFID Classic,REMOTE;true;None;1;2024-11-21T03:15:03.096Z;;CH*SWISSCHARGE;;insert;;;;OnStreet;Not Available;"[{""lang"": ""de"", ""value"": ""Energie 360° Altenrhein Airport P1 PP 3/4""}]";+41713881150;0;;;;;;;
CH*SWI*E15599;OutOfService;CH*SWI*E15599;CH*SWISSCHARGE;Swisscharge;1;Free publicly accessible;47.414983, 9.286217;CHE;St. Gallen;;Gossau (SG);9200;Schlossweg 193 0;;;Type 2 Outlet;Direct;;22;NFC RFID Classic,REMOTE;true;None;1;2024-11-21T03:15:03.096Z;;CH*SWISSCHARGE;;insert;;;;OnStreet;Not Available;"[{""lang"": ""de"", ""value"": ""Schloss Oberberg""}]";+41713881150;0;;;;;;;
CH*SWI*E153194;Available;CH*SWI*E161000;CH*SWISSCHARGE;Swisscharge;1;Free publicly accessible;47.40759396, 9.28856259;CHE;St. Gallen;;Gossau (SG);0;Schlachthofstrasse 12 0;;;CCS Combo 2 Plug (Cable Attached);Direct;;60;NFC RFID Classic,REMOTE;true;None;1;2024-11-21T03:15:03.096Z;;CH*SWISSCHARGE;;insert;;;;OnStreet;Not Available;"[{""lang"": ""de"", ""value"": ""SPAR Gossau CCS2""}]";+41713881150;0;;;;;;;
CH*SWI*E161000;Available;CH*SWI*E161000;CH*SWISSCHARGE;Swisscharge;1;Free publicly accessible;47.40759396, 9.28856259;CHE;St. Gallen;;Gossau (SG);0;Schlachthofstrasse 12 0;;;Type 2 Outlet;Direct;;22;NFC RFID Classic,REMOTE;true;None;1;2024-11-21T03:15:03.096Z;;CH*SWISSCHARGE;;insert;;;;OnStreet;Not Available;"[{""lang"": ""de"", ""value"": ""SPAR Gossau CCS2""}]";+41713881150;0;;;;;;;
CH*SWI*E164045;Available;CH*SWI*E164047;CH*SWISSCHARGE;Swisscharge;1;Free publicly accessible;47.42190917, 9.37041657;CHE;St. Gallen;;St. Gallen;0;St. Leonhard-Strasse 35 0;;;Type 2 Outlet;Direct;;22;NFC RFID Classic,REMOTE;true;None;1;2024-11-21T03:15:03.096Z;;CH*SWISSCHARGE;;insert;;;;OnStreet;Not Available;"[{""lang"": ""de"", ""value"": ""Neumarkt St. Gallen""}]";+41713881150;0;;;;;;;
CH*SWI*E164047;Occupied;CH*SWI*E164047;CH*SWISSCHARGE;Swisscharge;1;Free publicly accessible;47.42190917, 9.37041657;CHE;St. Gallen;;St. Gallen;0;St. Leonhard-Strasse 35 0;;;Type 2 Outlet;Direct;;22;NFC RFID Classic,REMOTE;true;None;1;2024-11-21T03:15:03.096Z;;CH*SWISSCHARGE;;insert;;;;OnStreet;Not Available;"[{""lang"": ""de"", ""value"": ""Neumarkt St. Gallen""}]";+41713881150;0;;;;;;;
CH*SWI*E164050;Available;CH*SWI*E164047;CH*SWISSCHARGE;Swisscharge;1;Free publicly accessible;47.42190917, 9.37041657;CHE;St. Gallen;;St. Gallen;0;St. Leonhard-Strasse 35 0;;;Type 2 Outlet;Direct;;22;NFC RFID Classic,REMOTE;true;None;1;2024-11-21T03:15:03.096Z;;CH*SWISSCHARGE;;insert;;;;OnStreet;Not Available;"[{""lang"": ""de"", ""value"": ""Neumarkt St. Gallen""}]";+41713881150;0;;;;;;;
CH*SWI*E16531;Available;CH*SWI*E16530;CH*SWISSCHARGE;Swisscharge;1;Free publicly accessible;47.412002, 9.255654;CHE;St. Gallen;;Gossau (SG);9200;Güterschuppen 0;;;Type 2 Outlet;Direct;;22;NFC RFID Classic,REMOTE;true;None;1;2024-11-21T03:15:03.097Z;;CH*SWISSCHARGE;;insert;;;;OnStreet;Not Available;"[{""lang"": ""de"", ""value"": ""BBC butterbarcafe""}]";+41713881150;0;;;;;;;
