Datum,O3 [ug/m3],NO2 [ug/m3],PM10 [ug/m3],PM2.5 [ug/m3],CPC [1/cm3],PREC [mm],RAD [W/m2],SO2 [ug/m3],NOX [ug/m3 eq. NO2],TEMP [C]
2022-01-01 00:00:00+00:00,6.2,16.9,34.3,34.1,30241.1,0.0,0.0,1.2,26.0,5.0
2022-01-01 01:00:00+00:00,3.7,18.4,59.6,56.8,37338.4,0.0,0.0,2.9,31.8,4.8
2022-01-01 02:00:00+00:00,3.7,16.8,84.9,82.6,34217.8,0.0,0.0,3.0,32.6,4.5
2022-01-01 03:00:00+00:00,4.1,16.5,60.0,58.8,27651.4,0.0,0.0,2.0,31.4,4.5
2022-01-01 04:00:00+00:00,2.4,20.8,46.2,44.2,20144.4,0.0,0.0,1.9,28.5,4.5
2022-01-01 05:00:00+00:00,5.2,18.4,27.4,25.9,12752.7,0.0,0.0,1.2,21.2,4.8
2022-01-01 06:00:00+00:00,0.9,18.4,25.8,24.8,13331.2,0.0,0.0,1.3,31.7,3.2
2022-01-01 07:00:00+00:00,1.7,19.0,19.9,19.4,10952.7,0.0,0.0,1.0,26.6,3.3
2022-01-01 08:00:00+00:00,2.1,19.0,18.3,18.2,9588.4,0.0,0.0,0.9,25.6,3.5
2022-01-01 09:00:00+00:00,4.5,17.0,15.3,14.6,7938.2,0.0,11.3,0.6,22.4,3.3
2022-01-01 10:00:00+00:00,5.9,14.6,15.4,14.5,8439.7,0.0,68.8,0.8,27.6,3.5
2022-01-01 11:00:00+00:00,8.0,12.7,18.2,17.1,7638.1,0.0,161.5,0.8,29.3,4.3
2022-01-01 12:00:00+00:00,9.7,11.4,19.1,18.3,9585.9,0.0,301.3,2.1,33.6,6.0
2022-01-01 13:00:00+00:00,12.5,12.9,16.9,15.7,9904.6,0.0,323.5,2.1,33.8,8.5
2022-01-01 14:00:00+00:00,16.2,14.8,17.0,15.2,10057.2,0.0,293.3,2.2,31.0,10.3
2022-01-01 15:00:00+00:00,15.9,17.6,17.6,16.1,11426.2,0.0,235.7,2.2,33.1,11.2
2022-01-01 16:00:00+00:00,21.7,18.6,15.0,13.7,10216.2,0.0,79.3,2.3,25.9,11.2
2022-01-01 17:00:00+00:00,20.7,20.2,14.0,12.6,8750.3,0.0,21.2,1.5,22.6,10.1
2022-01-01 18:00:00+00:00,16.0,24.6,15.0,14.0,10375.4,0.0,0.0,1.5,25.8,8.9
2022-01-01 19:00:00+00:00,9.5,29.2,16.2,15.2,11793.1,0.0,0.0,1.8,31.1,7.9
2022-01-01 20:00:00+00:00,5.2,31.0,17.3,15.7,14507.6,0.0,0.0,2.4,34.3,7.3
2022-01-01 21:00:00+00:00,6.5,28.8,17.1,15.2,14297.9,0.0,0.0,1.9,32.3,7.1
2022-01-01 22:00:00+00:00,3.6,29.2,16.8,15.1,12689.1,0.0,0.0,1.5,34.1,6.1
2022-01-01 23:00:00+00:00,3.5,28.1,17.8,16.3,10863.8,0.0,0.0,1.4,33.1,5.6
2022-01-02 00:00:00+00:00,4.0,25.9,17.5,15.9,10011.4,0.0,0.0,1.2,28.9,5.2
2022-01-02 01:00:00+00:00,1.9,26.6,17.6,15.8,9584.5,0.0,0.0,1.1,33.0,4.7
2022-01-02 02:00:00+00:00,3.7,24.7,15.2,14.1,8274.9,0.0,0.0,1.1,28.8,4.6
