Datum,o3_stundenmittelwerte_ug_m3
2022-01-01 00:00:00+00:00,54.712
2022-01-01 01:00:00+00:00,55.592
2022-01-01 02:00:00+00:00,52.945
2022-01-01 03:00:00+00:00,52.387
2022-01-01 04:00:00+00:00,51.119
2022-01-01 05:00:00+00:00,52.862
2022-01-01 06:00:00+00:00,57.965
2022-01-01 07:00:00+00:00,59.368
2022-01-01 08:00:00+00:00,60.608
2022-01-01 09:00:00+00:00,55.685
2022-01-01 10:00:00+00:00,53.222
2022-01-01 11:00:00+00:00,57.961
2022-01-01 12:00:00+00:00,58.295
2022-01-01 13:00:00+00:00,60.819
2022-01-01 14:00:00+00:00,62.39
2022-01-01 15:00:00+00:00,61.315
2022-01-01 16:00:00+00:00,64.677
2022-01-01 17:00:00+00:00,59.26
2022-01-01 18:00:00+00:00,60.883
2022-01-01 19:00:00+00:00,63.318
2022-01-01 20:00:00+00:00,63.111
2022-01-01 21:00:00+00:00,64.402
2022-01-01 22:00:00+00:00,60.544
2022-01-01 23:00:00+00:00,55.344
2022-01-02 00:00:00+00:00,55.962
2022-01-02 01:00:00+00:00,58.358
2022-01-02 02:00:00+00:00,57.492
2022-01-02 03:00:00+00:00,57.128
2022-01-02 04:00:00+00:00,59.496
2022-01-02 05:00:00+00:00,59.75
2022-01-02 06:00:00+00:00,62.366
2022-01-02 07:00:00+00:00,64.549
2022-01-02 08:00:00+00:00,65.42
2022-01-02 09:00:00+00:00,62.503
2022-01-02 10:00:00+00:00,59.682
2022-01-02 11:00:00+00:00,64.288
2022-01-02 12:00:00+00:00,63.988
2022-01-02 13:00:00+00:00,60.536
2022-01-02 14:00:00+00:00,59.896
2022-01-02 15:00:00+00:00,61.116
2022-01-02 16:00:00+00:00,56.947
2022-01-02 17:00:00+00:00,53.815
2022-01-02 18:00:00+00:00,53.568
2022-01-02 19:00:00+00:00,58.24
2022-01-02 20:00:00+00:00,60.559
2022-01-02 21:00:00+00:00,59.488
2022-01-02 22:00:00+00:00,61.456
2022-01-02 23:00:00+00:00,71.107
2022-01-03 00:00:00+00:00,74.081
2022-01-03 01:00:00+00:00,75.56
2022-01-03 02:00:00+00:00,76.34
2022-01-03 03:00:00+00:00,76.659
2022-01-03 04:00:00+00:00,77.193
2022-01-03 05:00:00+00:00,78.525
2022-01-03 06:00:00+00:00,78.719
2022-01-03 07:00:00+00:00,78.703
2022-01-03 08:00:00+00:00,75.867
2022-01-03 09:00:00+00:00,75.166
2022-01-03 10:00:00+00:00,75.083
2022-01-03 11:00:00+00:00,75.15
2022-01-03 12:00:00+00:00,75.851
2022-01-03 13:00:00+00:00,76.544
2022-01-03 14:00:00+00:00,76.054
2022-01-03 15:00:00+00:00,73.969
2022-01-03 16:00:00+00:00,75.565
2022-01-03 17:00:00+00:00,72.964
2022-01-03 18:00:00+00:00,76.092
2022-01-03 19:00:00+00:00,79.091
2022-01-03 20:00:00+00:00,81.367
2022-01-03 21:00:00+00:00,81.315
2022-01-03 22:00:00+00:00,80.074
2022-01-03 23:00:00+00:00,80.546
2022-01-04 00:00:00+00:00,80.286
2022-01-04 01:00:00+00:00,80.825
2022-01-04 02:00:00+00:00,82.371
2022-01-04 03:00:00+00:00,80.686
2022-01-04 04:00:00+00:00,79.119
2022-01-04 05:00:00+00:00,74.041
2022-01-04 06:00:00+00:00,74.848
2022-01-04 07:00:00+00:00,73.811
2022-01-04 08:00:00+00:00,72.972
2022-01-04 09:00:00+00:00,70.016
2022-01-04 10:00:00+00:00,65.345
2022-01-04 11:00:00+00:00,63.937
2022-01-04 12:00:00+00:00,62.474
2022-01-04 13:00:00+00:00,59.149
2022-01-04 14:00:00+00:00,57.424
2022-01-04 15:00:00+00:00,61.874
2022-01-04 16:00:00+00:00,58.624
2022-01-04 17:00:00+00:00,55.762
2022-01-04 18:00:00+00:00,51.915
2022-01-04 19:00:00+00:00,68.419
2022-01-04 20:00:00+00:00,65.149
2022-01-04 21:00:00+00:00,66.499
2022-01-04 22:00:00+00:00,75.849
2022-01-04 23:00:00+00:00,84.57
2022-01-05 00:00:00+00:00,86.528
2022-01-05 01:00:00+00:00,81.497
2022-01-05 02:00:00+00:00,77.295
2022-01-05 03:00:00+00:00,76.379
2022-01-05 04:00:00+00:00,75.307
2022-01-05 05:00:00+00:00,70.625
2022-01-05 06:00:00+00:00,62.428
2022-01-05 07:00:00+00:00,59.315
2022-01-05 08:00:00+00:00,57.411
2022-01-05 09:00:00+00:00,57.534
2022-01-05 10:00:00+00:00,56.826
2022-01-05 11:00:00+00:00,60.935
2022-01-05 12:00:00+00:00,63.742
2022-01-05 13:00:00+00:00,65.921
2022-01-05 14:00:00+00:00,67.838
2022-01-05 15:00:00+00:00,66.889
2022-01-05 16:00:00+00:00,66.318
2022-01-05 17:00:00+00:00,63.627
2022-01-05 18:00:00+00:00,61.584
2022-01-05 19:00:00+00:00,58.567
2022-01-05 20:00:00+00:00,58.545
2022-01-05 21:00:00+00:00,58.907
2022-01-05 22:00:00+00:00,57.227
2022-01-05 23:00:00+00:00,58.382
2022-01-06 00:00:00+00:00,60.739
2022-01-06 01:00:00+00:00,60.573
2022-01-06 02:00:00+00:00,58.61
2022-01-06 03:00:00+00:00,56.698
2022-01-06 04:00:00+00:00,50.667
2022-01-06 05:00:00+00:00,48.959
2022-01-06 06:00:00+00:00,45.504
2022-01-06 07:00:00+00:00,50.64
2022-01-06 08:00:00+00:00,50.074
2022-01-06 09:00:00+00:00,48.613
2022-01-06 10:00:00+00:00,39.267
2022-01-06 11:00:00+00:00,32.217
2022-01-06 12:00:00+00:00,34.16
2022-01-06 13:00:00+00:00,39.863
2022-01-06 14:00:00+00:00,43.628
2022-01-06 15:00:00+00:00,45.341
2022-01-06 16:00:00+00:00,44.841
2022-01-06 17:00:00+00:00,40.568
2022-01-06 18:00:00+00:00,45.461
2022-01-06 19:00:00+00:00,38.575
2022-01-06 20:00:00+00:00,41.798
2022-01-06 21:00:00+00:00,34.512
2022-01-06 22:00:00+00:00,36.135
2022-01-06 23:00:00+00:00,41.852
2022-01-07 00:00:00+00:00,37.503
2022-01-07 01:00:00+00:00,45.09
2022-01-07 02:00:00+00:00,41.385
2022-01-07 03:00:00+00:00,52.782
2022-01-07 04:00:00+00:00,53.608
2022-01-07 05:00:00+00:00,46.863
2022-01-07 06:00:00+00:00,46.051
2022-01-07 07:00:00+00:00,48.446
2022-01-07 08:00:00+00:00,49.804
2022-01-07 09:00:00+00:00,55.075
2022-01-07 10:00:00+00:00,53.116
2022-01-07 11:00:00+00:00,50.124
2022-01-07 12:00:00+00:00,50.056
2022-01-07 13:00:00+00:00,45.621
2022-01-07 14:00:00+00:00,50.633
2022-01-07 15:00:00+00:00,49.051
2022-01-07 16:00:00+00:00,47.969
2022-01-07 17:00:00+00:00,50.243
2022-01-07 18:00:00+00:00,58.611
2022-01-07 19:00:00+00:00,61.021
2022-01-07 20:00:00+00:00,65.751
2022-01-07 21:00:00+00:00,61.831
2022-01-07 22:00:00+00:00,67.112
2022-01-07 23:00:00+00:00,65.714
2022-01-08 00:00:00+00:00,70.199
2022-01-08 01:00:00+00:00,74.008
2022-01-08 02:00:00+00:00,72.385
2022-01-08 03:00:00+00:00,74.694
2022-01-08 04:00:00+00:00,74.717
2022-01-08 05:00:00+00:00,71.008
2022-01-08 06:00:00+00:00,68.297
2022-01-08 07:00:00+00:00,71.28
2022-01-08 08:00:00+00:00,74.6
2022-01-08 09:00:00+00:00,74.912
2022-01-08 10:00:00+00:00,75.795
2022-01-08 11:00:00+00:00,76.61
2022-01-08 12:00:00+00:00,77.866
2022-01-08 13:00:00+00:00,76.59
2022-01-08 14:00:00+00:00,77.273
2022-01-08 15:00:00+00:00,77.406
2022-01-08 16:00:00+00:00,79.725
2022-01-08 17:00:00+00:00,78.339
2022-01-08 18:00:00+00:00,76.809
2022-01-08 19:00:00+00:00,79.032
2022-01-08 20:00:00+00:00,78.88
2022-01-08 21:00:00+00:00,78.477
2022-01-08 22:00:00+00:00,80.738
2022-01-08 23:00:00+00:00,82.994
2022-01-09 00:00:00+00:00,82.659
2022-01-09 01:00:00+00:00,81.819
2022-01-09 02:00:00+00:00,80.583
2022-01-09 03:00:00+00:00,81.916
2022-01-09 04:00:00+00:00,85.127
2022-01-09 05:00:00+00:00,84.91
2022-01-09 06:00:00+00:00,81.786
2022-01-09 07:00:00+00:00,80.497
2022-01-09 08:00:00+00:00,79.208
2022-01-09 09:00:00+00:00,77.474
2022-01-09 10:00:00+00:00,76.765
2022-01-09 11:00:00+00:00,75.812
2022-01-09 12:00:00+00:00,74.654
2022-01-09 13:00:00+00:00,74.615
2022-01-09 14:00:00+00:00,75.487
2022-01-09 15:00:00+00:00,74.466
2022-01-09 16:00:00+00:00,71.683
2022-01-09 17:00:00+00:00,69.361
2022-01-09 18:00:00+00:00,69.29
2022-01-09 19:00:00+00:00,69.715
2022-01-09 20:00:00+00:00,62.212
2022-01-09 21:00:00+00:00,64.834
2022-01-09 22:00:00+00:00,56.641
2022-01-09 23:00:00+00:00,64.008
2022-01-10 00:00:00+00:00,62.792
2022-01-10 01:00:00+00:00,60.368
2022-01-10 02:00:00+00:00,56.559
2022-01-10 03:00:00+00:00,55.419
2022-01-10 04:00:00+00:00,54.593
