Datum,pm10_stundenmittelwerte_ug_m3,pm2_5_stundenmittelwerte_ug_m3,no2_stundenmittelwerte_ug_m3
2021-12-31 23:00:00+00:00,52.595,59.614,23.796
2022-01-01 00:00:00+00:00,85.53,58.362,22.67
2022-01-01 01:00:00+00:00,72.819,50.665,21.628
2022-01-01 02:00:00+00:00,64.542,45.385,20.943
2022-01-01 03:00:00+00:00,48.021,35.039,20.919
2022-01-01 04:00:00+00:00,43.18,31.828,20.754
2022-01-01 05:00:00+00:00,26.88,22.185,20.643
2022-01-01 06:00:00+00:00,22.823,19.334,21.104
2022-01-01 07:00:00+00:00,20.909,17.713,18.911
2022-01-01 08:00:00+00:00,21.355,17.744,17.456
2022-01-01 09:00:00+00:00,18.594,16.488,13.912
2022-01-01 10:00:00+00:00,18.636,15.987,11.736
2022-01-01 11:00:00+00:00,18.001,15.693,12.872
2022-01-01 12:00:00+00:00,20.171,16.832,17.091
2022-01-01 13:00:00+00:00,18.267,15.583,20.439
2022-01-01 14:00:00+00:00,18.353,15.573,21.881
2022-01-01 15:00:00+00:00,19.556,16.003,30.704
2022-01-01 16:00:00+00:00,16.838,14.414,33.592
2022-01-01 17:00:00+00:00,17.593,15.275,34.128
2022-01-01 18:00:00+00:00,19.785,16.383,34.171
2022-01-01 19:00:00+00:00,18.375,15.57,28.746
2022-01-01 20:00:00+00:00,19.672,16.711,31.463
2022-01-01 21:00:00+00:00,21.662,17.666,30.909
2022-01-01 22:00:00+00:00,22.944,18.596,26.51
2022-01-01 23:00:00+00:00,24.352,19.371,26.498
2022-01-02 00:00:00+00:00,21.131,17.248,25.371
2022-01-02 01:00:00+00:00,20.024,16.739,23.307
2022-01-02 02:00:00+00:00,19.083,16.285,22.343
2022-01-02 03:00:00+00:00,17.722,15.31,21.984
2022-01-02 04:00:00+00:00,16.289,14.564,21.244
2022-01-02 05:00:00+00:00,15.678,14.025,22.523
2022-01-02 06:00:00+00:00,15.166,13.879,22.235
2022-01-02 07:00:00+00:00,14.318,13.266,21.732
2022-01-02 08:00:00+00:00,14.426,13.25,21.184
2022-01-02 09:00:00+00:00,15.505,13.615,20.064
2022-01-02 10:00:00+00:00,15.828,13.994,18.318
2022-01-02 11:00:00+00:00,16.214,13.949,20.086
2022-01-02 12:00:00+00:00,18.232,14.793,21.386
2022-01-02 13:00:00+00:00,17.443,14.367,23.667
2022-01-02 14:00:00+00:00,16.261,12.892,25.244
2022-01-02 15:00:00+00:00,14.72,12.813,22.78638666666667
2022-01-02 16:00:00+00:00,21.82,17.007,33.733
2022-01-02 17:00:00+00:00,20.451,16.281,37.65
2022-01-02 18:00:00+00:00,23.467,17.892,35.284
2022-01-02 19:00:00+00:00,23.883,18.432,32.145
2022-01-02 20:00:00+00:00,33.365,24.889,34.753
2022-01-02 21:00:00+00:00,30.656,22.902,40.582
2022-01-02 22:00:00+00:00,21.926,16.528,28.685
2022-01-02 23:00:00+00:00,8.218,8.123,9.238
2022-01-03 00:00:00+00:00,7.712,7.788,5.129
2022-01-03 01:00:00+00:00,7.185,7.741,3.111
2022-01-03 02:00:00+00:00,7.352,7.684,2.113
2022-01-03 03:00:00+00:00,7.175,7.542,2.828
2022-01-03 04:00:00+00:00,7.665,7.689,4.753
2022-01-03 05:00:00+00:00,6.958,7.384,20.103
2022-01-03 06:00:00+00:00,7.435,7.505,50.151
2022-01-03 07:00:00+00:00,10.021,8.309,84.964
2022-01-03 08:00:00+00:00,11.415,8.801,54.874
2022-01-03 09:00:00+00:00,9.474,8.113,41.641
2022-01-03 10:00:00+00:00,13.911,8.888,46.404
2022-01-03 11:00:00+00:00,11.78,8.315,39.593
2022-01-03 12:00:00+00:00,9.759,7.981,37.945
2022-01-03 13:00:00+00:00,9.436,8.082,36.748
2022-01-03 14:00:00+00:00,9.928,7.847,44.893
2022-01-03 15:00:00+00:00,8.876,7.954,42.542
2022-01-03 16:00:00+00:00,12.011,9.426,82.419
2022-01-03 17:00:00+00:00,14.25,10.917,73.032
2022-01-03 18:00:00+00:00,14.968,11.565,52.67
2022-01-03 19:00:00+00:00,10.585,9.626,39.419
2022-01-03 20:00:00+00:00,13.25,10.816,65.097
2022-01-03 21:00:00+00:00,13.987,11.717,50.887
2022-01-03 22:00:00+00:00,15.787,12.874,39.328
2022-01-03 23:00:00+00:00,14.567,12.501,36.124
2022-01-04 00:00:00+00:00,15.325,10.098162162162163,36.413
2022-01-04 01:00:00+00:00,14.132,9.861594594594596,32.147
2022-01-04 02:00:00+00:00,13.88,9.812108108108108,28.372
2022-01-04 03:00:00+00:00,11.469,9.70204054054054,20.523
2022-01-04 04:00:00+00:00,9.306,9.789506756756756,19.176
2022-01-04 05:00:00+00:00,3.599,10.123,6.339
2022-01-04 06:00:00+00:00,3.932,10.727006756756756,26.402
2022-01-04 07:00:00+00:00,6.892,11.332809523809523,50.127
2022-01-04 08:00:00+00:00,4.841,11.52044520547945,17.109
2022-01-04 09:00:00+00:00,4.668,11.426828767123288,13.606
