Datum;PM10 (Stundenmittelwerte);PM2.5 (Stundenmittelwerte)
2023-02-01 01:00:00;9.345;7.043
2023-02-01 02:00:00;8.573;6.782
2023-02-01 03:00:00;8.79;6.688
2023-02-01 10:00:00;9.319;4.257
2023-02-01 18:00:00;15.911;8.36
2023-02-01 23:00:00;14.39;8.274
2023-02-02 02:00:00;10.505;6.58
2023-02-02 03:00:00;9.444;6.141
2023-02-03 03:00:00;7.31;4.326
2023-02-03 05:00:00;7.1;4.229
2023-02-03 17:00:00;7.7;3.169
2023-02-03 20:00:00;6.767;3.315
2023-02-03 21:00:00;6.549;3.13
2023-02-04 18:00:00;14.765;10.025
2023-02-05 20:00:00;11.662;9.246
2023-02-05 22:00:00;10.391;8.407
2023-02-05 23:00:00;12.028;9.975
2023-02-06 03:00:00;13.306;11.381
2023-02-06 07:00:00;13.279;10.639
2023-02-06 10:00:00;14.945;11.128
2023-02-06 19:00:00;12.36;9.293
2023-02-06 23:00:00;6.698;4.777
2023-02-07 05:00:00;13.699;11.2
2023-02-07 12:00:00;21.733;15.405
2023-02-10 12:00:00;46.05;34.295
2023-02-10 21:00:00;44.843;37.337
2023-02-10 23:00:00;44.959;38.119
2023-02-11 02:00:00;45.757;37.04
2023-02-11 11:00:00;43.633;36.671
2023-02-11 17:00:00;31.919;25.427
2023-02-11 21:00:00;45.948;38.236
2023-02-11 22:00:00;44.032;36.716
2023-02-12 07:00:00;33.316;28.398
2023-02-12 08:00:00;31.548;26.873
2023-02-12 10:00:00;28.745;23.784
2023-02-12 11:00:00;34.081;28.826
2023-02-12 15:00:00;18.186;14.222
2023-02-12 16:00:00;19.982;16.389
2023-02-13 01:00:00;22.142;18.625
2023-02-13 02:00:00;19.502;16.72
2023-02-13 03:00:00;20.81;18.238
2023-02-17 13:00:00;23.195;12.47
2023-02-17 17:00:00;16.972;9.094
2023-02-18 02:00:00;4.289;3.611
2023-02-18 05:00:00;3.606;2.956
2023-02-18 06:00:00;3.351;2.746
2023-02-18 07:00:00;3.583;2.844
2023-02-18 12:00:00;5.714;3.26
2023-02-18 21:00:00;6.092;4.647
2023-02-19 21:00:00;8.84;6.706
2023-02-19 22:00:00;10.214;7.262
2023-02-20 18:00:00;13.103;7.986
2023-02-21 06:00:00;14.381;9.246
2023-02-21 07:00:00;16.006;9.854
2023-02-21 13:00:00;22.585;12.676
2023-02-21 20:00:00;27.364;16.824
2023-02-21 21:00:00;26.175;15.921
2023-02-22 03:00:00;20.472;14.411
2023-02-22 04:00:00;20.262;14.356
2023-02-22 10:00:00;36.42;17.907
2023-02-22 11:00:00;44.042;19.916
2023-02-22 14:00:00;30.015;18.395
2023-02-22 21:00:00;32.338;23.685
2023-02-22 23:00:00;32.231;24.366
2023-02-23 00:00:00;32.92;25.234
2023-02-23 02:00:00;32.887;25.378
2023-02-23 09:00:00;29.233;20.567
2023-02-23 12:00:00;24.353;13.216
2023-02-23 13:00:00;25.148;12.759
2023-02-23 14:00:00;27.562;13.093
2023-02-23 18:00:00;24.757;12.886
2023-02-23 19:00:00;32.373;15.656
2023-02-23 23:00:00;29.938;19.317
2023-02-24 01:00:00;30.983;18.851
2023-02-24 02:00:00;32.2;18.152
2023-02-24 08:00:00;50.217;28.192
2023-02-24 10:00:00;32.046;19.386
2023-02-24 11:00:00;28.162;16.896
2023-02-24 12:00:00;33.768;19.835
2023-02-24 14:00:00;34.617;18.055
2023-02-24 15:00:00;36.608;18.741
2023-02-24 16:00:00;37.296;18.467
2023-02-25 00:00:00;15.062;10.69
2023-02-25 01:00:00;11.988;9.001
2023-02-25 05:00:00;12.12;9.884
2023-02-25 10:00:00;8.391;6.078
2023-02-25 11:00:00;7.908;5.845
2023-02-25 15:00:00;9.442;6.228
2023-02-25 16:00:00;9.416;6.539
2023-02-26 00:00:00;9.819;6.895
2023-02-26 01:00:00;10.182;6.984
2023-02-26 04:00:00;7.811;5.774
2023-02-26 05:00:00;7.459;5.655
2023-02-26 06:00:00;7.018;5.454
2023-02-26 09:00:00;6.076;4.198
2023-02-26 15:00:00;5.937;4.123
2023-02-26 17:00:00;6.528;4.34
2023-02-26 21:00:00;6.322;4.583
2023-02-26 22:00:00;5.712;4.426
2023-02-27 01:00:00;5.913;4.582
2023-02-27 03:00:00;6.573;5.177
2023-02-27 04:00:00;6.545;5.173
2023-02-27 07:00:00;8.116;5.813
2023-02-27 12:00:00;9.201;7.069
2023-02-27 13:00:00;9.439;7.193
2023-02-27 20:00:00;9.477;7.032
2023-02-27 23:00:00;10.676;8.246
2023-02-28 01:00:00;10.439;8.766
2023-02-28 02:00:00;10.544;9.059
2023-02-28 05:00:00;11.318;9.493
2023-02-28 06:00:00;11.064;9.67
2023-02-28 09:00:00;13.492;10.418
2023-02-28 17:00:00;20.688;15.902
2023-02-28 20:00:00;23.407;18.714
2023-02-28 21:00:00;26.413;20.604
2023-03-01 01:00:00;31.871;25.66
2023-03-01 06:00:00;25.242;20.439
2023-03-01 10:00:00;29.873;21.932
2023-03-01 11:00:00;34.774;23.998
2023-03-01 15:00:00;29.544;22.519
2023-03-01 17:00:00;28.879;22.52
2023-03-01 19:00:00;29.98;23.481
2023-03-01 21:00:00;32.909;26.283
2023-03-02 00:00:00;34.149;28.672
2023-03-02 03:00:00;41.139;33.58
2023-03-02 08:00:00;35.781;27.464
2023-03-02 12:00:00;41.176;31.849
2023-03-02 15:00:00;40.979;31.325
2023-03-02 16:00:00;39.941;30.947
2023-03-02 17:00:00;39.508;31.402
2023-03-02 18:00:00;40.62;32.613
2023-03-02 19:00:00;53.799;34.922
2023-03-02 20:00:00;48.712;37.586
2023-03-02 22:00:00;47.026;37.721
2023-03-03 06:00:00;52.97;42.836
2023-03-03 14:00:00;54.431;40.56
2023-03-03 15:00:00;52.785;40.332
2023-03-04 02:00:00;53.987;41.69
2023-03-04 06:00:00;38.497;30.556
2023-03-04 17:00:00;32.408;25.497
2023-03-04 18:00:00;41.915;32.566
2023-03-04 19:00:00;41.969;34.215
2023-03-04 21:00:00;40.294;33.474
2023-03-04 23:00:00;33.694;27.799
2023-03-05 00:00:00;34.356;27.77
2023-03-05 03:00:00;36.985;31.042
2023-03-05 04:00:00;35.272;29.747
2023-03-05 14:00:00;18.824;15.151
2023-03-05 21:00:00;18.077;15.222
2023-03-05 22:00:00;20.63;17.475
2023-03-06 01:00:00;15.7;13.069
2023-03-06 07:00:00;19.837;15.428
2023-03-06 09:00:00;30.465;17.21
2023-03-06 12:00:00;18.307;10.898
2023-03-06 15:00:00;18.808;11.901
2023-03-06 20:00:00;19.065;14.58
2023-03-07 01:00:00;14.793;12.164
2023-03-07 11:00:00;20.654;12.922
2023-03-07 12:00:00;19.736;13.226
2023-03-07 13:00:00;18.645;13.008
2023-03-07 16:00:00;21.902;14.574
2023-03-07 17:00:00;22.443;15.0
2023-03-07 20:00:00;20.999;15.868
2023-03-08 05:00:00;22.102;17.839
2023-03-08 06:00:00;25.052;18.678
2023-03-08 09:00:00;26.192;16.63
2023-03-09 00:00:00;3.99;3.105
2023-03-09 03:00:00;6.725;4.304
2023-03-09 05:00:00;3.168;2.93
2023-03-09 07:00:00;6.765;4.499
2023-03-09 16:00:00;8.767;4.603
2023-03-09 20:00:00;6.523;4.721
2023-03-10 18:00:00;14.078;7.183
2023-03-11 00:00:00;7.089;5.453
2023-03-11 05:00:00;5.393;5.041
2023-03-11 07:00:00;5.454;4.741
2023-03-11 08:00:00;6.656;5.237
2023-03-11 12:00:00;7.425;6.183
2023-03-11 13:00:00;7.534;6.338
2023-03-11 15:00:00;7.688;6.4
2023-03-11 21:00:00;7.935;6.984
2023-03-12 07:00:00;9.494;7.986
2023-03-12 11:00:00;5.899;5.137
2023-03-12 12:00:00;7.486;5.34
2023-03-12 20:00:00;10.711;7.526
2023-03-12 21:00:00;9.206;6.614
2023-03-13 00:00:00;9.193;6.932
2023-03-13 05:00:00;9.861;7.053
2023-03-13 09:00:00;12.926;6.679
2023-03-13 10:00:00;13.523;6.083
2023-03-13 11:00:00;18.693;6.635
2023-03-13 12:00:00;11.525;5.296
2023-03-13 13:00:00;8.099;4.026
2023-03-13 15:00:00;8.952;4.093
2023-03-13 16:00:00;6.669;3.412
2023-03-13 17:00:00;5.585;3.595
2023-03-14 00:00:00;3.617;3.103
2023-03-14 04:00:00;3.461;2.966
2023-03-14 06:00:00;4.019;3.06
2023-03-14 07:00:00;5.711;3.655
2023-03-14 13:00:00;4.785;3.719
2023-03-15 09:00:00;9.061;5.996
2023-03-15 20:00:00;9.125;6.645
2023-03-15 22:00:00;11.005;6.869
2023-03-16 00:00:00;11.229;7.497
2023-03-16 04:00:00;9.459;6.908
2023-03-16 05:00:00;9.211;6.99
2023-03-16 14:00:00;9.363;5.902
2023-03-16 19:00:00;10.817;6.624
2023-03-17 08:00:00;17.549;10.043
2023-03-17 18:00:00;10.584;6.483
2023-03-17 21:00:00;24.065;16.594
2023-03-18 03:00:00;13.798;9.08
2023-03-18 12:00:00;11.815;6.784
2023-03-18 14:00:00;8.106;4.94
2023-03-18 21:00:00;15.009;11.38
2023-03-18 22:00:00;17.434;12.907
2023-03-19 10:00:00;13.388;9.168
2023-03-19 17:00:00;5.818;4.787
2023-03-19 19:00:00;5.565;4.266
2023-03-20 04:00:00;4.881;4.088
2023-03-20 07:00:00;5.289;4.193
2023-03-21 07:00:00;11.561;7.34
2023-03-21 15:00:00;8.22;5.118
2023-03-21 17:00:00;7.767;5.095
2023-03-22 00:00:00;10.335;7.72
2023-03-22 04:00:00;12.263;8.407
2023-03-22 16:00:00;7.505;4.704
2023-03-23 01:00:00;14.001;8.793
2023-03-23 13:00:00;9.34;5.27
2023-03-23 22:00:00;12.835;8.282
2023-03-24 05:00:00;9.928;5.778
2023-03-24 06:00:00;9.12;6.547
2023-03-24 10:00:00;5.489;4.333
2023-03-24 12:00:00;4.182;3.571
2023-03-24 19:00:00;6.62;5.304
2023-03-24 20:00:00;11.221;7.004
2023-03-25 01:00:00;6.928;4.922
2023-03-25 04:00:00;3.224;3.239
2023-03-25 05:00:00;3.449;3.261
2023-03-25 09:00:00;5.087;4.131
2023-03-25 11:00:00;4.074;3.727
2023-03-25 14:00:00;6.205;4.285
2023-03-25 16:00:00;5.384;3.955
2023-03-25 19:00:00;5.851;4.437
2023-03-25 20:00:00;6.499;5.009
2023-03-25 21:00:00;7.141;5.161
2023-03-26 04:00:00;7.784;5.562
2023-03-26 06:00:00;7.123;5.408
2023-03-26 07:00:00;7.614;5.558
2023-03-26 15:00:00;4.56;3.695
2023-03-26 17:00:00;3.284;3.22
2023-03-26 22:00:00;4.146;3.692
2023-03-27 05:00:00;5.342;4.589
2023-03-27 07:00:00;7.673;5.163
2023-03-27 09:00:00;12.539;7.83
2023-03-27 10:00:00;13.506;8.38
2023-03-27 12:00:00;9.866;5.996
2023-03-27 16:00:00;6.78;4.709
2023-03-27 18:00:00;7.044;4.988
2023-03-27 20:00:00;6.902;5.398
2023-03-28 00:00:00;5.932;5.033
2023-03-28 01:00:00;5.749;4.844
2023-03-28 02:00:00;5.946;4.977
2023-03-28 03:00:00;6.323;5.132
2023-03-28 06:00:00;10.676;7.456
2023-03-28 10:00:00;9.11;6.553
2023-03-28 11:00:00;8.105;5.942
2023-03-28 12:00:00;7.893;5.944
2023-03-28 13:00:00;9.168;6.268
2023-03-28 22:00:00;10.821;7.657
2023-03-28 23:00:00;10.242;7.273
2023-03-29 06:00:00;14.273;8.102
2023-03-29 07:00:00;21.509;9.203
2023-03-29 09:00:00;27.947;11.148
2023-03-29 13:00:00;15.031;6.544
2023-03-29 14:00:00;21.455;7.057
2023-03-29 19:00:00;22.953;9.896
2023-03-29 20:00:00;23.381;11.046
2023-03-29 21:00:00;24.069;11.17
2023-03-29 22:00:00;23.842;10.774
2023-03-29 23:00:00;23.094;10.784
2023-03-30 00:00:00;26.874;11.099
2023-03-30 03:00:00;29.387;11.638
2023-03-30 10:00:00;19.295;9.38
2023-03-30 11:00:00;19.866;9.819
2023-03-30 18:00:00;11.202;6.91
2023-03-30 19:00:00;10.877;7.343
2023-03-30 20:00:00;11.006;7.713
2023-03-30 21:00:00;11.753;8.712
2023-03-30 22:00:00;12.308;8.667
2023-03-30 23:00:00;13.094;9.939
2023-03-31 00:00:00;14.469;10.667
2023-03-31 01:00:00;12.093;9.362
2023-03-31 02:00:00;11.539;9.353
2023-03-31 03:00:00;11.451;9.006
2023-03-31 07:00:00;10.604;6.936
2023-03-31 09:00:00;9.186;5.453
2023-03-31 15:00:00;6.298;3.751
2023-03-31 17:00:00;8.192;4.657
2023-03-31 19:00:00;4.496;3.205
2023-03-31 20:00:00;5.715;3.941
2023-04-01 03:00:00;5.074;3.773
2023-04-01 18:00:00;3.928;2.943
2023-04-02 03:00:00;3.818;3.014
2023-04-02 05:00:00;4.144;3.09
2023-04-02 06:00:00;4.002;3.172
2023-04-02 07:00:00;5.29;3.977
2023-04-02 08:00:00;6.361;4.881
2023-04-02 10:00:00;3.278;2.606
2023-04-02 11:00:00;3.249;2.431
2023-04-02 16:00:00;3.678;2.654
2023-04-02 17:00:00;3.434;2.803
2023-04-02 19:00:00;4.277;3.191
2023-04-03 08:00:00;9.776;7.658
2023-04-03 10:00:00;9.086;7.41
2023-04-03 11:00:00;7.961;6.403
2023-04-03 12:00:00;6.859;5.267
2023-04-03 13:00:00;6.999;4.717
2023-04-03 20:00:00;8.034;6.303
2023-04-04 02:00:00;7.164;5.401
2023-04-04 03:00:00;7.101;5.55
2023-04-04 06:00:00;11.655;8.4
2023-04-04 10:00:00;10.062;7.058
2023-04-04 14:00:00;12.013;7.79
2023-04-04 15:00:00;13.599;8.395
2023-04-04 18:00:00;10.79;7.921
2023-04-04 19:00:00;11.671;8.416
2023-04-04 23:00:00;12.523;10.656
2023-04-05 07:00:00;28.841;16.911
2023-04-05 08:00:00;23.054;16.635
2023-04-05 09:00:00;18.987;15.468
2023-04-05 12:00:00;17.118;13.269
2023-04-05 14:00:00;18.179;14.29
2023-04-05 15:00:00;18.186;14.51
2023-04-05 21:00:00;17.694;15.09
2023-04-06 00:00:00;13.177;11.285
2023-04-06 01:00:00;14.623;12.016
2023-04-06 02:00:00;16.032;13.164
2023-04-06 04:00:00;15.93;13.314
2023-04-06 14:00:00;14.742;11.248
2023-04-06 17:00:00;13.371;9.842
2023-04-06 20:00:00;9.255;6.305
2023-04-06 23:00:00;8.013;5.813
2023-04-07 04:00:00;8.881;6.821
2023-04-07 06:00:00;9.517;7.252
2023-04-07 14:00:00;4.087;3.257
2023-04-07 19:00:00;4.652;3.75
2023-04-07 21:00:00;5.943;5.017
2023-04-07 22:00:00;5.681;4.963
2023-04-07 23:00:00;6.574;5.602
2023-04-08 01:00:00;7.55;6.193
2023-04-08 02:00:00;7.008;6.127
2023-04-08 04:00:00;6.711;5.574
2023-04-08 08:00:00;9.537;7.841
2023-04-08 10:00:00;13.23;11.025
2023-04-08 12:00:00;13.046;11.579
2023-04-08 14:00:00;10.946;9.357
2023-04-08 20:00:00;11.35;10.062
2023-04-08 22:00:00;10.13;8.999
2023-04-09 00:00:00;18.967;16.841
2023-04-09 01:00:00;21.456;19.201
2023-04-09 04:00:00;21.73;20.29
2023-04-09 15:00:00;8.199;6.786
2023-04-09 16:00:00;8.198;7.239
2023-04-09 18:00:00;8.146;7.274
2023-04-09 19:00:00;8.662;7.518
2023-04-09 20:00:00;8.948;7.877
2023-04-10 03:00:00;9.996;9.152
2023-04-10 05:00:00;10.837;9.907
2023-04-10 06:00:00;10.77;9.908
2023-04-10 12:00:00;7.79;6.884
2023-04-10 16:00:00;9.834;7.669
2023-04-10 18:00:00;9.519;7.184
2023-04-10 21:00:00;8.211;5.656
2023-04-11 02:00:00;8.947;5.036
2023-04-11 04:00:00;4.407;3.166
2023-04-11 06:00:00;4.62;3.38
2023-04-11 07:00:00;4.556;3.184
2023-04-11 09:00:00;7.008;4.216
2023-04-11 15:00:00;9.515;5.272
2023-04-11 17:00:00;8.604;5.246
2023-04-11 19:00:00;8.5;6.049
2023-04-11 20:00:00;8.91;6.154
2023-04-11 21:00:00;8.665;5.67
2023-04-11 23:00:00;5.923;4.252
2023-04-12 00:00:00;6.952;4.945
2023-04-12 03:00:00;6.07;4.621
2023-04-12 04:00:00;6.403;5.336
2023-04-12 05:00:00;7.716;6.404
2023-04-12 06:00:00;8.232;6.389
2023-04-12 13:00:00;5.063;3.174
2023-04-12 17:00:00;3.919;2.776
2023-04-12 20:00:00;4.5;3.477
2023-04-13 00:00:00;4.914;3.196
2023-04-13 01:00:00;5.576;3.497
