"PERIOD","SECTOR","CLASSIFICATION","VALUE","STATUS","UNIT_MEAS"
"1995","S.1","B.1*b","417228.340764342","A","MCHF"
"1995","S.1","B.1*b",,"O","Y"
"1995","S.1","B.1*b",,"O","AC"
"1995","S.1","B.1*b",,"O","ACPP"
"1995","S.1","P.3","284337.191791348","A","MCHF"
"1995","S.1","P.3",,"O","Y"
"1995","S.1","P.3",,"O","AC"
"1995","S.1","P.3",,"O","ACPP"
"1995","S.1","P.51b","111512.109211344","A","MCHF"
"1995","S.1","P.51b",,"O","Y"
"1995","S.1","P.51b",,"O","AC"
"1995","S.1","P.51b",,"O","ACPP"
"1995","S.1","P.5111be","64154.1700995042","A","MCHF"
"1995","S.1","P.5111be",,"O","Y"
"1995","S.1","P.5111be",,"O","AC"
"1995","S.1","P.5111be",,"O","ACPP"
"1995","S.1","P.5111c","47357.9391118394","A","MCHF"
"1995","S.1","P.5111c",,"O","Y"
"1995","S.1","P.5111c",,"O","AC"
"1995","S.1","P.5111c",,"O","ACPP"
"1995","S.1","P.52","7039.4889357288","A","MCHF"
"1995","S.1","P.52",,"O","Y"
"1995","S.1","P.52",,"O","AC"
"1995","S.1","P.52",,"O","ACPP"
"1995","S.1","P.53","-1461.90319055037","A","MCHF"
"1995","S.1","P.53",,"O","Y"
"1995","S.1","P.53",,"O","AC"
"1995","S.1","P.53",,"O","ACPP"
"1995","S.1","P.5","117089.694956522","A","MCHF"
"1995","S.1","P.5",,"O","Y"
"1995","S.1","P.5",,"O","AC"
"1995","S.1","P.5",,"O","ACPP"
"1995","S.13","P.3","49267.1340916","A","MCHF"
"1995","S.13","P.3",,"O","Y"
"1995","S.13","P.3",,"O","AC"
"1995","S.13","P.3",,"O","ACPP"
"1995","S.14+S15","P.3","235070.057699748","A","MCHF"
"1995","S.14+S15","P.3",,"O","Y"
"1995","S.14+S15","P.3",,"O","AC"
"1995","S.14+S15","P.3",,"O","ACPP"
"1995","S.2","P.7","151172.11105139","A","MCHF"
"1995","S.2","P.7",,"O","Y"
"1995","S.2","P.7",,"O","AC"
"1995","S.2","P.7",,"O","ACPP"
"1995","S.2","P.71","113176.864430729","A","MCHF"
"1995","S.2","P.71",,"O","Y"
"1995","S.2","P.71",,"O","AC"
"1995","S.2","P.71",,"O","ACPP"
"1995","S.2","P.71c","96359.6780592506","A","MCHF"
"1995","S.2","P.71c",,"O","Y"
"1995","S.2","P.71c",,"O","AC"
"1995","S.2","P.71c",,"O","ACPP"
"1995","S.2","P.72","37995.2466206614","A","MCHF"
"1995","S.2","P.72",,"O","Y"
"1995","S.2","P.72",,"O","AC"
"1995","S.2","P.72",,"O","ACPP"
"1995","S.2","P.6","166973.565067862","A","MCHF"
"1995","S.2","P.6",,"O","Y"
"1995","S.2","P.6",,"O","AC"
"1995","S.2","P.6",,"O","ACPP"
"1995","S.2","P.61","116654.878289911","A","MCHF"
"1995","S.2","P.61",,"O","Y"
"1995","S.2","P.61",,"O","AC"
"1995","S.2","P.61",,"O","ACPP"
"1995","S.2","P.61c","99274.7651959113","A","MCHF"
"1995","S.2","P.61c",,"O","Y"
"1995","S.2","P.61c",,"O","AC"
"1995","S.2","P.61c",,"O","ACPP"
"1995","S.2","P.62","50318.686777951","A","MCHF"
"1995","S.2","P.62",,"O","Y"
"1995","S.2","P.62",,"O","AC"
"1995","S.2","P.62",,"O","ACPP"
"1996","S.1","B.1*b","420368.493912858","A","MCHF"
