"ESVG 2010, Quartalsaggregate des Bruttoinlandprodukts, Produktionsansatz, unbereinigte Daten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In Mio. Franken, zu laufenden Preisen und Veränderungsraten in % gegenüber dem gleichen Quartal des Vorjahres",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bruttoinlandprodukt,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,,,#BEZUG!,#BEZUG!,,,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,,,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,,,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,,
,,,,Bruttowertschöpfung vor Berichtigungen,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,,,#BEZUG!,#BEZUG!,,,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,,,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,,,#BEZUG!,#BEZUG!,Berichtigungen,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,#BEZUG!,,
,,,, ,,"Land-, Forstwirtschaft und Fischerei",,Bergbau und Gewinnung von Steinen und Erden,,Verarbeitendes Gewerbe/Herstellung  von Waren,,,,Energieversorgung,,"Wasserversorgung, Abwasser- und Abfallentsorgung und Beseitigung von Umweltverschmutzung",,Baugewerbe/Bau,,Handel; Instandhaltung und Reparatur von Kraftfahrzeugen,,,,Verkehr und Lagerei; Information und Kommunikation,,Gastgewerbe und Beherbergung,,Finanzdienstleistungen,,Versicherungsdienstleistungen,,"Grundstück- und Wohnungswesen; Freiberufl., wiss., techn. und sonstige DL",,Öffentliche Verwaltung ,,Erziehung und Unterricht,,Gesundheits- und Sozialwesen,,"Kunst, Unterhaltung und Erholung ",,Erbringung von sonstigen Dienstleistungen,,Private Haushalte als Arbeitgeber und Hersteller von Waren für den Eigenbedarf,,,,Gütersteuern,,Gütersubventionen,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,davon Chemie/Pharma,,,,,,,,,,davon Detailhandel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,NOGA 01-03,,NOGA 05-09,,NOGA 10-33,,NOGA 19-21,,NOGA 35,,NOGA 36-39,,NOGA 41-43,,NOGA 45-47,,NOGA 47,,NOGA 49-53; 58-63,,NOGA 55-56,,NOGA 64,,NOGA 65,,NOGA 68-75; 77-82,,NOGA 84,,NOGA 85,,NOGA 86-88,,NOGA 90-93,,NOGA 94-96,,NOGA 97-98,,,,,,,,,
1980,1,"49,174",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,2,"51,042",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,3,"51,374",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,4,"53,780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,1,"51,944",5.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,2,"54,730",7.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,3,"55,509",8.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,4,"58,287",8.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,1,"56,144",8.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,2,"58,373",6.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,3,"58,490",5.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,4,"60,566",3.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,1,"58,258",3.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,2,"59,833",2.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,3,"59,940",2.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,4,"62,597",3.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,1,"61,521",5.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,2,"63,828",6.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,3,"64,493",7.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,4,"67,345",7.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,1,"65,566",6.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,2,"68,019",6.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,3,"67,890",5.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,4,"71,214",5.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,1,"68,805",4.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,2,"72,132",6.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,3,"71,558",5.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,4,"73,693",3.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,1,"71,085",3.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
