"Jahr","Monat","Herkunftsland - Total Ankünfte","Herkunftsland - Total Logiernächte","Schweiz Ankünfte","Schweiz Logiernächte","Baltische Staaten Ankünfte","Baltische Staaten Logiernächte","Deutschland Ankünfte","Deutschland Logiernächte","Frankreich Ankünfte","Frankreich Logiernächte","Italien Ankünfte","Italien Logiernächte","Österreich Ankünfte","Österreich Logiernächte","Vereinigtes Königreich Ankünfte","Vereinigtes Königreich Logiernächte","Irland Ankünfte","Irland Logiernächte","Niederlande Ankünfte","Niederlande Logiernächte","Belgien Ankünfte","Belgien Logiernächte","Luxemburg Ankünfte","Luxemburg Logiernächte","Dänemark Ankünfte","Dänemark Logiernächte","Schweden Ankünfte","Schweden Logiernächte","Norwegen Ankünfte","Norwegen Logiernächte","Finnland Ankünfte","Finnland Logiernächte","Spanien Ankünfte","Spanien Logiernächte","Portugal Ankünfte","Portugal Logiernächte","Griechenland Ankünfte","Griechenland Logiernächte","Türkei Ankünfte","Türkei Logiernächte","Übriges Europa Ankünfte","Übriges Europa Logiernächte","Liechtenstein Ankünfte","Liechtenstein Logiernächte","Island Ankünfte","Island Logiernächte","Polen Ankünfte","Polen Logiernächte","Ungarn Ankünfte","Ungarn Logiernächte","Belarus Ankünfte","Belarus Logiernächte","Bulgarien Ankünfte","Bulgarien Logiernächte","Malta Ankünfte","Malta Logiernächte","Zypern Ankünfte","Zypern Logiernächte","Chile Ankünfte","Chile Logiernächte","Vereinigte Staaten Ankünfte","Vereinigte Staaten Logiernächte","Kanada Ankünfte","Kanada Logiernächte","Mexiko Ankünfte","Mexiko Logiernächte","Brasilien Ankünfte","Brasilien Logiernächte","Argentinien Ankünfte","Argentinien Logiernächte","Zentralamerika, Karibik Ankünfte","Zentralamerika, Karibik Logiernächte","Übriges Südamerika Ankünfte","Übriges Südamerika Logiernächte","Übriges Zentralamerika, Karibik Ankünfte","Übriges Zentralamerika, Karibik Logiernächte","Ägypten Ankünfte","Ägypten Logiernächte","Übriges Nordafrika Ankünfte","Übriges Nordafrika Logiernächte","Südafrika Ankünfte","Südafrika Logiernächte","Übriges Afrika Ankünfte","Übriges Afrika Logiernächte","Bahrain Ankünfte","Bahrain Logiernächte","Israel Ankünfte","Israel Logiernächte","Indien Ankünfte","Indien Logiernächte","Japan Ankünfte","Japan Logiernächte","Übriges Süd- und Ostasien Ankünfte","Übriges Süd- und Ostasien Logiernächte","Katar Ankünfte","Katar Logiernächte","Kuwait Ankünfte","Kuwait Logiernächte","Australien Ankünfte","Australien Logiernächte","Australien, Neuseeland, Ozeanien Ankünfte","Australien, Neuseeland, Ozeanien Logiernächte","China Ankünfte","China Logiernächte","Golf-Staaten Ankünfte","Golf-Staaten Logiernächte","Hongkong Ankünfte","Hongkong Logiernächte","Indonesien Ankünfte","Indonesien Logiernächte","Korea (Süd-) Ankünfte","Korea (Süd-) Logiernächte","Malaysia Ankünfte","Malaysia Logiernächte","Philippinen Ankünfte","Philippinen Logiernächte","Neuseeland, Ozeanien Ankünfte","Neuseeland, Ozeanien Logiernächte","Singapur Ankünfte","Singapur Logiernächte","Oman Ankünfte","Oman Logiernächte","Taiwan (Chinesisches Taipei) Ankünfte","Taiwan (Chinesisches Taipei) Logiernächte","Thailand Ankünfte","Thailand Logiernächte","Übriges Westasien Ankünfte","Übriges Westasien Logiernächte","Estland Ankünfte","Estland Logiernächte","Lettland Ankünfte","Lettland Logiernächte","Litauen Ankünfte","Litauen Logiernächte","Saudi-Arabien Ankünfte","Saudi-Arabien Logiernächte","Vereinigte Arabische Emirate Ankünfte","Vereinigte Arabische Emirate Logiernächte","Serbien und Montenegro Ankünfte","Serbien und Montenegro Logiernächte","Kroatien Ankünfte","Kroatien Logiernächte","Rumänien Ankünfte","Rumänien Logiernächte","Russland Ankünfte","Russland Logiernächte","Slowakei Ankünfte","Slowakei Logiernächte","Slowenien Ankünfte","Slowenien Logiernächte","Tschechien Ankünfte","Tschechien Logiernächte","Ukraine Ankünfte","Ukraine Logiernächte","Serbien Ankünfte","Serbien Logiernächte"
"2005","Jahrestotal",13802796,32943736,6573945,14622420,13115,32871,2007203,5563695,542502,1225619,460982,1011279,149826,331380,709155,2024567,25278,64312,312546,828889,207644,775687,35309,115046,49296,112030,73002,170354,30820,73045,27188,65234,163981,348245,30689,81046,39795,99294,26410,70343,85076,188465,10386,23204,5065,11702,31012,77484,21913,56797,3305,9437,12248,30656,...,...,...,...,3476,9320,657060,1494210,75997,178202,...,...,34458,102677,9047,25495,30591,82063,18922,50725,...,...,9412,32670,20311,77418,26444,66321,31388,96258,...,...,59062,154030,93472,249070,335199,584923,41877,95781,...,...,...,...,...,...,86767,194959,110004,171793,66621,252181,27375,48043,9255,22047,94955,135610,14952,39586,3678,10818,...,...,21173,47742,...,...,43125,62515,38984,70769,19359,54615,...,...,...,...,...,...,...,...,...,...,11389,26712,8936,22389,19235,51076,78749,276322,8961,23602,8292,18938,25245,63346,11334,38409,...,...
"2005","Januar",931296,2680116,482820,1217404,758,2632,135741,493726,34248,83550,34282,97797,9194,23516,47852,165216,1897,5774,19957,74348,16708,86996,3666,13204,3090,8691,4848,13940,2045,5617,1838,5546,8063,20773,2587,5772,3176,10378,3451,11331,5320,13678,620,1734,306,826,2128,5841,1128,3622,253,899,570,1780,...,...,...,...,178,474,32214,84355,3562,9600,...,...,2678,9232,592,1924,1598,4945,1104,3155,...,...,854,2922,1611,5844,2256,7523,1565,4562,...,...,3340,8647,1732,5634,5808,14204,2586,5949,...,...,...,...,...,...,6170,17255,4076,7612,4199,12946,744,1533,530,1291,4644,8066,520,1280,224,609,...,...,842,2256,...,...,1835,2969,1719,3804,1005,3246,...,...,...,...,...,...,...,...,...,...,803,1771,728,1544,1133,3636,10388,54434,629,1827,464,1799,1454,4221,965,4456,...,...
"2005","Februar",986905,3017746,482527,1399164,780,2519,145958,470854,51587,164870,32009,85819,9351,24047,63037,229330,2170,5729,32423,122724,21585,99649,5530,25792,4758,13431,7704,24169,3182,9798,2606,7470,8441,20483,2483,6582,2226,5991,2080,6106,4943,13146,679,1819,397,919,2505,8399,1165,3747,332,1128,683,2097,...,...,...,...,203,562,30201,83848,4002,11517,...,...,2021,6900,498,1631,1288,4255,926,2530,...,...,571,2308,1720,6985,1685,4204,1866,6596,...,...,3133,8065,1967,7029,7386,17231,1969,5240,...,...,...,...,...,...,3458,9023,5858,9078,2417,7387,2000,3849,318,883,3710,6485,775,2310,114,402,...,...,920,2610,...,...,2374,3610,1645,3874,1055,2944,...,...,...,...,...,...,...,...,...,...,888,2273,560,1716,857,2624,5804,22698,588,1625,528,1583,1717,5540,742,2549,...,...
"2005","März",1118797,3238735,538716,1371627,1007,2880,191395,713102,45207,119484,40692,102644,11984,31087,64401,221592,2155,5560,24066,89567,22458,112317,3365,10844,3966,10247,8085,27453,2867,8489,2461,7106,11741,29846,3055,8524,2711,7255,2160,5495,6824,14952,879,2398,397,946,2530,6621,1842,4981,375,1336,823,2151,...,...,...,...,204,573,41625,103595,6055,16049,...,...,2020,6461,727,1873,1918,5803,1277,3305,...,...,670,2239,1442,5315,2205,5564,2433,7388,...,...,4032,10942,3184,9762,9837,21170,2429,6321,...,...,...,...,...,...,4543,10625,3933,8154,2792,8260,1745,3812,544,1415,3880,6360,2205,7361,197,717,...,...,1048,2826,...,...,1958,3451,3055,6475,980,3068,...,...,...,...,...,...,...,...,...,...,1038,2349,839,2353,1449,3712,7893,29862,778,2064,608,1798,2102,5910,990,3299,...,...
"2005","April",907680,2067465,427449,904378,866,2301,127433,330117,38049,75676,35235,65568,11831,26900,46265,123997,1779,4020,15843,32363,13174,48637,1843,6054,3124,7361,5904,13935,1864,4421,2124,5168,9705,21425,2536,7000,2693,6154,2255,6287,5490,11715,718,1642,287,701,2785,6718,1420,3752,276,927,1302,2745,...,...,...,...,263,731,42371,100865,5159,12570,...,...,2440,7807,771,2110,2345,7529,1435,4183,...,...,749,2484,1530,5198,2034,5609,2566,7583,...,...,4202,10309,5635,17376,14375,28886,3363,7867,...,...,...,...,...,...,5470,12464,7474,14475,3409,10580,2338,6739,660,1800,5974,8711,1738,4941,321,1048,...,...,1565,4571,...,...,2883,4949,9841,15491,1857,4495,...,...,...,...,...,...,...,...,...,...,879,2455,758,2020,1229,3220,5939,18114,750,1844,673,1566,1554,3842,880,3071,...,...
"2005","Mai",1056891,2185950,468557,938226,1281,2342,170122,391574,37626,68354,29428,50832,13157,25672,54016,119814,1934,4356,21850,44783,10305,20192,2453,5859,3544,7342,5619,10191,2125,4207,2351,4564,10847,22074,2306,5885,2201,5529,1957,5303,7391,13996,991,2148,338,697,2771,6271,1762,4593,246,524,1035,2440,...,...,...,...,324,912,60663,127038,7614,15569,...,...,2838,7947,853,2041,2698,6751,1604,3992,...,...,654,2255,1608,5366,1908,4468,3153,9160,...,...,3693,8010,21046,53889,22393,35435,3178,7196,...,...,...,...,...,...,8741,17801,11957,18355,3296,10450,1854,2836,559,1421,10689,14233,1292,3038,449,1108,...,...,2230,4327,...,...,5114,6676,4755,8141,1665,4246,...,...,...,...,...,...,...,...,...,...,799,2227,858,1852,1382,3373,6072,17057,724,1770,864,1609,2369,5043,782,2590,...,...
"2005","Juni",1341072,2889836,594210,1182258,974,2423,189470,468548,46960,88816,37729,68073,14401,30938,74431,204369,2036,5195,30888,75308,17242,52022,2602,6934,4578,10189,6816,13247,2859,5836,2540,5327,14669,29279,2536,7141,3213,8681,2075,5593,8678,18542,820,1661,585,1345,3034,6753,2240,5560,226,495,1052,2906,...,...,...,...,428,1372,89299,195684,7753,18047,...,...,3372,10193,955,3162,3915,10700,2090,6240,...,...,977,3403,1800,6610,2607,6178,3308,11095,...,...,4775,10575,18855,47431,59075,93808,4459,11242,...,...,...,...,...,...,10820,23733,11490,17502,4215,14355,2817,4558,1160,2748,9828,13273,1712,4483,358,1260,...,...,3388,7147,...,...,5053,7073,2858,6291,2578,5682,...,...,...,...,...,...,...,...,...,...,897,2277,820,2079,1732,4989,5343,16474,988,2280,896,1775,2543,5718,1044,2960,...,...
"2005","Juli",1651118,3775995,742828,1640837,1244,2804,213797,548849,60150,136669,43722,97855,16412,34303,77466,221305,2576,6976,54575,114507,33638,122101,3099,8767,8165,15550,8241,15266,5730,9769,3080,6260,20433,39113,2751,7723,4677,9390,2039,5461,9861,20520,1219,2777,684,1538,3003,7051,3061,6572,487,1244,1157,3656,...,...,...,...,407,946,97739,207033,9156,19646,...,...,3969,10787,967,2512,3983,8938,2542,5691,...,...,1151,4191,1800,7865,2681,6318,3233,8913,...,...,7641,21186,12647,31646,86168,144999,5414,11010,...,...,...,...,...,...,10438,22740,12745,19628,12405,51119,4008,5937,1347,2876,16743,23824,1055,2570,292,964,...,...,1462,3936,...,...,5969,8075,2753,5218,2122,5598,...,...,...,...,...,...,...,...,...,...,1048,2392,745,1886,2233,5433,6586,21193,917,2272,712,1643,2839,6513,1106,3634,...,...
"2005","August",1595475,3868916,708286,1563233,1904,3483,246871,678792,65574,164032,67456,175216,18437,40482,77873,229445,2434,6265,43321,110832,27311,117775,4367,14427,4545,10353,4754,9765,2166,4947,1878,4443,31056,62404,3198,7842,5813,11785,1663,4275,10430,26456,1077,2406,698,1503,2700,6439,2610,6456,231,800,1102,2402,...,...,...,...,354,790,69421,153402,7504,16253,...,...,2488,7109,821,2373,2591,6091,1707,4821,...,...,1016,3502,1984,9498,1947,4657,2480,6964,...,...,10320,34279,10621,26294,53113,92105,4957,10123,...,...,...,...,...,...,8586,17827,12491,17882,19407,91895,2940,4844,510,1341,14486,19156,714,2093,253,792,...,...,1016,2421,...,...,4384,6389,1574,3016,2596,8959,...,...,...,...,...,...,...,...,...,...,866,2077,556,1386,3065,6902,7127,22511,773,2180,887,1571,3098,7948,1067,3207,...,...
"2005","September",1423091,3108116,702631,1456629,1220,3051,217791,550539,45147,87155,35720,65351,15742,33625,67069,179658,2118,5205,26073,58495,15032,38047,2721,7915,5077,11044,7403,13760,2785,6183,2506,5798,14460,29415,2511,6592,2280,5206,1988,4778,7760,16979,931,1956,418,890,2880,6515,2386,5792,197,532,1580,3314,...,...,...,...,354,948,80818,173676,9841,22431,...,...,3978,10338,1015,2686,3494,8257,2001,5258,...,...,894,2938,2195,8300,2557,5956,3490,10342,...,...,7066,17276,6825,16561,41119,69324,3701,8944,...,...,...,...,...,...,11809,24131,12212,18063,6185,21357,2723,4379,900,2109,6486,9506,1087,2575,401,1067,...,...,1603,3520,...,...,5176,7094,2657,4667,1509,4768,...,...,...,...,...,...,...,...,...,...,999,2104,869,1780,2077,5366,5269,15151,851,2112,714,1403,2824,6471,966,2834,...,...
