"CubeId";"amarbma"
"PublishingDate";"2024-11-21 09:00"

"Date";"D0";"Value"
"2000-01";"T1";"2.34687818"
"2000-01";"S1";"2.02743149"
"2000-01";"E";"3946988"
"2000-02";"T1";"2.24733392"
"2000-02";"S1";"1.9712185"
"2000-02";"E";"3946988"
"2000-03";"T1";"2.06608178"
"2000-03";"S1";"1.91018968"
"2000-03";"E";"3946988"
"2000-04";"T1";"1.91644869"
"2000-04";"S1";"1.87376533"
"2000-04";"E";"3946988"
"2000-05";"T1";"1.76813307"
"2000-05";"S1";"1.8247651"
"2000-05";"E";"3946988"
"2000-06";"T1";"1.67119839"
"2000-06";"S1";"1.81158866"
"2000-06";"E";"3946988"
"2000-07";"T1";"1.65037239"
"2000-07";"S1";"1.79362937"
"2000-07";"E";"3946988"
"2000-08";"T1";"1.61409156"
"2000-08";"S1";"1.75623824"
"2000-08";"E";"3946988"
"2000-09";"T1";"1.57915352"
"2000-09";"S1";"1.72409038"
"2000-09";"E";"3946988"
"2000-10";"T1";"1.59496305"
"2000-10";"S1";"1.67495711"
"2000-10";"E";"3946988"
"2000-11";"T1";"1.66509247"
"2000-11";"S1";"1.61404711"
"2000-11";"E";"3946988"
"2000-12";"T1";"1.76651158"
"2000-12";"S1";"1.56545887"
"2000-12";"E";"3946988"
"2001-01";"T1";"1.83164986"
"2001-01";"S1";"1.51874539"
"2001-01";"E";"3946988"
"2001-02";"T1";"1.76757568"
"2001-02";"S1";"1.50041964"
"2001-02";"E";"3946988"
"2001-03";"T1";"1.66266024"
"2001-03";"S1";"1.52386072"
"2001-03";"E";"3946988"
"2001-04";"T1";"1.59696457"
"2001-04";"S1";"1.54956892"
"2001-04";"E";"3946988"
"2001-05";"T1";"1.54793985"
"2001-05";"S1";"1.60425797"
"2001-05";"E";"3946988"
"2001-06";"T1";"1.49926982"
"2001-06";"S1";"1.64808872"
"2001-06";"E";"3946988"
"2001-07";"T1";"1.52435224"
"2001-07";"S1";"1.67313333"
"2001-07";"E";"3946988"
"2001-08";"T1";"1.5474838"
