"CubeId";"devwkibiim"
"PublishingDate";"2024-11-07 09:00"

"Date";"D0";"D1";"D2";"Value"
"2000-10";"N";"CN";"I";"94.84511539"
"2000-10";"N";"DE";"I";"100.08646148"
"2000-10";"N";"GB";"I";"95.96042227"
"2000-10";"N";"US";"I";"95.21063048"
"2000-10";"K";"CN";"I";"94.68078276"
"2000-10";"K";"DE";"I";"100.11889656"
"2000-10";"K";"GB";"I";"95.56484159"
"2000-10";"K";"US";"I";"95.36010886"
"2000-11";"N";"CN";"I";"94.55600594"
"2000-11";"N";"DE";"I";"99.56480318"
"2000-11";"N";"GB";"I";"97.22156445"
"2000-11";"N";"US";"I";"94.77120504"
"2000-11";"K";"CN";"I";"94.46914872"
"2000-11";"K";"DE";"I";"99.62577896"
"2000-11";"K";"GB";"I";"96.99447768"
"2000-11";"K";"US";"I";"95.02159954"
"2000-12";"N";"CN";"I";"100"
"2000-12";"N";"DE";"I";"100"
"2000-12";"N";"GB";"I";"100"
"2000-12";"N";"US";"I";"100"
"2000-12";"K";"CN";"I";"100"
"2000-12";"K";"DE";"I";"100"
"2000-12";"K";"GB";"I";"100"
"2000-12";"K";"US";"I";"100"
"2001-01";"N";"CN";"I";"103.2672354"
"2001-01";"N";"DE";"I";"99.09067837"
"2001-01";"N";"GB";"I";"102.28374083"
"2001-01";"N";"US";"I";"103.43770704"
"2001-01";"K";"CN";"I";"103.06297719"
"2001-01";"K";"DE";"I";"99.39896484"
"2001-01";"K";"GB";"I";"102.29708367"
"2001-01";"K";"US";"I";"103.02934022"
"2001-02";"N";"CN";"I";"100.82720031"
"2001-02";"N";"DE";"I";"98.64266183"
"2001-02";"N";"GB";"I";"101.7060919"
"2001-02";"N";"US";"I";"101.06269945"
"2001-02";"K";"CN";"I";"100.81097078"
"2001-02";"K";"DE";"I";"98.32630022"
"2001-02";"K";"GB";"I";"101.42116023"
"2001-02";"K";"US";"I";"100.35241952"
"2001-03";"N";"CN";"I";"99.43124836"
"2001-03";"N";"DE";"I";"98.62815749"
"2001-03";"N";"GB";"I";"100.97945738"
"2001-03";"N";"US";"I";"99.76029149"
"2001-03";"K";"CN";"I";"99.48799857"
"2001-03";"K";"DE";"I";"98.42289811"
"2001-03";"K";"GB";"I";"100.7579255"
"2001-03";"K";"US";"I";"99.16809196"
"2001-04";"N";"CN";"I";"98.20181637"
"2001-04";"N";"DE";"I";"99.13621789"
"2001-04";"N";"GB";"I";"100.23600672"
"2001-04";"N";"US";"I";"98.31615006"
"2001-04";"K";"CN";"I";"97.6758284"
"2001-04";"K";"DE";"I";"98.34078663"
"2001-04";"K";"GB";"I";"99.5391246"
"2001-04";"K";"US";"I";"97.33587724"
"2001-05";"N";"CN";"I";"95.93256962"
"2001-05";"N";"DE";"I";"98.76293742"
"2001-05";"N";"GB";"I";"98.63094404"
"2001-05";"N";"US";"I";"96.10723935"
"2001-05";"K";"CN";"I";"95.88938641"
"2001-05";"K";"DE";"I";"98.19995728"
"2001-05";"K";"GB";"I";"98.03709518"
"2001-05";"K";"US";"I";"95.30630032"
"2001-06";"N";"CN";"I";"94.20836719"
"2001-06";"N";"DE";"I";"99.50014072"
"2001-06";"N";"GB";"I";"98.51242534"
"2001-06";"N";"US";"I";"94.41803148"
"2001-06";"K";"CN";"I";"94.4706758"
"2001-06";"K";"DE";"I";"98.95106568"
"2001-06";"K";"GB";"I";"97.91376158"
"2001-06";"K";"US";"I";"93.59462427"
"2001-07";"N";"CN";"I";"95.65120899"
"2001-07";"N";"DE";"I";"100.0847318"
"2001-07";"N";"GB";"I";"99.0605675"
"2001-07";"N";"US";"I";"95.66126635"
"2001-07";"K";"CN";"I";"96.19877143"
"2001-07";"K";"DE";"I";"99.94700904"
"2001-07";"K";"GB";"I";"99.04596524"
"2001-07";"K";"US";"I";"95.31422376"
"2001-08";"N";"CN";"I";"100.11446126"
"2001-08";"N";"DE";"I";"100.027785"
"2001-08";"N";"GB";"I";"101.97391004"
"2001-08";"N";"US";"I";"100.12637823"
"2001-08";"K";"CN";"I";"100.45987818"
"2001-08";"K";"DE";"I";"99.39287589"
"2001-08";"K";"GB";"I";"101.20995279"
"2001-08";"K";"US";"I";"99.25098495"
"2001-09";"N";"CN";"I";"102.8279921"
"2001-09";"N";"DE";"I";"101.52583094"
"2001-09";"N";"GB";"I";"102.8515838"
"2001-09";"N";"US";"I";"102.76069318"
"2001-09";"K";"CN";"I";"103.40480569"
"2001-09";"K";"DE";"I";"100.66858866"
"2001-09";"K";"GB";"I";"101.89294168"
"2001-09";"K";"US";"I";"101.48620463"
"2001-10";"N";"CN";"I";"102.9328694"
"2001-10";"N";"DE";"I";"102.36930727"
"2001-10";"N";"GB";"I";"103.94979908"
"2001-10";"N";"US";"I";"103.1190414"
"2001-10";"K";"CN";"I";"103.09606968"
"2001-10";"K";"DE";"I";"101.12783132"
"2001-10";"K";"GB";"I";"102.73207997"
"2001-10";"K";"US";"I";"101.73031797"
"2001-11";"N";"CN";"I";"101.89431302"
"2001-11";"N";"DE";"I";"103.28342422"
"2001-11";"N";"GB";"I";"103.86561322"
"2001-11";"N";"US";"I";"101.99367961"
"2001-11";"K";"CN";"I";"102.31881159"
"2001-11";"K";"DE";"I";"102.09491056"
"2001-11";"K";"GB";"I";"102.70516339"
"2001-11";"K";"US";"I";"100.64424466"
"2001-12";"N";"CN";"I";"101.42698216"
"2001-12";"N";"DE";"I";"102.71099841"
"2001-12";"N";"GB";"I";"103.54196982"
"2001-12";"N";"US";"I";"101.90916119"
"2001-12";"K";"CN";"I";"102.00759048"
"2001-12";"K";"DE";"I";"101.40191787"
"2001-12";"K";"GB";"I";"102.4751464"
"2001-12";"K";"US";"I";"100.63780834"
"2002-01";"N";"CN";"I";"100.69713665"
"2002-01";"N";"DE";"I";"102.71139327"
"2002-01";"N";"GB";"I";"103.07702464"
"2002-01";"N";"US";"I";"100.98701181"
"2002-01";"K";"CN";"I";"102.06778248"
"2002-01";"K";"DE";"I";"101.44493497"
"2002-01";"K";"GB";"I";"101.88299912"
"2002-01";"K";"US";"I";"99.94696855"
"2002-02";"N";"CN";"I";"99.08679108"
"2002-02";"N";"DE";"I";"102.52244721"
"2002-02";"N";"GB";"I";"101.98167423"
"2002-02";"N";"US";"I";"99.16900148"
"2002-02";"K";"CN";"I";"99.80350448"
"2002-02";"K";"DE";"I";"101.03420498"
"2002-02";"K";"GB";"I";"100.65173655"
"2002-02";"K";"US";"I";"98.04444781"
"2002-03";"N";"CN";"I";"100.42884816"
"2002-03";"N";"DE";"I";"103.18793437"
"2002-03";"N";"GB";"I";"103.38077652"
"2002-03";"N";"US";"I";"100.50375614"
"2002-03";"K";"CN";"I";"101.73503761"
"2002-03";"K";"DE";"I";"101.46234986"
"2002-03";"K";"GB";"I";"101.93615057"
"2002-03";"K";"US";"I";"99.00873515"
"2002-04";"N";"CN";"I";"101.7060582"
"2002-04";"N";"DE";"I";"103.3233028"
"2002-04";"N";"GB";"I";"103.17922691"
"2002-04";"N";"US";"I";"101.70152477"
"2002-04";"K";"CN";"I";"103.48402651"
"2002-04";"K";"DE";"I";"102.03051851"
"2002-04";"K";"GB";"I";"101.87248475"
"2002-04";"K";"US";"I";"100.10338023"
"2002-05";"N";"CN";"I";"105.91456112"
"2002-05";"N";"DE";"I";"103.98257759"
"2002-05";"N";"GB";"I";"106.19361567"
"2002-05";"N";"US";"I";"105.96962134"
"2002-05";"K";"CN";"I";"107.64737752"
"2002-05";"K";"DE";"I";"102.7176892"
"2002-05";"K";"GB";"I";"104.90676131"
"2002-05";"K";"US";"I";"104.46992167"
"2002-06";"N";"CN";"I";"109.25876775"
"2002-06";"N";"DE";"I";"102.92508915"
"2002-06";"N";"GB";"I";"107.83435153"
"2002-06";"N";"US";"I";"109.27779264"
"2002-06";"K";"CN";"I";"110.72827953"
"2002-06";"K";"DE";"I";"101.48506289"
"2002-06";"K";"GB";"I";"106.34046708"
"2002-06";"K";"US";"I";"107.49073343"
"2002-07";"N";"CN";"I";"114.17085311"
"2002-07";"N";"DE";"I";"103.55486601"
"2002-07";"N";"GB";"I";"107.56997668"
"2002-07";"N";"US";"I";"114.23509114"
"2002-07";"K";"CN";"I";"116.00508363"
"2002-07";"K";"DE";"I";"102.22587613"
"2002-07";"K";"GB";"I";"106.01303362"
"2002-07";"K";"US";"I";"112.18194164"
"2002-08";"N";"CN";"I";"112.35989997"
"2002-08";"N";"DE";"I";"103.50774947"
"2002-08";"N";"GB";"I";"107.09052674"
"2002-08";"N";"US";"I";"112.49883222"
"2002-08";"K";"CN";"I";"114.20949766"
"2002-08";"K";"DE";"I";"102.08946093"
"2002-08";"K";"GB";"I";"105.39564579"
"2002-08";"K";"US";"I";"110.10220003"
"2002-09";"N";"CN";"I";"112.55905855"
"2002-09";"N";"DE";"I";"103.37925028"
"2002-09";"N";"GB";"I";"106.04358548"
"2002-09";"N";"US";"I";"112.71967994"
"2002-09";"K";"CN";"I";"114.46502637"
"2002-09";"K";"DE";"I";"101.80279612"
"2002-09";"K";"GB";"I";"104.22525506"
"2002-09";"K";"US";"I";"110.30362603"
"2002-10";"N";"CN";"I";"112.65272177"
"2002-10";"N";"DE";"I";"103.39436709"
"2002-10";"N";"GB";"I";"105.98612401"
"2002-10";"N";"US";"I";"112.7852409"
"2002-10";"K";"CN";"I";"114.94141583"
"2002-10";"K";"DE";"I";"102.09046629"
"2002-10";"K";"GB";"I";"104.28899866"
"2002-10";"K";"US";"I";"110.36643286"
"2002-11";"N";"CN";"I";"114.74114192"
"2002-11";"N";"DE";"I";"103.22570408"
"2002-11";"N";"GB";"I";"106.97424826"
"2002-11";"N";"US";"I";"114.92329694"
"2002-11";"K";"CN";"I";"116.90164775"
"2002-11";"K";"DE";"I";"101.79813846"
"2002-11";"K";"GB";"I";"105.03547533"
"2002-11";"K";"US";"I";"111.95274026"
"2002-12";"N";"CN";"I";"117.06819376"
"2002-12";"N";"DE";"I";"103.26339216"
"2002-12";"N";"GB";"I";"107.9447092"
"2002-12";"N";"US";"I";"117.09326294"
"2002-12";"K";"CN";"I";"119.21205836"
"2002-12";"K";"DE";"I";"101.69303264"
"2002-12";"K";"GB";"I";"105.92601182"
"2002-12";"K";"US";"I";"113.8970487"
"2003-01";"N";"CN";"I";"122.25211983"
"2003-01";"N";"DE";"I";"103.63319206"
"2003-01";"N";"GB";"I";"110.71181522"
"2003-01";"N";"US";"I";"122.22328425"
"2003-01";"K";"CN";"I";"124.53905288"
"2003-01";"K";"DE";"I";"102.17889222"
"2003-01";"K";"GB";"I";"108.84574595"
"2003-01";"K";"US";"I";"118.88604193"
"2003-02";"N";"CN";"I";"123.59719482"
"2003-02";"N";"DE";"I";"103.2337965"
"2003-02";"N";"GB";"I";"112.36738502"
"2003-02";"N";"US";"I";"123.6603673"
"2003-02";"K";"CN";"I";"125.53395829"
"2003-02";"K";"DE";"I";"101.4585589"
"2003-02";"K";"GB";"I";"110.4040201"
"2003-02";"K";"US";"I";"119.83431458"
"2003-03";"N";"CN";"I";"123.55281561"
"2003-03";"N";"DE";"I";"103.10594053"
"2003-03";"N";"GB";"I";"114.5503946"
"2003-03";"N";"US";"I";"123.88403258"
"2003-03";"K";"CN";"I";"125.71678227"
"2003-03";"K";"DE";"I";"101.66760848"
"2003-03";"K";"GB";"I";"112.72755539"
"2003-03";"K";"US";"I";"120.10253625"
"2003-04";"N";"CN";"I";"122.03821765"
"2003-04";"N";"DE";"I";"101.24691017"
"2003-04";"N";"GB";"I";"113.65851423"
"2003-04";"N";"US";"I";"122.2832608"
"2003-04";"K";"CN";"I";"123.69706475"
"2003-04";"K";"DE";"I";"99.69209145"
"2003-04";"K";"GB";"I";"111.13320974"
"2003-04";"K";"US";"I";"118.49117499"
"2003-05";"N";"CN";"I";"128.42441127"
"2003-05";"N";"DE";"I";"99.96874787"
"2003-05";"N";"GB";"I";"115.83064398"
"2003-05";"N";"US";"I";"128.45161478"
"2003-05";"K";"CN";"I";"130.29026655"
"2003-05";"K";"DE";"I";"98.53535891"
"2003-05";"K";"GB";"I";"113.31834382"
"2003-05";"K";"US";"I";"124.54116046"
"2003-06";"N";"CN";"I";"127.50219635"
