Datenportal der Schweizerischen Nationalbank,,,
https://data.snb.ch,,,
,,,
Tabellenangebot,,,
Volkswirtschaft der Schweiz,,,
Kerninflation,,,
Veränderung gegenüber Vorjahr,,,
https://data.snb.ch/de/topics/uvo/chart/plkoprinflach,,,
,,,
Hinweis: Die vorliegende Datei enthält keine sonstigen Informationen oder Verweise.,,,
Für das bessere Verständnis der Werte in dieser Datei muss gegebenenfalls die entsprechende Grafik konsultiert werden.,,,
Aus urheberrechtlichen Gründen kann das Herunterladen von Datenreihen eingeschränkt sein.,,,
,,,
Grafik ID,plkoprinflach,,
,,,
,LIK,TM15,BFS1
1922-01,-15.1,,
1922-02,-17.5,,
1922-03,-19.8,,
1922-04,-21.4,,
1922-05,-21.5,,
1922-06,-20.2,,
1922-07,-19.2,,
1922-08,-19.5,,
1922-09,-18.5,,
1922-10,-17,,
1922-11,-14.7,,
1922-12,-12.6,,
1923-01,-12.2,,
1923-02,-9.2,,
1923-03,-4.9,,
1923-04,-1.2,,
1923-05,2.3,,
1923-06,3.5,,
1923-07,3.2,,
1923-08,4,,
1923-09,4,,
1923-10,3.6,,
1923-11,4.2,,
1923-12,4.8,,
1924-01,5,,
1924-02,5.4,,
1924-03,4.9,,
1924-04,3.5,,
1924-05,2.4,,
1924-06,1.8,,
1924-07,2.1,,
1924-08,2,,
1924-09,2.1,,
1924-10,3.3,,
1924-11,2.4,,
1924-12,1.7,,
1925-01,0.4,,
1925-02,0.8,,
1925-03,0.7,,
1925-04,0.5,,
1925-05,0.5,,
1925-06,0.3,,
1925-07,-0.1,,
1925-08,0,,
1925-09,0.1,,
1925-10,-2,,
1925-11,-2.5,,
1925-12,-2.5,,
1926-01,-2.3,,
1926-02,-3.1,,
1926-03,-3.5,,
1926-04,-3.7,,
1926-05,-3.7,,
1926-06,-3.8,,
1926-07,-3.8,,
1926-08,-4.3,,
1926-09,-4.3,,
1926-10,-3.5,,
1926-11,-3.7,,
1926-12,-3.5,,
1927-01,-3.4,,
1927-02,-2.8,,
1927-03,-2.8,,
1927-04,-2.5,,
1927-05,-1.4,,
1927-06,-0.8,,
1927-07,-1,,
1927-08,-0.6,,
1927-09,0.1,,
1927-10,0.1,,
1927-11,0.8,,
1927-12,0.7,,
1928-01,0.7,,
1928-02,0.6,,
1928-03,0.6,,
1928-04,1.3,,
1928-05,0.5,,
1928-06,0.2,,
1928-07,0.7,,
1928-08,0.5,,
1928-09,-0.1,,
