RoundedTime,Rebgassechange,Clarahuuschange,Citychange,Storchenchange,Post Baselchange,Aeschenchange,Bahnhof Südchange,Bad. Bahnhofchange,Europechange,Claramattechange,Elisabethenchange,Steinenchange,Kunstmuseumchange,Messechange,Anfoschange,Centralbahnparkingchange
2022-01-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01 01:00:00+00:00,7.0,6.0,15.0,19.0,0.0,2.0,2.0,3.0,1.0,23.0,5.0,10.0,4.0,7.0,0.0,2.0
2022-01-01 02:00:00+00:00,7.0,1.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,19.0,0.0,8.0,1.0,1.0
2022-01-01 03:00:00+00:00,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,23.0,0.0,8.0,0.0,0.0
2022-01-01 04:00:00+00:00,3.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,2.0,0.0,0.0
2022-01-01 05:00:00+00:00,2.0,0.0,-2.0,-2.0,0.0,0.0,-2.0,0.0,-1.0,0.0,1.0,7.0,0.0,2.0,0.0,-1.0
2022-01-01 06:00:00+00:00,-2.0,0.0,-85.0,4.0,0.0,-1.0,0.0,-1.0,0.0,0.0,5.0,2.0,0.0,-4.0,1.0,0.0
2022-01-01 07:00:00+00:00,1.0,-1.0,2.0,2.0,0.0,-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,-4.0,0.0,-3.0
2022-01-01 08:00:00+00:00,0.0,1.0,-5.0,1.0,0.0,0.0,-1.0,-1.0,1.0,0.0,-3.0,-3.0,0.0,-4.0,0.0,0.0
2022-01-01 09:00:00+00:00,0.0,-1.0,-13.0,0.0,0.0,0.0,-5.0,1.0,1.0,-4.0,-8.0,2.0,0.0,-2.0,0.0,-5.0
2022-01-01 10:00:00+00:00,1.0,-6.0,-16.0,3.0,-3.0,0.0,-5.0,-2.0,1.0,2.0,-4.0,0.0,-2.0,-9.0,1.0,-6.0
2022-01-01 11:00:00+00:00,-1.0,0.0,-17.0,-3.0,2.0,0.0,-1.0,0.0,3.0,-1.0,-8.0,-3.0,-2.0,-10.0,1.0,-17.0
2022-01-01 12:00:00+00:00,-2.0,0.0,-1.0,-10.0,0.0,-6.0,9.0,-1.0,1.0,1.0,-21.0,-20.0,1.0,-8.0,2.0,17.0
2022-01-01 13:00:00+00:00,-2.0,0.0,9.0,-11.0,-1.0,3.0,2.0,-2.0,0.0,-4.0,-31.0,-28.0,-5.0,-9.0,1.0,-12.0
2022-01-01 14:00:00+00:00,-17.0,0.0,-65.0,-23.0,-1.0,-3.0,-4.0,-2.0,-2.0,-9.0,-26.0,-27.0,-4.0,-4.0,0.0,-4.0
2022-01-01 15:00:00+00:00,-8.0,0.0,25.0,-7.0,-2.0,-3.0,-8.0,1.0,4.0,-1.0,5.0,-16.0,1.0,-13.0,0.0,-1.0
2022-01-01 16:00:00+00:00,5.0,0.0,68.0,14.0,2.0,0.0,4.0,3.0,1.0,-1.0,14.0,16.0,-1.0,-13.0,0.0,0.0
2022-01-01 17:00:00+00:00,11.0,0.0,22.0,20.0,1.0,6.0,14.0,4.0,0.0,4.0,24.0,16.0,3.0,2.0,0.0,1.0
2022-01-01 18:00:00+00:00,9.0,0.0,17.0,9.0,-3.0,4.0,-1.0,0.0,-1.0,8.0,12.0,7.0,7.0,-17.0,0.0,19.0
