Datum/Zeit;timestamp_text;o3_stundenmittelwerte_ug_m3;geo_point_2d
2022-06-13T09:00:00+00:00;2022-06-13T10:00:00+00:00;145.607;47.5717, 7.6870833
2022-10-09T07:00:00+00:00;2022-10-09T08:00:00+00:00;54.736;47.5717, 7.6870833
2022-10-09T08:00:00+00:00;2022-10-09T09:00:00+00:00;53.527;47.5717, 7.6870833
2022-10-09T13:00:00+00:00;2022-10-09T14:00:00+00:00;53.762;47.5717, 7.6870833
2022-10-09T20:00:00+00:00;2022-10-09T21:00:00+00:00;39.898;47.5717, 7.6870833
2022-10-09T22:00:00+00:00;2022-10-09T23:00:00+00:00;38.649;47.5717, 7.6870833
2022-10-10T03:00:00+00:00;2022-10-10T04:00:00+00:00;50.182;47.5717, 7.6870833
2022-10-10T05:00:00+00:00;2022-10-10T06:00:00+00:00;51.452;47.5717, 7.6870833
2022-10-10T06:00:00+00:00;2022-10-10T07:00:00+00:00;54.949;47.5717, 7.6870833
2022-10-10T07:00:00+00:00;2022-10-10T08:00:00+00:00;58.576;47.5717, 7.6870833
2022-10-10T08:00:00+00:00;2022-10-10T09:00:00+00:00;63.27;47.5717, 7.6870833
2022-10-10T10:00:00+00:00;2022-10-10T11:00:00+00:00;57.608;47.5717, 7.6870833
2022-10-10T12:00:00+00:00;2022-10-10T13:00:00+00:00;51.378;47.5717, 7.6870833
2022-10-10T13:00:00+00:00;2022-10-10T14:00:00+00:00;58.405;47.5717, 7.6870833
2022-10-10T14:00:00+00:00;2022-10-10T15:00:00+00:00;62.973;47.5717, 7.6870833
2022-10-10T22:00:00+00:00;2022-10-10T23:00:00+00:00;65.85;47.5717, 7.6870833
2022-10-11T00:00:00+00:00;2022-10-11T01:00:00+00:00;88.491;47.5717, 7.6870833
2022-10-11T01:00:00+00:00;2022-10-11T02:00:00+00:00;82.033;47.5717, 7.6870833
2022-10-11T05:00:00+00:00;2022-10-11T06:00:00+00:00;81.102;47.5717, 7.6870833
2022-10-11T06:00:00+00:00;2022-10-11T07:00:00+00:00;62.497;47.5717, 7.6870833
2022-10-11T13:00:00+00:00;2022-10-11T14:00:00+00:00;37.871;47.5717, 7.6870833
2022-10-11T20:00:00+00:00;2022-10-11T21:00:00+00:00;22.448;47.5717, 7.6870833
2022-10-12T01:00:00+00:00;2022-10-12T02:00:00+00:00;23.911;47.5717, 7.6870833
2022-10-12T03:00:00+00:00;2022-10-12T04:00:00+00:00;29.02;47.5717, 7.6870833
2022-10-12T04:00:00+00:00;2022-10-12T05:00:00+00:00;23.676;47.5717, 7.6870833
2022-10-12T07:00:00+00:00;2022-10-12T08:00:00+00:00;38.494;47.5717, 7.6870833
2022-10-12T08:00:00+00:00;2022-10-12T09:00:00+00:00;39.388;47.5717, 7.6870833
2022-10-12T11:00:00+00:00;2022-10-12T12:00:00+00:00;45.685;47.5717, 7.6870833
2022-10-12T17:00:00+00:00;2022-10-12T18:00:00+00:00;49.85;47.5717, 7.6870833
2022-10-12T18:00:00+00:00;2022-10-12T19:00:00+00:00;48.358;47.5717, 7.6870833
2022-10-12T19:00:00+00:00;2022-10-12T20:00:00+00:00;49.341;47.5717, 7.6870833
2022-10-12T23:00:00+00:00;2022-10-13T00:00:00+00:00;46.01;47.5717, 7.6870833
2022-10-13T01:00:00+00:00;2022-10-13T02:00:00+00:00;43.361;47.5717, 7.6870833
2022-10-13T05:00:00+00:00;2022-10-13T06:00:00+00:00;46.479;47.5717, 7.6870833
2022-10-13T06:00:00+00:00;2022-10-13T07:00:00+00:00;46.795;47.5717, 7.6870833
2022-10-13T07:00:00+00:00;2022-10-13T08:00:00+00:00;49.243;47.5717, 7.6870833
2022-10-13T11:00:00+00:00;2022-10-13T12:00:00+00:00;37.182;47.5717, 7.6870833
2022-10-13T13:00:00+00:00;2022-10-13T14:00:00+00:00;46.25;47.5717, 7.6870833
2022-10-13T14:00:00+00:00;2022-10-13T15:00:00+00:00;50.85;47.5717, 7.6870833
2022-10-13T15:00:00+00:00;2022-10-13T16:00:00+00:00;53.332;47.5717, 7.6870833
