Datum/Zeit;timestamp_text;PM10 (Stundenmittelwerte);PM2.5 (Stundenmittelwerte);O3 (Stundenmittelwerte);NO2 (Stundenmittelwerte);geo_point_2d
2023-12-31T10:00:00+00:00;2023-12-31 11:00:00;7.07;4.867;65.185;10.871;47.5659354, 7.58192
2023-12-31T13:00:00+00:00;2023-12-31 14:00:00;0.986;0.607;82.02;5.796;47.5659354, 7.58192
2023-12-31T15:00:00+00:00;2023-12-31 16:00:00;1.436;0.985;74.21;8.877;47.5659354, 7.58192
2024-01-01T09:00:00+00:00;2024-01-01 10:00:00;4.456;2.54;63.925;7.201;47.5659354, 7.58192
2024-01-01T13:00:00+00:00;2024-01-01 14:00:00;4.656;2.606;70.3;2.699;47.5659354, 7.58192
2024-01-01T14:00:00+00:00;2024-01-01 15:00:00;4.218;2.223;69.196;2.962;47.5659354, 7.58192
2024-01-01T15:00:00+00:00;2024-01-01 16:00:00;4.562;2.162;68.117;3.511;47.5659354, 7.58192
2024-01-01T19:00:00+00:00;2024-01-01 20:00:00;6.285;5.092;38.789;25.073;47.5659354, 7.58192
2024-01-01T20:00:00+00:00;2024-01-01 21:00:00;7.853;6.681;29.367;28.996;47.5659354, 7.58192
2024-01-02T03:00:00+00:00;2024-01-02 04:00:00;6.054;4.7;26.986;15.297;47.5659354, 7.58192
2024-01-02T07:00:00+00:00;2024-01-02 08:00:00;2.373;1.561;48.716;19.817;47.5659354, 7.58192
2024-01-02T08:00:00+00:00;2024-01-02 09:00:00;0.707;0.251;74.425;5.093;47.5659354, 7.58192
2024-01-03T07:00:00+00:00;2024-01-03 08:00:00;3.6;2.266;76.123;4.171;47.5659354, 7.58192
2024-01-03T09:00:00+00:00;2024-01-03 10:00:00;3.762;2.139;81.536;3.304;47.5659354, 7.58192
2024-01-03T16:00:00+00:00;2024-01-03 17:00:00;2.418;1.295;76.316;5.496;47.5659354, 7.58192
2024-01-03T17:00:00+00:00;2024-01-03 18:00:00;2.737;1.623;82.706;3.695;47.5659354, 7.58192
2024-01-03T19:00:00+00:00;2024-01-03 20:00:00;1.985;1.381;80.06;3.446;47.5659354, 7.58192
2024-01-04T03:00:00+00:00;2024-01-04 04:00:00;4.649;2.985;83.569;1.317;47.5659354, 7.58192
2024-01-04T04:00:00+00:00;2024-01-04 05:00:00;4.094;2.609;81.252;1.795;47.5659354, 7.58192
2024-01-04T06:00:00+00:00;2024-01-04 07:00:00;6.573;4.068;76.549;4.439;47.5659354, 7.58192
2024-01-04T12:00:00+00:00;2024-01-04 13:00:00;3.668;2.514;73.228;4.408;47.5659354, 7.58192
2024-01-04T20:00:00+00:00;2024-01-04 21:00:00;8.714;6.545;29.515;30.541;47.5659354, 7.58192
2024-01-04T21:00:00+00:00;2024-01-04 22:00:00;10.019;7.715;25.47;31.382;47.5659354, 7.58192
2024-01-04T22:00:00+00:00;2024-01-04 23:00:00;9.284;7.203;26.14;28.835;47.5659354, 7.58192
2024-01-05T00:00:00+00:00;2024-01-05 01:00:00;8.379;6.291;30.307;21.9;47.5659354, 7.58192
2024-01-05T01:00:00+00:00;2024-01-05 02:00:00;7.814;5.615;34.711;17.224;47.5659354, 7.58192
2024-01-05T07:00:00+00:00;2024-01-05 08:00:00;8.459;6.247;12.514;30.516;47.5659354, 7.58192
2024-01-07T09:00:00+00:00;2024-01-07 10:00:00;4.235;3.999;9.295;15.823;47.5659354, 7.58192
2024-01-07T17:00:00+00:00;2024-01-07 18:00:00;7.912;7.312;40.11;12.007;47.5659354, 7.58192
2024-01-08T03:00:00+00:00;2024-01-08 04:00:00;6.641;6.143;52.23;6.027;47.5659354, 7.58192
2024-01-08T14:00:00+00:00;2024-01-08 15:00:00;13.014;8.098;48.972;15.995;47.5659354, 7.58192
2024-01-08T17:00:00+00:00;2024-01-08 18:00:00;12.31;9.138;52.299;10.787;47.5659354, 7.58192
2024-01-09T11:00:00+00:00;2024-01-09 12:00:00;26.468;22.084;13.376;19.927;47.5659354, 7.58192
2024-01-09T13:00:00+00:00;2024-01-09 14:00:00;29.622;23.237;13.836;20.508;47.5659354, 7.58192
2024-01-10T06:00:00+00:00;2024-01-10 07:00:00;36.493;32.581;2.103;35.22;47.5659354, 7.58192
2024-01-10T09:00:00+00:00;2024-01-10 10:00:00;40.864;36.225;6.937;32.93;47.5659354, 7.58192
2024-01-11T21:00:00+00:00;2024-01-11 22:00:00;36.799;33.777;12.406;31.519;47.5659354, 7.58192
2024-01-12T01:00:00+00:00;2024-01-12 02:00:00;39.391;37.764;15.194;27.141;47.5659354, 7.58192
2024-01-12T10:00:00+00:00;2024-01-12 11:00:00;45.375;42.056;20.197;24.096;47.5659354, 7.58192
2024-01-12T11:00:00+00:00;2024-01-12 12:00:00;57.47;45.22;22.264;24.219;47.5659354, 7.58192
2024-01-12T12:00:00+00:00;2024-01-12 13:00:00;53.485;44.455;22.79;25.84;47.5659354, 7.58192
2024-01-12T16:00:00+00:00;2024-01-12 17:00:00;54.451;46.034;8.348;48.806;47.5659354, 7.58192
2024-01-12T18:00:00+00:00;2024-01-12 19:00:00;50.512;46.464;2.128;54.156;47.5659354, 7.58192
2024-01-12T21:00:00+00:00;2024-01-12 22:00:00;62.001;57.872;2.666;46.185;47.5659354, 7.58192
2024-01-13T03:00:00+00:00;2024-01-13 04:00:00;68.023;61.065;1.11;44.792;47.5659354, 7.58192
2024-01-13T07:00:00+00:00;2024-01-13 08:00:00;43.831;41.485;8.704;33.35;47.5659354, 7.58192
2024-01-13T08:00:00+00:00;2024-01-13 09:00:00;40.919;38.94;13.034;28.099;47.5659354, 7.58192
2024-01-13T16:00:00+00:00;2024-01-13 17:00:00;33.201;28.678;25.122;28.515;47.5659354, 7.58192
2024-01-13T20:00:00+00:00;2024-01-13 21:00:00;42.797;38.818;8.609;38.141;47.5659354, 7.58192
2024-01-14T01:00:00+00:00;2024-01-14 02:00:00;41.488;39.168;12.685;26.407;47.5659354, 7.58192
2024-01-14T03:00:00+00:00;2024-01-14 04:00:00;33.283;32.484;11.671;28.934;47.5659354, 7.58192
2024-01-14T14:00:00+00:00;2024-01-14 15:00:00;28.08;24.034;30.191;23.41;47.5659354, 7.58192
2024-01-14T19:00:00+00:00;2024-01-14 20:00:00;35.527;30.772;3.124;51.332;47.5659354, 7.58192
2024-01-15T02:00:00+00:00;2024-01-15 03:00:00;34.701;33.5;27.991;12.445;47.5659354, 7.58192
2024-01-15T03:00:00+00:00;2024-01-15 04:00:00;34.819;33.599;25.309;14.66;47.5659354, 7.58192
2024-01-15T04:00:00+00:00;2024-01-15 05:00:00;34.268;32.657;18.324;23.687;47.5659354, 7.58192
2024-01-15T05:00:00+00:00;2024-01-15 06:00:00;27.392;26.172;39.502;13.012;47.5659354, 7.58192
2024-01-15T10:00:00+00:00;2024-01-15 11:00:00;30.344;14.278;57.921;14.403;47.5659354, 7.58192
2024-01-15T12:00:00+00:00;2024-01-15 13:00:00;27.441;22.205;44.541;11.981;47.5659354, 7.58192
