Gasverbrauch,Datum
292333.5823,2023-10-19 04:00:00+00:00
359168.0928,2023-10-19 07:00:00+00:00
350021.6374,2023-10-19 09:00:00+00:00
309354.8888,2023-10-19 10:00:00+00:00
267768.2994,2023-10-19 18:00:00+00:00
254654.5423,2023-10-19 19:00:00+00:00
170097.8833,2023-10-19 21:00:00+00:00
273264.5801,2023-10-20 09:00:00+00:00
272591.6558,2023-10-20 15:00:00+00:00
275982.2126,2023-10-20 18:00:00+00:00
129368.0604,2023-10-21 00:00:00+00:00
129170.6687,2023-10-21 01:00:00+00:00
249166.3611,2023-10-21 06:00:00+00:00
251171.2163,2023-10-21 07:00:00+00:00
242606.6606,2023-10-21 08:00:00+00:00
224443.1164,2023-10-21 09:00:00+00:00
195999.6073,2023-10-21 12:00:00+00:00
179152.6118,2023-10-21 13:00:00+00:00
174644.9525,2023-10-21 15:00:00+00:00
190256.1459,2023-10-21 16:00:00+00:00
169249.1774,2023-10-21 21:00:00+00:00
131769.3699,2023-10-21 22:00:00+00:00
282688.7086,2023-10-22 05:00:00+00:00
284579.8644,2023-10-22 06:00:00+00:00
259877.8073,2023-10-22 10:00:00+00:00
199131.2733,2023-10-22 14:00:00+00:00
225691.548,2023-10-22 16:00:00+00:00
245221.8568,2023-10-22 17:00:00+00:00
226340.266,2023-10-22 20:00:00+00:00
193098.5774,2023-10-23 00:00:00+00:00
229067.7107,2023-10-23 02:00:00+00:00
304080.9715,2023-10-23 03:00:00+00:00
371614.8597,2023-10-23 04:00:00+00:00
277855.8749,2023-10-23 12:00:00+00:00
272903.7164,2023-10-23 19:00:00+00:00
168428.9786,2023-10-23 23:00:00+00:00
296954.4076,2023-10-24 06:00:00+00:00
339575.9817,2023-10-24 08:00:00+00:00
319061.3714,2023-10-24 12:00:00+00:00
171147.7695,2023-10-24 23:00:00+00:00
285351.4019,2023-10-25 03:00:00+00:00
392225.4232,2023-10-25 04:00:00+00:00
369894.9373,2023-10-25 08:00:00+00:00
359960.752,2023-10-25 09:00:00+00:00
321074.3995,2023-10-25 10:00:00+00:00
