,Datum,Gasverbrauch_scaled
4229,2022-01-01 00:00:00+00:00,0.2998267915481581
4230,2022-01-01 01:00:00+00:00,0.36301097859691517
25727,2022-01-01 02:00:00+00:00,0.3909778049076991
4231,2022-01-01 03:00:00+00:00,0.6232827737448323
13339,2022-01-01 04:00:00+00:00,1.1172609213108897
12973,2022-01-01 05:00:00+00:00,1.6791538554609458
9019,2022-01-01 06:00:00+00:00,1.4633785508495487
21696,2022-01-01 07:00:00+00:00,1.4805905715347796
9020,2022-01-01 08:00:00+00:00,1.5642665619555365
21697,2022-01-01 09:00:00+00:00,1.4093984519642189
21698,2022-01-01 10:00:00+00:00,1.2259564082404744
12974,2022-01-01 11:00:00+00:00,0.948411075974026
9021,2022-01-01 12:00:00+00:00,0.5700883310873497
12975,2022-01-01 13:00:00+00:00,0.5629900762470781
9022,2022-01-01 14:00:00+00:00,0.6198372469248431
12976,2022-01-01 15:00:00+00:00,0.8035475455392906
9023,2022-01-01 16:00:00+00:00,0.9864211184269572
9024,2022-01-01 17:00:00+00:00,1.0125285322760524
21699,2022-01-01 18:00:00+00:00,1.0719682307589924
12977,2022-01-01 19:00:00+00:00,1.1078661796524978
21700,2022-01-01 20:00:00+00:00,1.0406110296347253
21701,2022-01-01 21:00:00+00:00,0.678746949246175
9025,2022-01-01 22:00:00+00:00,0.3121003247208797
21702,2022-01-01 23:00:00+00:00,0.356361421960121
9026,2022-01-02 00:00:00+00:00,0.3875656772651058
12978,2022-01-02 01:00:00+00:00,0.4745296887613852
21703,2022-01-02 02:00:00+00:00,0.5659545397649153
21704,2022-01-02 03:00:00+00:00,0.8569936787507966
9027,2022-01-02 04:00:00+00:00,1.3768311581259873
12979,2022-01-02 05:00:00+00:00,1.7935329726484193
21705,2022-01-02 06:00:00+00:00,1.6752437367355804
9028,2022-01-02 07:00:00+00:00,1.6311351856740337
12980,2022-01-02 08:00:00+00:00,1.6833067488685964
21706,2022-01-02 09:00:00+00:00,1.5755813295243768
21707,2022-01-02 10:00:00+00:00,1.4081711140064885
12981,2022-01-02 11:00:00+00:00,1.1839747037252208
21708,2022-01-02 12:00:00+00:00,1.142811544424053
9029,2022-01-02 13:00:00+00:00,1.014332739902237
12982,2022-01-02 14:00:00+00:00,0.9853482250667508
12983,2022-01-02 15:00:00+00:00,1.0663726669300329
21709,2022-01-02 16:00:00+00:00,1.234894377174361
12984,2022-01-02 17:00:00+00:00,1.2632166580178825
12985,2022-01-02 18:00:00+00:00,1.2357712348408463
12986,2022-01-02 19:00:00+00:00,1.2423052363600526
9030,2022-01-02 20:00:00+00:00,0.9874046226766539
12987,2022-01-02 21:00:00+00:00,0.33625385171755423
21710,2022-01-02 22:00:00+00:00,-0.13058921319648822
12988,2022-01-02 23:00:00+00:00,-0.18539124764577058
9031,2022-01-03 00:00:00+00:00,0.0882598610646835
9032,2022-01-03 01:00:00+00:00,0.3091615360961013
12989,2022-01-03 02:00:00+00:00,0.10854130914954278
12990,2022-01-03 03:00:00+00:00,0.13810069055397417
12991,2022-01-03 04:00:00+00:00,0.7439738164641619
21711,2022-01-03 05:00:00+00:00,1.2432516013349526
21712,2022-01-03 06:00:00+00:00,1.1669645490006357
9033,2022-01-03 07:00:00+00:00,1.1875181324617692
9034,2022-01-03 08:00:00+00:00,1.0550495328132032
21713,2022-01-03 09:00:00+00:00,1.2052923818456307
21714,2022-01-03 10:00:00+00:00,1.131428224382022
9035,2022-01-03 11:00:00+00:00,0.977733003261097
21715,2022-01-03 12:00:00+00:00,0.8576607813262584
9036,2022-01-03 13:00:00+00:00,0.6909942533105153
9037,2022-01-03 14:00:00+00:00,0.7069591965807213
9038,2022-01-03 15:00:00+00:00,0.7747508514883266
12992,2022-01-03 16:00:00+00:00,0.9262942115323757
12993,2022-01-03 17:00:00+00:00,0.990052715826329
12994,2022-01-03 18:00:00+00:00,0.9503867215254446
21716,2022-01-03 19:00:00+00:00,0.8995348540953187
12995,2022-01-03 20:00:00+00:00,0.7312755591807787
21717,2022-01-03 21:00:00+00:00,0.19153015572743382
21718,2022-01-03 22:00:00+00:00,-0.12432475305191971
9039,2022-01-03 23:00:00+00:00,-0.1152224839774267
12996,2022-01-04 00:00:00+00:00,-0.09499721317296156
9040,2022-01-04 01:00:00+00:00,-0.08335865031594486
12997,2022-01-04 02:00:00+00:00,-0.04450907143787278
21719,2022-01-04 03:00:00+00:00,0.11673375379528682
21720,2022-01-04 04:00:00+00:00,0.636759257444474
21721,2022-01-04 05:00:00+00:00,1.1411069649508547
9041,2022-01-04 06:00:00+00:00,0.8972939922989001
9042,2022-01-04 07:00:00+00:00,0.7621039640465137
21722,2022-01-04 08:00:00+00:00,0.6466450265410416
21723,2022-01-04 09:00:00+00:00,0.5780647643190585
9043,2022-01-04 10:00:00+00:00,0.48664630513513646
12998,2022-01-04 11:00:00+00:00,0.37851627729958215
21724,2022-01-04 12:00:00+00:00,0.7805568293033133
21725,2022-01-04 13:00:00+00:00,0.580849370534674
9044,2022-01-04 14:00:00+00:00,0.5525153019763804
12999,2022-01-04 15:00:00+00:00,0.5565093840784919
9045,2022-01-04 16:00:00+00:00,0.8206487182684925
21726,2022-01-04 17:00:00+00:00,0.8227526355621536
13000,2022-01-04 18:00:00+00:00,0.8323500703463372
13001,2022-01-04 19:00:00+00:00,1.053953554648315
13002,2022-01-04 20:00:00+00:00,0.9843213237517748
9046,2022-01-04 21:00:00+00:00,0.6255502520622845
13003,2022-01-04 22:00:00+00:00,0.2909907028478796
9047,2022-01-04 23:00:00+00:00,0.2991270313579029
13004,2022-01-05 00:00:00+00:00,0.36677094214590533
21727,2022-01-05 01:00:00+00:00,0.37812434140873696
9048,2022-01-05 02:00:00+00:00,0.4185250863062609
9049,2022-01-05 03:00:00+00:00,0.6186630935825984
21728,2022-01-05 04:00:00+00:00,1.32282178463837
9050,2022-01-05 05:00:00+00:00,1.880391429849938
9051,2022-01-05 06:00:00+00:00,1.8487584608666228
9052,2022-01-05 07:00:00+00:00,2.0698326617093086
21729,2022-01-05 08:00:00+00:00,2.158278474261425
9053,2022-01-05 09:00:00+00:00,2.093167080960899
9054,2022-01-05 10:00:00+00:00,2.134528717340319
21730,2022-01-05 11:00:00+00:00,1.9624762631888666
9055,2022-01-05 12:00:00+00:00,1.7651006499802455
13005,2022-01-05 13:00:00+00:00,1.7489677002238928
13006,2022-01-05 14:00:00+00:00,1.737726142884906
21731,2022-01-05 15:00:00+00:00,1.785459986596231
13007,2022-01-05 16:00:00+00:00,1.8218812419348869
9056,2022-01-05 17:00:00+00:00,2.004242406314884
9057,2022-01-05 18:00:00+00:00,2.0049178656551874
21732,2022-01-05 19:00:00+00:00,1.9892455637281792
13008,2022-01-05 20:00:00+00:00,1.7023972244235317
9058,2022-01-05 21:00:00+00:00,0.921587984753222
9059,2022-01-05 22:00:00+00:00,0.6365892732950016
9060,2022-01-05 23:00:00+00:00,0.7162298463467641
9061,2022-01-06 00:00:00+00:00,0.7529077444688536
13009,2022-01-06 01:00:00+00:00,0.7623482355504112
9062,2022-01-06 02:00:00+00:00,0.8578859257979122
9063,2022-01-06 03:00:00+00:00,1.1513177835351454
9064,2022-01-06 04:00:00+00:00,1.8493809200037767
13010,2022-01-06 05:00:00+00:00,2.4119632358917555
9065,2022-01-06 06:00:00+00:00,2.539501672019109
21733,2022-01-06 07:00:00+00:00,2.7009554429523783
9066,2022-01-06 08:00:00+00:00,2.519328544903204
9067,2022-01-06 09:00:00+00:00,2.298072965478816
13011,2022-01-06 10:00:00+00:00,2.2532310779746427
13012,2022-01-06 11:00:00+00:00,2.12721628591538
9068,2022-01-06 12:00:00+00:00,2.159383353134172
13013,2022-01-06 13:00:00+00:00,2.129967401481168
13014,2022-01-06 14:00:00+00:00,2.1994889419303583
13015,2022-01-06 15:00:00+00:00,2.3305980269355118
13016,2022-01-06 16:00:00+00:00,2.5685474484368953
9069,2022-01-06 17:00:00+00:00,2.4648205410041064
21734,2022-01-06 18:00:00+00:00,2.4383026238279766
13017,2022-01-06 19:00:00+00:00,2.3793861784720303
9070,2022-01-06 20:00:00+00:00,2.2782503939843943
13018,2022-01-06 21:00:00+00:00,1.6872652574887161
9071,2022-01-06 22:00:00+00:00,1.5322925788547779
9072,2022-01-06 23:00:00+00:00,1.336140329200098
13019,2022-01-07 00:00:00+00:00,1.4018146340629691
13020,2022-01-07 01:00:00+00:00,1.5509056103830854
13021,2022-01-07 02:00:00+00:00,1.661930708890891
21735,2022-01-07 03:00:00+00:00,1.805968331803671
13022,2022-01-07 04:00:00+00:00,2.326441958896403
13023,2022-01-07 05:00:00+00:00,2.8300978129525727
13024,2022-01-07 06:00:00+00:00,2.981808452594888
13025,2022-01-07 07:00:00+00:00,2.9154174519346223
13026,2022-01-07 08:00:00+00:00,2.9460098633069625
13027,2022-01-07 09:00:00+00:00,2.7938079570285077
9073,2022-01-07 10:00:00+00:00,2.753427907890975
9074,2022-01-07 11:00:00+00:00,2.561270844855792
13028,2022-01-07 12:00:00+00:00,2.523643663445816
13029,2022-01-07 13:00:00+00:00,2.4261771527271607
21736,2022-01-07 14:00:00+00:00,2.3119789146916956
21737,2022-01-07 15:00:00+00:00,2.297542544239436
9075,2022-01-07 16:00:00+00:00,2.3357599737724692
13030,2022-01-07 17:00:00+00:00,2.449182722716427
9076,2022-01-07 18:00:00+00:00,2.324998945086607
13031,2022-01-07 19:00:00+00:00,2.1870919948374294
9077,2022-01-07 20:00:00+00:00,2.0978503148969607
9078,2022-01-07 21:00:00+00:00,1.5167572669221645
9079,2022-01-07 22:00:00+00:00,1.287809521234758
13032,2022-01-07 23:00:00+00:00,1.2236441519664323
9080,2022-01-08 00:00:00+00:00,1.2796689121084195
9081,2022-01-08 01:00:00+00:00,1.238572039014257
21738,2022-01-08 02:00:00+00:00,1.1534684398173707
21739,2022-01-08 03:00:00+00:00,1.3343743296576047
21740,2022-01-08 04:00:00+00:00,1.8335910901874288
21741,2022-01-08 05:00:00+00:00,2.4804490163856467
21742,2022-01-08 06:00:00+00:00,2.331452801102492
9082,2022-01-08 07:00:00+00:00,2.545762126453815
9083,2022-01-08 08:00:00+00:00,2.5600410576870125
21743,2022-01-08 09:00:00+00:00,2.4757710966554645
13033,2022-01-08 10:00:00+00:00,2.276895499921683
21744,2022-01-08 11:00:00+00:00,2.24730029752162
13034,2022-01-08 12:00:00+00:00,2.0367957635699314
9084,2022-01-08 13:00:00+00:00,1.9550364791484203
21745,2022-01-08 14:00:00+00:00,1.9121142536215983
21746,2022-01-08 15:00:00+00:00,1.8155257500892938
13035,2022-01-08 16:00:00+00:00,1.8089878959664885
13036,2022-01-08 17:00:00+00:00,1.825325610919335
21747,2022-01-08 18:00:00+00:00,1.850987970787504
13037,2022-01-08 19:00:00+00:00,1.7124235915393988
21748,2022-01-08 20:00:00+00:00,1.4495252256777862
9085,2022-01-08 21:00:00+00:00,0.941456163326009
9086,2022-01-08 22:00:00+00:00,0.6606562135638505
13038,2022-01-08 23:00:00+00:00,0.5518598183563909
21749,2022-01-09 00:00:00+00:00,0.4691458298048036
9087,2022-01-09 01:00:00+00:00,0.7109909746187381
21750,2022-01-09 02:00:00+00:00,0.9971479134329166
13039,2022-01-09 03:00:00+00:00,1.342544870324605
13040,2022-01-09 04:00:00+00:00,1.8789195312962936
21751,2022-01-09 05:00:00+00:00,2.1041776136672534
9088,2022-01-09 06:00:00+00:00,1.9837031096736248
21752,2022-01-09 07:00:00+00:00,1.9929945378672578
21753,2022-01-09 08:00:00+00:00,2.063296191901915
13041,2022-01-09 09:00:00+00:00,2.0747803453807405
9089,2022-01-09 10:00:00+00:00,2.114915004311426
21754,2022-01-09 11:00:00+00:00,2.104143328625825
13042,2022-01-09 12:00:00+00:00,1.8699647749699575
9090,2022-01-09 13:00:00+00:00,1.9077442843934327
21755,2022-01-09 14:00:00+00:00,1.9526634773531237
21756,2022-01-09 15:00:00+00:00,1.9682750264215159
9091,2022-01-09 16:00:00+00:00,1.9489452144715862
13043,2022-01-09 17:00:00+00:00,1.8660220358057606
13044,2022-01-09 18:00:00+00:00,1.8765097345930029
9092,2022-01-09 19:00:00+00:00,1.8236171015556695
13045,2022-01-09 20:00:00+00:00,1.6033503361844401
21757,2022-01-09 21:00:00+00:00,0.947829030531233
9093,2022-01-09 22:00:00+00:00,0.8155044931145989
13046,2022-01-09 23:00:00+00:00,0.8939741128917587
13047,2022-01-10 00:00:00+00:00,0.9725157698993517
13048,2022-01-10 01:00:00+00:00,1.017126977137694
21758,2022-01-10 02:00:00+00:00,0.9997834733919587
9094,2022-01-10 03:00:00+00:00,1.353996750177188
9095,2022-01-10 04:00:00+00:00,1.9605711859282406
21759,2022-01-10 05:00:00+00:00,2.525179624496973
21760,2022-01-10 06:00:00+00:00,2.441640718477987
9096,2022-01-10 07:00:00+00:00,2.5420850476895267
9097,2022-01-10 08:00:00+00:00,2.6911817696523395
9098,2022-01-10 09:00:00+00:00,2.687259100126675
21761,2022-01-10 10:00:00+00:00,2.61768241305171
21762,2022-01-10 11:00:00+00:00,2.4701567633683137
13049,2022-01-10 12:00:00+00:00,2.27547775353684
9099,2022-01-10 13:00:00+00:00,2.249315120666677
9100,2022-01-10 14:00:00+00:00,2.3296791633673624
9101,2022-01-10 15:00:00+00:00,2.335431303541749
9102,2022-01-10 16:00:00+00:00,2.387234002932056
21763,2022-01-10 17:00:00+00:00,2.392148242912769
13050,2022-01-10 18:00:00+00:00,2.4363449327985385
9103,2022-01-10 19:00:00+00:00,2.362275874152682
13051,2022-01-10 20:00:00+00:00,2.131628247348803
13052,2022-01-10 21:00:00+00:00,1.4727418279480196
21764,2022-01-10 22:00:00+00:00,1.501090731182464
13053,2022-01-10 23:00:00+00:00,1.7227487438152758
13054,2022-01-11 00:00:00+00:00,1.8090977900656082
21765,2022-01-11 01:00:00+00:00,1.833753210153551
13055,2022-01-11 02:00:00+00:00,2.0382763652118494
13056,2022-01-11 03:00:00+00:00,2.264067114543764
21766,2022-01-11 04:00:00+00:00,2.8186712127538773
9104,2022-01-11 05:00:00+00:00,3.497162290391117
21767,2022-01-11 06:00:00+00:00,3.3378984991026135
