Datum,Stromverbrauch
2022-01-01 00:00:00,26954.3115
2022-01-01 01:00:00,25162.1338
2022-01-01 02:00:00,24057.3085
2022-01-01 03:00:00,23895.0918
2022-01-01 04:00:00,24704.4652
2022-01-01 05:00:00,25425.7335
2022-01-01 06:00:00,26548.562
2022-01-01 07:00:00,26910.3625
2022-01-01 08:00:00,27885.24
2022-01-01 09:00:00,29091.0678
2022-01-01 10:00:00,29885.09
2022-01-01 11:00:00,30526.9812
2022-01-01 12:00:00,29963.1838
2022-01-01 13:00:00,30468.705
2022-01-01 14:00:00,30421.7152
2022-01-01 15:00:00,31025.813
2022-01-01 16:00:00,33549.1562
2022-01-01 17:00:00,34399.3778
2022-01-01 18:00:00,33346.2942
2022-01-01 19:00:00,31738.7312
2022-01-01 20:00:00,30115.048
2022-01-01 21:00:00,28441.0888
2022-01-01 22:00:00,26872.8765
2022-01-01 23:00:00,25456.2678
2022-01-02 00:00:00,24379.8392
2022-01-02 01:00:00,23494.543
2022-01-02 02:00:00,23228.4532
2022-01-02 03:00:00,23263.9922
2022-01-02 04:00:00,24142.9425
2022-01-02 05:00:00,25230.298
2022-01-02 06:00:00,26458.2748
2022-01-02 07:00:00,27490.2052
2022-01-02 08:00:00,29272.24
2022-01-02 09:00:00,30259.3362
2022-01-02 10:00:00,31430.2148
2022-01-02 11:00:00,32478.3452
2022-01-02 12:00:00,32430.8075
2022-01-02 13:00:00,31240.1402
2022-01-02 14:00:00,31115.7945
2022-01-02 15:00:00,31983.4392
2022-01-02 16:00:00,34731.5057
2022-01-02 17:00:00,35642.833
2022-01-02 18:00:00,34309.4068
2022-01-02 19:00:00,32561.41
2022-01-02 20:00:00,30646.552
2022-01-02 21:00:00,28694.81
2022-01-02 22:00:00,26257.7835
2022-01-02 23:00:00,24735.8205
2022-01-03 00:00:00,23570.5468
2022-01-03 01:00:00,23194.3228
2022-01-03 02:00:00,23343.3622
2022-01-03 03:00:00,23919.2098
2022-01-03 04:00:00,26735.672
2022-01-03 05:00:00,31909.698
2022-01-03 06:00:00,37605.1868
2022-01-03 07:00:00,40629.0348
2022-01-03 08:00:00,42071.2698
2022-01-03 09:00:00,43358.473
2022-01-03 10:00:00,43958.855
2022-01-03 11:00:00,43910.5712
2022-01-03 12:00:00,42657.582
2022-01-03 13:00:00,41871.4532
2022-01-03 14:00:00,41098.002
2022-01-03 15:00:00,41509.498
2022-01-03 16:00:00,42661.5192
2022-01-03 17:00:00,42291.7265
2022-01-03 18:00:00,39372.561
2022-01-03 19:00:00,35690.4695
2022-01-03 20:00:00,32778.644
2022-01-03 21:00:00,30695.678
2022-01-03 22:00:00,28079.8045
2022-01-03 23:00:00,25830.2332
2022-01-04 00:00:00,25573.7708
2022-01-04 01:00:00,24520.6682
2022-01-04 02:00:00,23866.0262
2022-01-04 03:00:00,24613.7802
2022-01-04 04:00:00,27382.6518
2022-01-04 05:00:00,32535.8332
2022-01-04 06:00:00,38179.1502
2022-01-04 07:00:00,41423.8047
2022-01-04 08:00:00,42456.736
2022-01-04 09:00:00,43859.5972
2022-01-04 10:00:00,43795.0235
2022-01-04 11:00:00,44407.7735
2022-01-04 12:00:00,43861.1228
2022-01-04 13:00:00,42808.5262
2022-01-04 14:00:00,42295.7885
2022-01-04 15:00:00,42239.9908
2022-01-04 16:00:00,43171.3505
2022-01-04 17:00:00,42543.6003
2022-01-04 18:00:00,39741.4915
2022-01-04 19:00:00,36185.3928
2022-01-04 20:00:00,33118.5595
2022-01-04 21:00:00,31022.5662
2022-01-04 22:00:00,28575.7472
2022-01-04 23:00:00,26495.486
2022-01-05 00:00:00,25999.2932
2022-01-05 01:00:00,24845.5385
2022-01-05 02:00:00,24272.3175
2022-01-05 03:00:00,24894.0963
2022-01-05 04:00:00,27854.1335
2022-01-05 05:00:00,33636.155
2022-01-05 06:00:00,39546.7348
2022-01-05 07:00:00,43183.4658
2022-01-05 08:00:00,44668.4978
2022-01-05 09:00:00,45287.553
2022-01-05 10:00:00,45362.403
2022-01-05 11:00:00,45232.2662
2022-01-05 12:00:00,44058.9445
2022-01-05 13:00:00,43095.4205
2022-01-05 14:00:00,42558.2175
2022-01-05 15:00:00,43273.1568
2022-01-05 16:00:00,44820.6178
2022-01-05 17:00:00,44723.3432
2022-01-05 18:00:00,41683.8812
2022-01-05 19:00:00,37575.9462
2022-01-05 20:00:00,34420.6908
2022-01-05 21:00:00,31997.9598
2022-01-05 22:00:00,29387.3952
2022-01-05 23:00:00,27184.43
2022-01-06 00:00:00,26616.5998
2022-01-06 01:00:00,25378.0012
2022-01-06 02:00:00,24720.5812
2022-01-06 03:00:00,25281.3958
2022-01-06 04:00:00,28580.931
2022-01-06 05:00:00,34217.477
2022-01-06 06:00:00,40553.3112
2022-01-06 07:00:00,43795.6835
2022-01-06 08:00:00,44882.0425
2022-01-06 09:00:00,45677.0845
2022-01-06 10:00:00,46656.587
2022-01-06 11:00:00,46116.9115
2022-01-06 12:00:00,45307.0415
2022-01-06 13:00:00,44076.453
2022-01-06 14:00:00,43039.53
2022-01-06 15:00:00,43191.914
2022-01-06 16:00:00,44460.3482
2022-01-06 17:00:00,44049.6155
2022-01-06 18:00:00,41482.2835
2022-01-06 19:00:00,37620.7702
2022-01-06 20:00:00,34388.0098
2022-01-06 21:00:00,31950.2925
2022-01-06 22:00:00,29482.8708
2022-01-06 23:00:00,27557.64
2022-01-07 00:00:00,27192.6652
2022-01-07 01:00:00,25954.196
2022-01-07 02:00:00,25201.897
2022-01-07 03:00:00,25947.408
2022-01-07 04:00:00,28725.0092
2022-01-07 05:00:00,34372.7488
2022-01-07 06:00:00,40137.267
2022-01-07 07:00:00,43247.3255
2022-01-07 08:00:00,44067.9505
2022-01-07 09:00:00,45192.4328
2022-01-07 10:00:00,46163.0678
2022-01-07 11:00:00,46802.4425
2022-01-07 12:00:00,45331.5115
2022-01-07 13:00:00,44094.597
2022-01-07 14:00:00,43401.4708
2022-01-07 15:00:00,43685.4782
2022-01-07 16:00:00,44961.3395
2022-01-07 17:00:00,44315.8102
2022-01-07 18:00:00,41356.7335
2022-01-07 19:00:00,37345.6945
2022-01-07 20:00:00,34074.7035
2022-01-07 21:00:00,32244.3085
2022-01-07 22:00:00,29753.6278
2022-01-07 23:00:00,27784.5298
2022-01-08 00:00:00,27520.5148
2022-01-08 01:00:00,25880.5647
2022-01-08 02:00:00,24754.188
2022-01-08 03:00:00,24683.139
2022-01-08 04:00:00,26006.8058
2022-01-08 05:00:00,27850.8112
2022-01-08 06:00:00,30238.041
2022-01-08 07:00:00,32776.6117
2022-01-08 08:00:00,35253.998
2022-01-08 09:00:00,36585.3355
