pm10_stundenmittelwerte_ug_m3,pm2_5_stundenmittelwerte_ug_m3,no2_stundenmittelwerte_ug_m3
356.612,256.054,661.111
727.101,584.643,556.9780000000001
467.96,384.291,600.018
249.138,212.687,929.8820000000001
222.301,12.501,721.224
193.6,0.0,550.24
365.027,0.0,878.812
387.734,0.0,869.164
206.816,0.0,540.422
162.861,0.0,416.597
414.301,0.0,1047.595
622.7909999999999,0.0,1079.816
773.189,0.0,1190.713
928.553,0.0,1224.222
1125.865,0.0,1138.745
989.163,0.0,1042.616
971.574,0.0,887.711
844.02,0.0,1146.059
621.668,0.0,901.561
696.854,0.0,827.062
355.865,0.0,802.597
550.456,0.0,1325.465
519.718,0.0,1022.721
574.711,377.898,917.4399999999999
765.284,427.694,904.432
934.813,635.935,835.3820000000001
964.542,649.214,1033.138
813.553,558.824,867.873
554.478,385.311,1150.209
481.704,338.96500000000003,890.362
261.848,205.548,617.194
279.554,203.273,646.787
317.884,210.395,694.741
209.261,172.203,638.462
334.543,239.662,833.405
321.611,240.152,749.014
306.476,230.986,945.306
242.055,198.19,541.195
303.509,197.632,899.885
470.963,265.855,1304.826
488.93899999999996,297.386,1366.034
626.064,380.606,1403.22
364.16,255.406,1228.507
446.09299999999996,340.878,990.735
418.555,331.549,636.385
485.89099999999996,305.18,1117.236
298.857,234.656,1060.845
275.987,184.589,906.508
215.39,149.454,452.538
414.898,256.901,904.304
283.214,207.697,690.663
189.96,149.06799999999998,372.795
255.342,188.983,522.736
354.93399999999997,256.376,774.162
272.618,181.649,861.374
362.624,263.171,838.6179999999999
288.33299999999997,200.709,880.838
274.093,252.727,651.274
270.599,252.884,518.9780000000001
486.915,488.674,1104.881
587.859,580.738,1320.394
803.34,754.705,1325.733
917.067,928.9300000000001,1365.646
867.326,908.847,1320.307
660.856,716.054,1237.959
546.712,611.886,876.035
643.909,710.281,950.813
835.655,903.366,829.0
894.48,942.211,1365.78
843.034,879.6370000000001,1242.465
695.962,655.253,1016.608
783.12,821.6419999999999,1004.178
725.985,769.586,760.792
344.276,210.75,1167.714
572.92,352.661,930.931
836.7719999999999,752.764,1015.528
990.592,876.38,870.21
661.967,641.034,832.88
901.777,972.751,709.441
749.4639999999999,736.134,477.297
