datum;Hotelkategorie;Anzahl Logiernächte;Anzahl verfügbare Zimmer;Anzahl belegte Zimmer;Jahr;Monat;Tag
2019-09-13;4- und 5-Stern;1310;1720;880;2019;9;13
2019-09-13;1- und 2-Stern;604;709;387;2019;9;13
2019-09-12;Übrige;405;337;258;2019;9;12
2019-09-10;Übrige;406;337;277;2019;9;10
2019-09-09;3-Stern;1686;1715;1421;2019;9;9
2019-09-08;4- und 5-Stern;1299;1720;1050;2019;9;8
2019-09-08;Übrige;237;337;120;2019;9;8
2019-09-07;Übrige;479;337;233;2019;9;7
2019-09-06;4- und 5-Stern;1390;1720;940;2019;9;6
2019-09-04;3-Stern;1592;1715;1329;2019;9;4
2019-09-04;Übrige;361;337;243;2019;9;4
2019-09-03;Übrige;346;337;254;2019;9;3
2019-09-02;4- und 5-Stern;1398;1720;1179;2019;9;2
2019-09-02;1- und 2-Stern;491;709;356;2019;9;2
2019-09-01;4- und 5-Stern;1227;1720;890;2019;9;1
2019-08-31;Übrige;399;337;204;2019;8;31
2019-08-30;4- und 5-Stern;1620;1720;1152;2019;8;30
2019-08-30;1- und 2-Stern;624;709;394;2019;8;30
2019-08-29;1- und 2-Stern;456;709;347;2019;8;29
2019-08-29;Übrige;373;337;226;2019;8;29
2019-08-28;4- und 5-Stern;1763;1720;1533;2019;8;28
2019-08-27;4- und 5-Stern;1471;1720;1280;2019;8;27
2019-08-27;3-Stern;1546;1715;1311;2019;8;27
2019-08-27;1- und 2-Stern;548;709;422;2019;8;27
2019-08-27;Übrige;465;337;277;2019;8;27
2019-08-25;3-Stern;1431;1715;999;2019;8;25
2019-08-24;1- und 2-Stern;704;709;452;2019;8;24
2019-08-22;4- und 5-Stern;1881;1720;1375;2019;8;22
2019-08-22;3-Stern;2001;1715;1386;2019;8;22
2019-08-22;1- und 2-Stern;620;709;448;2019;8;22
2019-08-22;Übrige;428;337;261;2019;8;22
2019-08-21;4- und 5-Stern;1931;1720;1509;2019;8;21
2019-08-21;3-Stern;2207;1715;1636;2019;8;21
2019-08-21;1- und 2-Stern;819;709;604;2019;8;21
2019-08-21;Übrige;389;337;261;2019;8;21
2019-08-20;4- und 5-Stern;1888;1720;1553;2019;8;20
2019-08-19;4- und 5-Stern;1864;1720;1472;2019;8;19
2019-08-19;3-Stern;2090;1662;1533;2019;8;19
2019-08-19;Übrige;379;337;251;2019;8;19
2019-08-18;4- und 5-Stern;1320;1720;911;2019;8;18
2019-08-18;3-Stern;1638;1662;1074;2019;8;18
2019-08-17;4- und 5-Stern;1848;1720;1038;2019;8;17
2019-08-15;4- und 5-Stern;1291;1720;835;2019;8;15
2019-08-15;1- und 2-Stern;492;709;317;2019;8;15
2019-08-15;Übrige;311;337;180;2019;8;15
2019-08-14;3-Stern;1455;1662;974;2019;8;14
2019-08-14;1- und 2-Stern;509;709;362;2019;8;14
2019-08-13;1- und 2-Stern;531;709;364;2019;8;13
2019-08-12;Übrige;318;337;195;2019;8;12
2019-08-11;3-Stern;1176;1653;624;2019;8;11
2019-08-10;1- und 2-Stern;701;709;464;2019;8;10
2019-08-10;Übrige;317;337;149;2019;8;10
2019-08-09;Übrige;323;337;123;2019;8;9
2019-08-07;3-Stern;1385;1653;934;2019;8;7
2019-08-07;1- und 2-Stern;724;709;465;2019;8;7
2019-08-07;Übrige;334;337;223;2019;8;7
2019-08-06;1- und 2-Stern;591;709;372;2019;8;6
2019-08-05;4- und 5-Stern;1473;1720;1030;2019;8;5
2019-08-05;3-Stern;1324;1653;831;2019;8;5
2019-08-05;1- und 2-Stern;486;709;332;2019;8;5
2019-08-04;4- und 5-Stern;1180;1720;706;2019;8;4
2019-08-04;Übrige;232;337;117;2019;8;4
2019-08-03;3-Stern;1454;1536;762;2019;8;3
2019-08-02;3-Stern;1379;1536;744;2019;8;2
2019-08-02;Übrige;398;337;167;2019;8;2
2019-08-01;1- und 2-Stern;458;700;267;2019;8;1
2019-07-31;3-Stern;1176;1536;745;2019;7;31
2019-07-31;1- und 2-Stern;602;700;359;2019;7;31
2019-07-30;4- und 5-Stern;1572;1678;1064;2019;7;30
2019-07-30;3-Stern;1491;1536;950;2019;7;30
2019-07-30;1- und 2-Stern;847;709;472;2019;7;30
2019-07-29;4- und 5-Stern;1419;1678;976;2019;7;29
2019-07-29;3-Stern;1375;1536;835;2019;7;29
2019-07-29;Übrige;285;340;138;2019;7;29
2019-07-28;Übrige;234;340;108;2019;7;28
2019-07-26;4- und 5-Stern;1400;1678;838;2019;7;26
2019-07-26;3-Stern;1465;1545;797;2019;7;26
2019-07-25;Übrige;339;340;198;2019;7;25
2019-07-24;4- und 5-Stern;1825;1678;1445;2019;7;24
2019-07-24;Übrige;395;340;248;2019;7;24
2019-07-23;1- und 2-Stern;656;628;490;2019;7;23
2019-07-22;Übrige;405;337;234;2019;7;22
2019-07-21;4- und 5-Stern;1831;1678;1211;2019;7;21
2019-07-21;3-Stern;1684;1638;1200;2019;7;21
2019-07-20;1- und 2-Stern;900;628;526;2019;7;20
2019-07-19;Übrige;490;337;233;2019;7;19
2019-07-18;1- und 2-Stern;704;628;439;2019;7;18
2019-07-15;4- und 5-Stern;2038;1678;1568;2019;7;15
2019-07-15;3-Stern;2346;1715;1591;2019;7;15
2019-07-14;3-Stern;2139;1715;1335;2019;7;14
2019-07-13;1- und 2-Stern;893;628;561;2019;7;13
2019-07-10;Übrige;353;337;254;2019;7;10
2019-07-09;1- und 2-Stern;745;628;550;2019;7;9
2019-07-08;3-Stern;1883;1715;1363;2019;7;8
2019-07-07;3-Stern;1271;1715;827;2019;7;7
2019-07-07;Übrige;254;337;133;2019;7;7
2019-07-06;Übrige;399;337;195;2019;7;6
2019-07-05;1- und 2-Stern;604;709;384;2019;7;5
2019-07-03;4- und 5-Stern;1796;1678;1405;2019;7;3
2019-07-03;Übrige;381;337;234;2019;7;3
2019-07-02;1- und 2-Stern;496;709;366;2019;7;2
2019-07-02;Übrige;395;337;247;2019;7;2
2019-07-01;1- und 2-Stern;452;709;319;2019;7;1
2019-07-01;Übrige;440;337;228;2019;7;1
2019-06-30;1- und 2-Stern;358;708;250;2019;6;30
2019-06-29;3-Stern;1505;1715;979;2019;6;29
2019-06-29;1- und 2-Stern;757;708;478;2019;6;29
2019-06-28;1- und 2-Stern;652;708;434;2019;6;28
2019-06-27;1- und 2-Stern;591;708;473;2019;6;27
2019-06-26;4- und 5-Stern;1963;1720;1696;2019;6;26
2019-06-26;3-Stern;1985;1715;1661;2019;6;26
2019-06-26;1- und 2-Stern;694;708;594;2019;6;26
2019-06-26;Übrige;432;340;263;2019;6;26
2019-06-25;4- und 5-Stern;1964;1720;1714;2019;6;25
2019-06-25;Übrige;437;340;262;2019;6;25
2019-06-24;1- und 2-Stern;700;708;624;2019;6;24
2019-06-23;3-Stern;1734;1715;1349;2019;6;23
2019-06-21;4- und 5-Stern;1744;1720;1229;2019;6;21
2019-06-21;Übrige;487;340;241;2019;6;21
2019-06-18;4- und 5-Stern;2004;1720;1707;2019;6;18
2019-06-18;1- und 2-Stern;771;708;596;2019;6;18
2019-06-17;4- und 5-Stern;1991;1720;1631;2019;6;17
2019-06-17;3-Stern;1954;1715;1592;2019;6;17
2019-06-16;4- und 5-Stern;1767;1720;1268;2019;6;16
2019-06-16;Übrige;352;340;226;2019;6;16
2019-06-15;3-Stern;2269;1715;1541;2019;6;15
2019-06-13;3-Stern;2049;1715;1511;2019;6;13
2019-06-13;1- und 2-Stern;753;708;600;2019;6;13
2019-06-12;Übrige;454;340;298;2019;6;12
2019-06-11;3-Stern;2132;1715;1659;2019;6;11
2019-06-09;3-Stern;1784;1715;1239;2019;6;9
2019-06-09;Übrige;434;340;241;2019;6;9
2019-06-08;4- und 5-Stern;1721;1720;1051;2019;6;8
2019-06-07;Übrige;291;340;171;2019;6;7
2019-06-06;4- und 5-Stern;1649;1720;1331;2019;6;6
2019-06-05;3-Stern;1743;1715;1460;2019;6;5
2019-06-05;Übrige;369;340;255;2019;6;5
2019-06-04;Übrige;440;340;271;2019;6;4
2019-06-03;Übrige;419;340;248;2019;6;3
2019-06-02;1- und 2-Stern;288;708;202;2019;6;2
2019-06-02;Übrige;298;340;116;2019;6;2
2019-06-01;3-Stern;1547;1706;880;2019;6;1
2019-05-31;4- und 5-Stern;1814;1720;986;2019;5;31
2019-05-30;3-Stern;1483;1670;774;2019;5;30
2019-05-30;Übrige;399;340;183;2019;5;30
2019-05-29;1- und 2-Stern;399;709;249;2019;5;29
2019-05-27;4- und 5-Stern;2029;1720;1438;2019;5;27
2019-05-27;3-Stern;1704;1679;1261;2019;5;27
2019-05-26;3-Stern;1338;1679;872;2019;5;26
2019-05-26;Übrige;227;340;144;2019;5;26
2019-05-24;1- und 2-Stern;668;709;428;2019;5;24
2019-05-23;1- und 2-Stern;704;709;529;2019;5;23
2019-05-22;4- und 5-Stern;1858;1720;1649;2019;5;22
2019-05-22;3-Stern;1874;1679;1582;2019;5;22
2019-05-22;1- und 2-Stern;697;709;573;2019;5;22
2019-05-21;3-Stern;1795;1679;1568;2019;5;21
2019-05-21;Übrige;471;340;282;2019;5;21
2019-05-20;Übrige;441;340;281;2019;5;20
2019-05-19;Übrige;205;340;155;2019;5;19
2019-05-18;4- und 5-Stern;2567;1720;1469;2019;5;18
2019-05-18;3-Stern;2098;1679;1307;2019;5;18
2019-05-15;3-Stern;1714;1679;1551;2019;5;15
2019-05-14;3-Stern;1716;1679;1569;2019;5;14
2019-05-14;1- und 2-Stern;696;709;599;2019;5;14
2019-05-12;4- und 5-Stern;1987;1720;1315;2019;5;12
2019-05-12;3-Stern;1372;1679;1032;2019;5;12
2019-05-11;Übrige;496;340;252;2019;5;11
2019-05-10;4- und 5-Stern;2376;1720;1433;2019;5;10
2019-05-10;Übrige;474;340;243;2019;5;10
2019-05-09;1- und 2-Stern;723;709;559;2019;5;9
2019-05-09;Übrige;461;340;274;2019;5;9
2019-05-08;3-Stern;1813;1679;1543;2019;5;8
2019-05-08;1- und 2-Stern;738;709;607;2019;5;8
2019-05-06;1- und 2-Stern;567;709;458;2019;5;6
2019-05-05;1- und 2-Stern;552;709;336;2019;5;5
2019-05-04;4- und 5-Stern;2584;1720;1506;2019;5;4
2019-05-03;4- und 5-Stern;2207;1720;1344;2019;5;3
2019-05-03;3-Stern;1998;1679;1213;2019;5;3
2019-05-03;Übrige;546;340;265;2019;5;3
2019-05-02;1- und 2-Stern;463;709;330;2019;5;2
2019-05-02;Übrige;465;340;235;2019;5;2
2019-05-01;4- und 5-Stern;1178;1720;877;2019;5;1
2019-05-01;1- und 2-Stern;315;709;224;2019;5;1
2019-05-01;Übrige;311;340;155;2019;5;1
2019-04-29;Übrige;348;340;234;2019;4;29
2019-04-27;4- und 5-Stern;1497;1720;872;2019;4;27
2019-04-26;3-Stern;1275;1679;789;2019;4;26
2019-04-25;1- und 2-Stern;388;709;282;2019;4;25
2019-04-24;1- und 2-Stern;444;709;336;2019;4;24
2019-04-24;Übrige;405;340;244;2019;4;24
2019-04-23;4- und 5-Stern;1261;1720;978;2019;4;23
2019-04-23;Übrige;391;340;218;2019;4;23
2019-04-22;1- und 2-Stern;275;700;198;2019;4;22
2019-04-20;4- und 5-Stern;1702;1720;907;2019;4;20
2019-04-20;Übrige;354;340;150;2019;4;20
2019-04-19;4- und 5-Stern;1705;1720;919;2019;4;19
2019-04-18;4- und 5-Stern;944;1720;545;2019;4;18
2019-04-18;1- und 2-Stern;465;700;274;2019;4;18
2019-04-18;Übrige;228;340;105;2019;4;18
2019-04-17;4- und 5-Stern;971;1720;705;2019;4;17
2019-04-16;3-Stern;1236;1679;923;2019;4;16
2019-04-15;Übrige;439;340;239;2019;4;15
2019-04-14;3-Stern;984;1679;625;2019;4;14
2019-04-14;1- und 2-Stern;381;709;254;2019;4;14
2019-04-13;1- und 2-Stern;689;709;405;2019;4;13
2019-04-13;Übrige;383;340;192;2019;4;13
2019-04-12;3-Stern;1332;1679;888;2019;4;12
2019-04-12;1- und 2-Stern;612;709;380;2019;4;12
2019-04-11;4- und 5-Stern;1459;1720;1230;2019;4;11
2019-04-11;3-Stern;1501;1679;1186;2019;4;11
2019-04-10;4- und 5-Stern;1800;1720;1608;2019;4;10
2019-04-09;1- und 2-Stern;677;709;545;2019;4;9
2019-04-08;4- und 5-Stern;1763;1720;1585;2019;4;8
2019-04-08;3-Stern;1524;1679;1305;2019;4;8
2019-04-08;1- und 2-Stern;645;709;500;2019;4;8
2019-04-07;4- und 5-Stern;1145;1720;888;2019;4;7
2019-04-07;3-Stern;1005;1679;753;2019;4;7
2019-04-07;1- und 2-Stern;402;709;297;2019;4;7
2019-04-06;3-Stern;1368;1679;884;2019;4;6
2019-04-05;4- und 5-Stern;1241;1720;838;2019;4;5
2019-04-05;1- und 2-Stern;665;709;442;2019;4;5
2019-04-05;Übrige;312;340;184;2019;4;5
2019-04-04;3-Stern;1372;1679;1183;2019;4;4
2019-04-04;1- und 2-Stern;528;709;412;2019;4;4
2019-04-04;Übrige;334;340;245;2019;4;4
2019-04-03;Übrige;318;340;240;2019;4;3
2019-04-02;Übrige;354;340;244;2019;4;2
2019-03-31;1- und 2-Stern;375;709;264;2019;3;31
2019-03-30;3-Stern;1408;1679;890;2019;3;30
2019-03-30;1- und 2-Stern;791;709;414;2019;3;30
2019-03-29;Übrige;385;340;198;2019;3;29
2019-03-28;3-Stern;1343;1679;1113;2019;3;28
2019-03-27;3-Stern;1412;1679;1199;2019;3;27
2019-03-27;Übrige;344;340;229;2019;3;27
2019-03-25;3-Stern;1638;1679;1433;2019;3;25
2019-03-24;3-Stern;1603;1679;1337;2019;3;24
2019-03-23;Übrige;503;340;294;2019;3;23
2019-03-22;3-Stern;1810;1679;1491;2019;3;22
2019-03-19;4- und 5-Stern;1635;1720;1574;2019;3;19
2019-03-19;3-Stern;1625;1679;1451;2019;3;19
2019-03-19;1- und 2-Stern;584;709;506;2019;3;19
2019-03-19;Übrige;374;340;275;2019;3;19
2019-03-17;4- und 5-Stern;857;1720;690;2019;3;17
2019-03-16;4- und 5-Stern;1221;1720;756;2019;3;16
