location,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20220101T0000,5.5602455,0.0,4.32,180.0
20220101T0100,4.630245,0.0,3.2599385,173.6598
20220101T0200,3.6602454,0.0,3.5455887,156.0375
20220101T0300,3.8802452,0.0,3.671294,168.69006
20220101T0400,3.6502452,0.0,4.3498964,155.55605
20220101T0500,3.1102452,0.0,5.1919937,146.30994
20220101T0600,2.7302456,0.0,5.3999996,143.1301
20220101T0700,2.5102453,0.0,5.3517847,137.72632
20220101T0800,2.4402454,0.0,5.495161,148.3925
20220101T0900,4.2502456,0.0,6.638072,167.47119
20220101T1000,6.5302453,0.0,5.8048253,150.25511
20220101T1100,8.290245,0.0,6.439876,153.43495
20220101T1200,10.090245,0.0,5.95906,154.98311
20220101T1300,11.3102455,0.0,5.991594,147.26477
20220101T1400,12.100245,0.0,5.692099,145.30484
20220101T1500,10.530245,0.0,6.28713,156.37062
20220101T1600,7.3002453,0.0,5.6920996,161.56505
20220101T1700,5.9902453,0.0,6.0347,162.64597
20220101T1800,5.8002453,0.0,5.937272,165.96376
20220101T1900,5.170245,0.0,5.315336,151.69923
20220101T2000,4.4902453,0.0,5.495161,148.3925
20220101T2100,3.9102454,0.0,5.495161,148.3925
20220101T2200,3.5702453,0.0,6.193674,144.46231
20220101T2300,3.4202452,0.0,6.6087217,150.64224
20220102T0000,2.8802452,0.0,6.28713,156.37062
20220102T0100,3.0202456,0.0,6.379216,163.61046
20220102T0200,2.3602452,0.0,6.379216,163.61046
20220102T0300,2.3102455,0.0,7.24486,153.43495
20220102T0400,2.3802454,0.0,8.0899935,147.72435
20220102T0500,2.4202454,0.0,8.435069,140.19443
20220102T0600,2.5802455,0.0,7.653705,138.81407
20220102T0700,2.9402456,0.0,7.10031,149.53445
20220102T0800,3.5602455,0.0,6.9527545,158.7495
20220102T0900,5.0602455,0.0,6.924738,171.02737
20220102T1000,6.540245,0.0,11.159999,180.0
20220102T1100,8.340245,0.0,11.966954,195.70863
20220102T1200,9.950245,0.0,10.661107,191.68936
20220102T1300,11.590245,0.0,10.365251,200.32314
20220102T1400,12.150246,0.0,11.609651,209.74489
