location,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20220101T0000,9.060529,0.0,7.729527,152.24146
20220101T0100,8.900529,0.0,8.287822,145.61966
20220101T0200,8.740529,0.0,8.14587,135.0
20220101T0300,8.290529,0.0,7.7043357,127.40535
20220101T0400,7.9805284,0.0,7.729527,117.75854
20220101T0500,7.4105287,0.0,8.089993,110.854454
20220101T0600,6.9405284,0.0,8.427383,109.9831
20220101T0700,6.3805285,0.0,8.891344,111.37062
20220101T0800,5.8405285,0.0,9.0,106.2602
20220101T0900,6.0705285,0.0,9.449572,107.74467
20220101T1000,7.9105287,0.0,10.24578,108.434944
20220101T1100,10.280529,0.0,9.885262,100.49147
20220101T1200,11.510529,0.0,10.390226,104.03624
20220101T1300,12.910529,0.0,9.9571085,102.52881
20220101T1400,13.560529,0.0,10.239453,100.124664
20220101T1500,13.080529,0.0,11.090103,103.13402
20220101T1600,12.130529,0.0,11.841756,109.53665
20220101T1700,9.540529,0.0,11.770403,113.42869
20220101T1800,7.9305286,0.0,9.83268,113.7495
20220101T1900,7.1705284,0.0,9.028754,113.498566
20220101T2000,7.0205283,0.0,7.754637,111.80141
20220101T2100,7.6405287,0.0,7.24486,116.56505
20220101T2200,8.490529,0.0,7.42159,112.83366
20220101T2300,8.780529,0.0,7.968939,108.434944
20220102T0000,8.600529,0.0,8.766573,109.17901
20220102T0100,8.200529,0.0,9.028754,113.498566
20220102T0200,8.350529,0.0,8.373386,115.46334
20220102T0300,8.010529,0.0,9.360001,112.61986
20220102T0400,7.6305285,0.0,9.693296,111.80141
20220102T0500,7.1205287,0.0,9.028754,113.498566
20220102T0600,7.0005283,0.0,7.754637,111.80141
20220102T0700,6.3905287,0.0,7.072878,104.74355
20220102T0800,6.6005287,0.0,6.6185193,112.380135
20220102T0900,7.5105286,0.0,6.489992,109.44003
20220102T1000,8.330529,0.0,6.9527545,111.2505
20220102T1100,10.280529,0.0,6.4096174,128.15723
20220102T1200,11.480529,0.0,8.557102,112.249016
20220102T1300,13.360529,0.0,4.0249224,169.69516
20220102T1400,16.270529,0.0,8.647496,272.38596
20220102T1500,15.970529,0.0,15.158522,265.91437
20220102T1600,14.760529,0.0,12.6462,265.10092
20220102T1700,13.320529,0.0,12.24,241.92752
20220102T1800,12.510529,0.0,13.237039,247.61987
20220102T1900,12.340529,0.0,14.81259,244.05771
20220102T2000,12.190529,0.0,16.394829,250.76932
20220102T2100,11.910529,0.0,17.31746,249.30457
20220102T2200,11.740529,0.0,21.829777,256.65128
20220102T2300,11.590529,0.0,20.150354,251.24136
20220103T0000,11.750529,0.0,27.155552,255.41107
20220103T0100,11.570529,0.0,26.6327,260.665
20220103T0200,11.210529,0.0,26.82906,258.38852
20220103T0300,10.580529,0.0,24.975283,254.96219
20220103T0400,10.530529,0.0,25.620771,252.83807
20220103T0500,10.3005295,0.0,22.35481,255.06857
20220103T0600,10.090529,0.0,22.086521,250.9744
20220103T0700,9.5505295,0.0,18.792551,253.30075
20220103T0800,9.530529,0.0,20.150354,251.24136
20220103T0900,10.600529,0.0,23.749088,255.96376
20220103T1000,11.530529,0.0,27.047956,260.0362
20220103T1100,12.040529,0.0,29.17777,260.7701
20220103T1200,12.930529,0.0,25.212852,260.1342
20220103T1300,13.220529,0.0,26.368616,265.30133
20220103T1400,13.120529,0.0,25.233406,255.96376
20220103T1500,12.630529,0.0,23.936617,257.84506
20220103T1600,11.580529,0.0,20.082708,255.46555
20220103T1700,11.440529,0.0,16.179985,249.14554
20220103T1800,11.510529,0.0,18.514643,243.43495
20220103T1900,11.200529,0.0,16.704155,232.88315
20220103T2000,11.090529,0.0,14.113652,232.2532
20220103T2100,11.270529,0.0,14.003028,223.95837
20220103T2200,11.140529,0.0,13.493999,226.08093
20220103T2300,10.400529,0.1,10.685391,212.61925
20220104T0000,10.440529,0.0,10.383987,213.69006
20220104T0100,10.500529,0.1,10.799999,216.8699
20220104T0200,10.440529,0.3,10.883676,235.7843
20220104T0300,10.730529,0.1,9.0,216.8699
20220104T0400,10.730529,0.1,16.870138,219.80557
20220104T0500,10.760529,0.2,22.545315,218.51694
20220104T0600,10.110529,0.4,28.227304,217.74681
20220104T0700,10.660529,0.3,26.758923,222.2737
20220104T0800,11.130529,0.6,29.275326,224.50179
20220104T0900,12.490529,0.9,35.426632,232.43141
