location,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697
variable,Temperature,Temperature,Temperature,Precipitation Total,Wind Speed,Wind Speed,Wind Speed,Wind Direction Dominant
unit,°C,°C,°C,mm,km/h,km/h,km/h,°
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,sfc,10 m,10 m,10 m,10 m
resolution,daily,daily,daily,daily,daily,daily,daily,daily
aggregation,Maximum,Minimum,Mean,Summation,Maximum,Minimum,Mean,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Direction Dominant [10 m]
20220101T0000,13.560529,5.8405285,8.898862,0.0,11.841756,7.24486,9.08862,113.18587
20220102T0000,16.270529,6.3905287,10.478028,0.0,21.829777,4.0249224,10.8568945,209.27802
20220103T0000,13.220529,9.530529,11.28428,0.1,29.17777,10.685391,21.629227,252.34637
20220104T0000,16.89053,5.9205284,11.325947,6.2,39.777966,9.0,23.330183,250.43518
20220105T0000,6.790529,1.3005286,3.4992788,0.7,25.161398,14.345898,21.095488,274.19333
20220106T0000,4.3305287,-0.6694713,1.9463621,0.70000005,26.525429,2.0991426,14.672035,282.5585
20220107T0000,4.0705285,-0.7494713,1.7388619,1.3000001,29.620802,0.5091169,16.111704,245.33826
20220108T0000,6.9605284,0.030528657,3.9317787,2.3,59.066338,13.854155,34.63472,243.55432
20220109T0000,6.4205284,1.7205287,3.607612,6.3999996,63.93219,7.289444,26.829025,267.4412
20220110T0000,4.8205285,-0.7994713,1.6626118,0.4,16.595179,3.4152596,8.1339035,355.54242
20220111T0000,4.8605285,-2.1494715,0.18177867,0.0,17.414474,0.8049845,6.669151,47.447052
20220112T0000,3.2905285,-4.5394716,-1.4298881,0.0,10.24578,1.609969,4.4348993,22.36737
20220113T0000,3.7305286,-3.7494714,-0.3003048,0.0,6.162207,0.35999998,3.32419,0.0
20220114T0000,6.9005284,-1.2594713,1.8455286,0.0,7.342588,0.35999998,3.7856884,94.08562
20220115T0000,7.5805287,-0.20947134,2.5842783,0.0,17.462782,2.4149535,8.151639,104.60217
20220116T0000,5.5305285,0.45052865,2.9755287,0.0,19.201874,2.968636,9.059787,253.38657
20220117T0000,6.8405285,2.8805285,4.424696,0.0,15.745627,2.3051248,11.137271,269.17804
20220118T0000,6.8005285,0.30052868,2.6163619,0.0,19.483284,4.0249224,9.400294,96.42602
20220119T0000,7.3505287,-1.0094713,2.416362,0.0,20.774214,5.3999996,13.242061,247.44475
20220120T0000,4.8505287,-0.50947136,2.1946952,1.6000001,22.608458,5.3517847,15.526578,299.02884
20220121T0000,5.9505286,-2.4894714,0.39302874,0.0,9.0645685,0.35999998,4.453443,30.343246
20220122T0000,4.8105288,-0.42947134,1.9476122,0.0,19.813087,1.484318,7.6761365,259.92648
20220123T0000,6.1905284,-0.5394713,2.2151122,0.0,22.065973,3.8939953,9.608645,92.735275
20220124T0000,6.8605285,-0.65947133,1.8717786,0.0,18.692286,6.792466,12.293977,111.591194
20220125T0000,6.9305286,0.010528658,3.4226115,0.0,8.049845,1.1384199,5.176211,132.8684
20220126T0000,7.5705285,0.47052866,3.5038621,0.0,10.829958,1.4399999,5.7580457,225.61168
20220127T0000,5.9005284,1.2605287,3.0630286,1.4000001,21.322214,0.35999998,10.292356,258.5663
20220128T0000,7.4805284,0.79052866,3.6126118,0.0,19.296133,5.3999996,12.39442,270.146
20220129T0000,8.460529,0.46052867,5.074695,0.0,29.215502,2.16,16.07725,257.39514
20220130T0000,8.130529,2.3205285,5.974279,0.3,24.503809,0.71999997,11.242269,285.7788
20220131T0000,5.3605285,1.6705287,3.1988614,0.6,45.685966,1.9386592,31.72404,277.92978
20220201T0000,5.8505287,0.6905287,3.257612,0.6,42.55468,20.898611,32.066696,267.91245
20220202T0000,9.320529,5.0905285,7.239696,0.6,41.476624,16.595179,30.17708,277.06085
20220203T0000,11.180529,3.6205285,8.265113,0.3,18.175545,0.8049845,6.813416,234.89929
20220204T0000,10.360529,4.8505287,7.4267774,0.5,28.66468,6.4799995,17.134298,265.73706
20220205T0000,8.150529,0.62052864,3.9542787,0.0,16.203999,8.766573,11.832825,257.4264
20220206T0000,9.270529,2.5905285,6.127195,0.5,50.090477,11.090103,33.323647,245.88716
20220207T0000,8.030529,1.1905286,4.301361,4.1,48.433044,7.9932966,23.284056,284.52887
20220208T0000,10.760529,-0.39947134,4.9767785,0.0,11.792404,3.6179552,7.319205,227.6728
20220209T0000,11.830529,1.5005287,6.3517795,0.0,9.178235,1.484318,6.465061,113.80208
20220210T0000,12.560529,3.5305285,7.6701126,0.0,23.469128,2.52,10.907512,259.87042
20220211T0000,7.2505283,0.12052866,4.4876113,3.9999998,24.86868,6.1305785,11.550132,322.70084
20220212T0000,8.260529,-0.64947134,3.4030287,0.0,15.844089,4.68,9.527186,110.96904
20220213T0000,11.870529,-1.1594714,5.3409457,0.0,20.46941,5.0911684,12.256799,159.57855
20220214T0000,9.250529,-1.2994714,5.458445,3.3,18.532133,3.096837,10.95491,167.61925
20220215T0000,8.020529,3.7105286,5.745945,0.0,24.144165,4.510787,14.693765,255.67728
20220216T0000,11.990529,5.0105286,8.982612,0.0,33.493546,15.124284,25.60198,233.71683
20220217T0000,12.590529,8.900529,10.391363,1.3000001,38.36492,11.966953,30.292307,261.27798
20220218T0000,17.72053,5.6505284,10.73178,0.0,38.251587,1.835647,19.124006,262.16153
20220219T0000,8.580529,3.8705285,5.947195,0.0,26.319422,9.346143,19.204401,265.70853
20220220T0000,12.360529,4.4105287,8.346778,0.0,43.022636,20.240198,29.990517,248.01707
20220221T0000,8.970529,4.3305287,6.4267793,1.4000001,48.625324,24.40046,39.190685,264.9229
20220222T0000,9.960529,3.1005285,6.5342784,0.0,26.999998,17.28,23.083467,262.5241
20220223T0000,12.270529,6.6005287,8.954695,0.0,23.863409,1.1384199,9.73316,229.48111
20220224T0000,13.570529,3.2505286,8.436362,1.8,34.17157,5.3517847,19.155281,249.43558
20220225T0000,7.3605285,0.90052867,4.364279,0.3,23.177402,7.9932966,16.018255,279.4715
20220226T0000,7.6805286,0.25052866,3.3942788,0.0,15.281989,0.8049845,9.239478,92.531425
20220227T0000,9.3005295,-1.0194713,3.2071953,0.0,27.155552,0.71999997,12.571277,102.56835
20220228T0000,9.900529,-1.0494714,3.4288619,0.0,12.57426,2.6208394,8.286513,108.510635
20220301T0000,10.080529,-0.36947134,4.777612,0.0,16.267857,3.0758414,9.320081,103.3871
20220302T0000,11.630529,-0.27947134,6.2734456,0.0,9.983106,1.2979984,5.984278,87.4949
20220303T0000,12.370529,3.3905284,7.2580285,0.0,14.578888,0.35999998,6.9267697,20.006683
20220304T0000,9.980529,-0.76947135,4.1326118,0.0,12.57426,0.35999998,5.1796947,34.286865
20220305T0000,8.310529,-1.4294714,2.9655287,0.0,12.397806,1.08,5.426698,66.98525
20220306T0000,8.170529,-1.5294713,2.265529,0.0,10.390226,1.1384199,4.6248918,84.40066
20220307T0000,7.3205285,-2.7094715,1.8255286,0.0,20.240196,1.08,11.005451,92.128975
20220308T0000,10.030529,-2.0794713,3.1992786,0.0,17.992796,9.19939,12.634248,109.00308
20220309T0000,12.710529,0.60052866,6.285528,0.0,9.83268,1.5273507,6.426455,107.336
20220310T0000,14.400529,1.0305287,7.6663623,0.0,15.716793,7.2,11.248202,115.180534
20220311T0000,15.420529,-0.07947134,7.865112,0.0,20.730501,9.339208,15.25267,112.5894
20220312T0000,14.430529,3.6405284,8.850529,0.0,19.255793,3.8773184,9.470315,105.05805
20220313T0000,15.860529,4.1505284,10.14803,0.0,18.511143,2.16,13.139747,103.913246
20220314T0000,14.970529,5.6505284,10.488446,0.0,10.931203,2.16,6.909043,97.431404
20220315T0000,18.530529,7.1905284,13.111779,2.2,22.476227,3.8268526,9.266825,127.15432
20220316T0000,20.000528,8.720529,13.902614,0.0,17.902534,5.1544156,10.999828,107.396996
20220317T0000,17.48053,7.2105284,11.660527,0.6,30.735231,3.8268526,16.545286,18.625443
20220318T0000,16.330528,5.2305284,10.581779,0.0,29.795301,8.427383,20.656698,48.0168
20220319T0000,15.140529,2.0405285,9.296362,0.0,20.969805,2.4149535,11.759754,80.10117
20220320T0000,17.240528,5.2705283,10.641779,0.0,17.654688,1.9386592,10.656061,139.45036
20220321T0000,17.410528,3.6305285,10.157195,0.0,14.440443,1.0182338,8.509335,110.38916
20220322T0000,16.490528,4.6205287,10.905529,0.0,11.966953,1.2979984,5.4599137,166.32869
20220323T0000,17.72053,5.6305285,11.637195,0.0,6.379216,1.1384199,3.9558604,87.10873
20220324T0000,18.81053,7.0605288,12.680528,0.0,9.726665,1.8,5.637872,39.2894
20220325T0000,18.82053,6.4305286,12.289696,0.0,10.805999,1.1384199,5.10277,28.717102
20220326T0000,19.990528,5.1105285,11.512196,0.0,20.172853,3.2599385,7.5113945,81.41637
20220327T0000,19.21053,4.6505284,12.637196,0.0,12.599999,2.2768397,5.897408,93.40276
20220328T0000,21.010529,6.8005285,14.60928,0.0,8.699793,2.1897945,5.5975776,153.43494
20220329T0000,19.63053,10.910529,15.40136,0.0,22.473343,4.3349743,8.743574,202.78685
20220330T0000,13.990529,9.950529,12.081361,1.2,21.841648,1.08,11.892793,274.1327
20220331T0000,12.500529,6.7505283,9.083862,6.8999996,20.478907,1.1384199,10.980243,296.82874
20220401T0000,6.3405285,0.8205287,3.3034449,6.4999995,22.862123,10.948973,16.16504,308.92926
