Datum,Stromverbrauch
2022-01-01 00:00:00+00:00,107817.246
2022-01-01 01:00:00+00:00,102023.23999999999
2022-01-01 02:00:00+00:00,96229.234
2022-01-01 03:00:00+00:00,95580.367
2022-01-01 04:00:00+00:00,98817.861
2022-01-01 05:00:00+00:00,101702.934
2022-01-01 06:00:00+00:00,106194.24799999999
2022-01-01 07:00:00+00:00,107641.45
2022-01-01 08:00:00+00:00,111540.95999999999
2022-01-01 09:00:00+00:00,116364.27100000001
2022-01-01 10:00:00+00:00,119540.36
2022-01-01 11:00:00+00:00,122107.925
2022-01-01 12:00:00+00:00,119852.735
2022-01-01 13:00:00+00:00,121874.82
2022-01-01 14:00:00+00:00,121686.861
2022-01-01 15:00:00+00:00,124103.25200000001
2022-01-01 16:00:00+00:00,134196.625
2022-01-01 17:00:00+00:00,137597.511
2022-01-01 18:00:00+00:00,133385.177
2022-01-01 19:00:00+00:00,126954.925
2022-01-01 20:00:00+00:00,120460.192
2022-01-01 21:00:00+00:00,113764.355
2022-01-01 22:00:00+00:00,107491.506
2022-01-01 23:00:00+00:00,101825.071
2022-01-02 00:00:00+00:00,97519.357
2022-01-02 01:00:00+00:00,93978.17199999999
2022-01-02 02:00:00+00:00,92913.813
2022-01-02 03:00:00+00:00,93055.969
2022-01-02 04:00:00+00:00,96571.77
2022-01-02 05:00:00+00:00,100921.19200000001
2022-01-02 06:00:00+00:00,105833.099
2022-01-02 07:00:00+00:00,109960.821
2022-01-02 08:00:00+00:00,117088.95999999999
2022-01-02 09:00:00+00:00,121037.345
2022-01-02 10:00:00+00:00,125720.859
2022-01-02 11:00:00+00:00,129913.381
2022-01-02 12:00:00+00:00,129723.23
2022-01-02 13:00:00+00:00,124960.561
2022-01-02 14:00:00+00:00,124463.178
2022-01-02 15:00:00+00:00,127933.757
2022-01-02 16:00:00+00:00,138926.023
2022-01-02 17:00:00+00:00,142571.332
2022-01-02 18:00:00+00:00,137237.627
2022-01-02 19:00:00+00:00,130245.64000000001
2022-01-02 20:00:00+00:00,122586.208
2022-01-02 21:00:00+00:00,114779.23999999999
2022-01-02 22:00:00+00:00,105031.13399999999
2022-01-02 23:00:00+00:00,98943.282
2022-01-03 00:00:00+00:00,94282.187
2022-01-03 01:00:00+00:00,92777.291
2022-01-03 02:00:00+00:00,93373.449
2022-01-03 03:00:00+00:00,95676.839
2022-01-03 04:00:00+00:00,106942.688
2022-01-03 05:00:00+00:00,127638.792
2022-01-03 06:00:00+00:00,150420.747
2022-01-03 07:00:00+00:00,162516.139
2022-01-03 08:00:00+00:00,168285.079
2022-01-03 09:00:00+00:00,173433.892
2022-01-03 10:00:00+00:00,175835.41999999998
2022-01-03 11:00:00+00:00,175642.285
2022-01-03 12:00:00+00:00,170630.328
2022-01-03 13:00:00+00:00,167485.813
2022-01-03 14:00:00+00:00,164392.008
2022-01-03 15:00:00+00:00,166037.992
2022-01-03 16:00:00+00:00,170646.077
2022-01-03 17:00:00+00:00,169166.90600000002
2022-01-03 18:00:00+00:00,157490.244
2022-01-03 19:00:00+00:00,142761.878
2022-01-03 20:00:00+00:00,131114.576
2022-01-03 21:00:00+00:00,122782.712
2022-01-03 22:00:00+00:00,112319.218
2022-01-03 23:00:00+00:00,103320.933
2022-01-04 00:00:00+00:00,102295.083
2022-01-04 01:00:00+00:00,98082.673
2022-01-04 02:00:00+00:00,95464.105
2022-01-04 03:00:00+00:00,98455.121
2022-01-04 04:00:00+00:00,109530.607
2022-01-04 05:00:00+00:00,130143.333
2022-01-04 06:00:00+00:00,152716.601
2022-01-04 07:00:00+00:00,165695.21899999998
2022-01-04 08:00:00+00:00,169826.944
2022-01-04 09:00:00+00:00,175438.389
2022-01-04 10:00:00+00:00,175180.09399999998
2022-01-04 11:00:00+00:00,177631.09399999998
2022-01-04 12:00:00+00:00,175444.491
2022-01-04 13:00:00+00:00,171234.105
2022-01-04 14:00:00+00:00,169183.154
2022-01-04 15:00:00+00:00,168959.963
2022-01-04 16:00:00+00:00,172685.402
2022-01-04 17:00:00+00:00,170174.401
2022-01-04 18:00:00+00:00,158965.96600000001
2022-01-04 19:00:00+00:00,144741.571
2022-01-04 20:00:00+00:00,132474.238
2022-01-04 21:00:00+00:00,124090.265
2022-01-04 22:00:00+00:00,114302.989
2022-01-04 23:00:00+00:00,105981.944
2022-01-05 00:00:00+00:00,103997.173
2022-01-05 01:00:00+00:00,99382.154
2022-01-05 02:00:00+00:00,97089.27
2022-01-05 03:00:00+00:00,99576.38500000001
2022-01-05 04:00:00+00:00,111416.534
2022-01-05 05:00:00+00:00,134544.62
2022-01-05 06:00:00+00:00,158186.939
2022-01-05 07:00:00+00:00,172733.863
2022-01-05 08:00:00+00:00,178673.991
2022-01-05 09:00:00+00:00,181150.212
2022-01-05 10:00:00+00:00,181449.61200000002
2022-01-05 11:00:00+00:00,180929.065
2022-01-05 12:00:00+00:00,176235.778
2022-01-05 13:00:00+00:00,172381.682
2022-01-05 14:00:00+00:00,170232.87
2022-01-05 15:00:00+00:00,173092.627
2022-01-05 16:00:00+00:00,179282.47100000002
2022-01-05 17:00:00+00:00,178893.373
2022-01-05 18:00:00+00:00,166735.525
2022-01-05 19:00:00+00:00,150303.785
2022-01-05 20:00:00+00:00,137682.763
2022-01-05 21:00:00+00:00,127991.83899999999
2022-01-05 22:00:00+00:00,117549.581
2022-01-05 23:00:00+00:00,108737.72
2022-01-06 00:00:00+00:00,106466.399
2022-01-06 01:00:00+00:00,101512.005
2022-01-06 02:00:00+00:00,98882.325
2022-01-06 03:00:00+00:00,101125.583
2022-01-06 04:00:00+00:00,114323.724
2022-01-06 05:00:00+00:00,136869.908
2022-01-06 06:00:00+00:00,162213.245
2022-01-06 07:00:00+00:00,175182.734
2022-01-06 08:00:00+00:00,179528.16999999998
2022-01-06 09:00:00+00:00,182708.338
2022-01-06 10:00:00+00:00,186626.348
2022-01-06 11:00:00+00:00,184467.646
2022-01-06 12:00:00+00:00,181228.166
2022-01-06 13:00:00+00:00,176305.812
2022-01-06 14:00:00+00:00,172158.12
2022-01-06 15:00:00+00:00,172767.65600000002
2022-01-06 16:00:00+00:00,177841.393
2022-01-06 17:00:00+00:00,176198.462
2022-01-06 18:00:00+00:00,165929.13400000002
2022-01-06 19:00:00+00:00,150483.081
2022-01-06 20:00:00+00:00,137552.039
2022-01-06 21:00:00+00:00,127801.17
2022-01-06 22:00:00+00:00,117931.48300000001
2022-01-06 23:00:00+00:00,110230.56
2022-01-07 00:00:00+00:00,108770.661
2022-01-07 01:00:00+00:00,103816.784
2022-01-07 02:00:00+00:00,100807.58799999999
2022-01-07 03:00:00+00:00,103789.632
2022-01-07 04:00:00+00:00,114900.037
2022-01-07 05:00:00+00:00,137490.995
2022-01-07 06:00:00+00:00,160549.068
2022-01-07 07:00:00+00:00,172989.302
2022-01-07 08:00:00+00:00,176271.802
2022-01-07 09:00:00+00:00,180769.731
2022-01-07 10:00:00+00:00,184652.271
2022-01-07 11:00:00+00:00,187209.77
2022-01-07 12:00:00+00:00,181326.046
2022-01-07 13:00:00+00:00,176378.388
2022-01-07 14:00:00+00:00,173605.883
2022-01-07 15:00:00+00:00,174741.913
2022-01-07 16:00:00+00:00,179845.358
2022-01-07 17:00:00+00:00,177263.24099999998
2022-01-07 18:00:00+00:00,165426.934
2022-01-07 19:00:00+00:00,149382.778
2022-01-07 20:00:00+00:00,136298.814
2022-01-07 21:00:00+00:00,128977.234
2022-01-07 22:00:00+00:00,119014.511
2022-01-07 23:00:00+00:00,111138.119
2022-01-08 00:00:00+00:00,110082.05900000001
2022-01-08 01:00:00+00:00,103522.25899999999
2022-01-08 02:00:00+00:00,99016.75200000001
2022-01-08 03:00:00+00:00,98732.556
2022-01-08 04:00:00+00:00,104027.223
2022-01-08 05:00:00+00:00,111403.245
2022-01-08 06:00:00+00:00,120952.164
2022-01-08 07:00:00+00:00,131106.44700000001
2022-01-08 08:00:00+00:00,141015.992
2022-01-08 09:00:00+00:00,146341.342
2022-01-08 10:00:00+00:00,148614.297
2022-01-08 11:00:00+00:00,151273.96600000001
2022-01-08 12:00:00+00:00,148442.562
2022-01-08 13:00:00+00:00,149716.079
2022-01-08 14:00:00+00:00,148953.915
2022-01-08 15:00:00+00:00,150207.51
2022-01-08 16:00:00+00:00,157412.949
2022-01-08 17:00:00+00:00,156870.89299999998
2022-01-08 18:00:00+00:00,147407.755
2022-01-08 19:00:00+00:00,139029.812
2022-01-08 20:00:00+00:00,129663.175
2022-01-08 21:00:00+00:00,121036.35800000001
2022-01-08 22:00:00+00:00,113183.00200000001
2022-01-08 23:00:00+00:00,106723.276
2022-01-09 00:00:00+00:00,100606.412
2022-01-09 01:00:00+00:00,96975.273
2022-01-09 02:00:00+00:00,95856.515
2022-01-09 03:00:00+00:00,96225.387
2022-01-09 04:00:00+00:00,99996.111
2022-01-09 05:00:00+00:00,103240.621
2022-01-09 06:00:00+00:00,108902.34
2022-01-09 07:00:00+00:00,114683.754
2022-01-09 08:00:00+00:00,122124.712
2022-01-09 09:00:00+00:00,128909.568
2022-01-09 10:00:00+00:00,134533.913
2022-01-09 11:00:00+00:00,137562.04499999998
2022-01-09 12:00:00+00:00,136876.08
2022-01-09 13:00:00+00:00,134630.024
2022-01-09 14:00:00+00:00,133173.407
2022-01-09 15:00:00+00:00,136708.528
2022-01-09 16:00:00+00:00,145559.044
2022-01-09 17:00:00+00:00,149414.801
2022-01-09 18:00:00+00:00,143485.302
2022-01-09 19:00:00+00:00,135882.981
2022-01-09 20:00:00+00:00,127737.42
2022-01-09 21:00:00+00:00,118940.685
2022-01-09 22:00:00+00:00,109228.254
2022-01-09 23:00:00+00:00,103823.453
2022-01-10 00:00:00+00:00,98956.468
2022-01-10 01:00:00+00:00,96475.676
2022-01-10 02:00:00+00:00,96589.916
2022-01-10 03:00:00+00:00,100492.094
2022-01-10 04:00:00+00:00,112812.057
2022-01-10 05:00:00+00:00,136469.585
2022-01-10 06:00:00+00:00,161785.285
2022-01-10 07:00:00+00:00,177042.555
2022-01-10 08:00:00+00:00,182823.773
2022-01-10 09:00:00+00:00,186281.582
2022-01-10 10:00:00+00:00,188149.88199999998
2022-01-10 11:00:00+00:00,185917.526
2022-01-10 12:00:00+00:00,181448.781
2022-01-10 13:00:00+00:00,178948.599
2022-01-10 14:00:00+00:00,176954.789
2022-01-10 15:00:00+00:00,174509.83000000002
2022-01-10 16:00:00+00:00,178902.025
2022-01-10 17:00:00+00:00,179564.55599999998
2022-01-10 18:00:00+00:00,167534.848
2022-01-10 19:00:00+00:00,152343.967
2022-01-10 20:00:00+00:00,138571.194
2022-01-10 21:00:00+00:00,128156.624
2022-01-10 22:00:00+00:00,117878.533
2022-01-10 23:00:00+00:00,109701.218
2022-01-11 00:00:00+00:00,108105.072
2022-01-11 01:00:00+00:00,108114.75
2022-01-11 02:00:00+00:00,101538.003
2022-01-11 03:00:00+00:00,103903.614
2022-01-11 04:00:00+00:00,117187.016
2022-01-11 05:00:00+00:00,141984.482
2022-01-11 06:00:00+00:00,167599.978
2022-01-11 07:00:00+00:00,181898.086
2022-01-11 08:00:00+00:00,187848.687
2022-01-11 09:00:00+00:00,193257.649
2022-01-11 10:00:00+00:00,196400.18
2022-01-11 11:00:00+00:00,196537.771
2022-01-11 12:00:00+00:00,189951.04200000002
2022-01-11 13:00:00+00:00,185963.90399999998
2022-01-11 14:00:00+00:00,183374.155
2022-01-11 15:00:00+00:00,181532.661
2022-01-11 16:00:00+00:00,184836.171
2022-01-11 17:00:00+00:00,184160.127
2022-01-11 18:00:00+00:00,171512.082
2022-01-11 19:00:00+00:00,154370.37
2022-01-11 20:00:00+00:00,140919.699
2022-01-11 21:00:00+00:00,131649.053
2022-01-11 22:00:00+00:00,120302.187
2022-01-11 23:00:00+00:00,111471.635
2022-01-12 00:00:00+00:00,111269.645
2022-01-12 01:00:00+00:00,106298.638
2022-01-12 02:00:00+00:00,103338.842
2022-01-12 03:00:00+00:00,106476.766
2022-01-12 04:00:00+00:00,119313.935
2022-01-12 05:00:00+00:00,142409.298
2022-01-12 06:00:00+00:00,168413.854
2022-01-12 07:00:00+00:00,181191.197
2022-01-12 08:00:00+00:00,186997.305
2022-01-12 09:00:00+00:00,188470.609
2022-01-12 10:00:00+00:00,190975.488
2022-01-12 11:00:00+00:00,190268.012
2022-01-12 12:00:00+00:00,184498.233
2022-01-12 13:00:00+00:00,179164.314
2022-01-12 14:00:00+00:00,176336.13199999998
