Station/Location,Datum,"Globalstrahlung, Tagesmittel","Gesamtschneehöhe, Morgenmessung von 6 UTC","Gesamtbewölkung, Tagesmittel","Luftdruck auf Stationshöhe (QFE), Tagesmittel","Niederschlag, Tagessumme 6 UTC - 6 UTC Folgetag","Sonnenscheindauer, Tagessumme","Lufttemperatur 2 m über Boden, Tagesmittel","Lufttemperatur 2 m über Boden, Tagesminimum","Lufttemperatur 2 m über Boden, Tagesmaximum","Relative Luftfeuchtigkeit 2 m über Boden, Tagesmittel"
St. Gallen,02.01.2023,37,0,,933.1,0.3,0,10.4,7.5,12.7,58.7
St. Gallen,06.01.2023,38,0,,933.1,0,121,5.6,3.1,7.7,83.4
St. Gallen,07.01.2023,33,0,,927.2,0,113,4.3,1.4,7.8,78.9
St. Gallen,08.01.2023,17,0,,918.3,7.7,0,5,3.2,6.5,75
St. Gallen,09.01.2023,29,0,,918,3.5,6,3.1,1,6.7,80.6
St. Gallen,12.01.2023,19,0,,930.5,0,0,5.4,3.5,7.1,62.2
St. Gallen,19.01.2023,51,5,,917.5,0,64,-4.4,-6.2,-2.5,70.5
St. Gallen,21.01.2023,12,6,,929.1,4.1,0,-5.1,-6.2,-4.1,92.3
St. Gallen,08.02.2023,61,4,,939.7,0,175,-5.1,-6.7,-3.2,88.4
St. Gallen,11.02.2023,92,3,,943.6,0,212,0.9,-2.9,4.7,60
St. Gallen,19.02.2023,24,0,,935.8,0.2,0,6.8,5.6,8.1,76.7
St. Gallen,22.02.2023,124,0,,924.7,3.1,355,8.4,6.2,12.7,59.5
St. Gallen,24.02.2023,103,0,,917.8,28.5,192,7.4,2.3,11.3,77
St. Gallen,26.02.2023,61,4,,921,0,28,-3.7,-5.1,-2.7,80.9
St. Gallen,28.02.2023,50,6,,929.6,0,0,-3.5,-4.7,-2.1,85.6
St. Gallen,07.03.2023,158,0,,913.9,0,380,2.2,-0.4,6.6,62.8
St. Gallen,08.03.2023,64,0,,911.1,11.4,3,6.2,0.3,11.4,69
St. Gallen,10.03.2023,64,0,,911,9.7,79,6,1.6,10.6,70.9
St. Gallen,11.03.2023,77,2,,919,3.9,0,0.4,-2,2,89.3
St. Gallen,12.03.2023,74,0,,924.8,3,119,5.6,0.7,8.5,81.3
St. Gallen,25.03.2023,168,0,,924.6,1.1,291,6.2,1.4,9.4,73.4
St. Gallen,27.03.2023,69,0,,927.1,4.2,65,1.3,-0.9,3.1,79.8
St. Gallen,30.03.2023,61,0,,925.9,2.9,127,12.3,9.1,16.1,60.2
St. Gallen,31.03.2023,98,0,,918.1,2.9,124,9.2,4.8,13.4,64.1
St. Gallen,17.04.2023,193,0,,929.1,0,299,6.5,4,10.7,84.3
St. Gallen,25.04.2023,148,0,,923.5,5.4,199,5.6,3.6,8.5,77.8
St. Gallen,26.04.2023,214,0,,926.8,0.6,235,6.9,2.8,11.3,75.3
St. Gallen,04.05.2023,315,0,,929.8,0,757,13.6,7.1,19.6,69.3
St. Gallen,14.05.2023,93,0,,924.9,4.1,49,9.1,8,12.1,92.5
St. Gallen,16.05.2023,36,0,,925.1,53.3,0,8.1,5.6,10.2,95.1
St. Gallen,20.05.2023,192,0,,925.4,0,112,12,6.7,16.7,83.8
St. Gallen,22.05.2023,313,0,,925.6,0,716,18.4,14.1,23.9,62.7
St. Gallen,24.05.2023,45,0,,929.1,4.9,0,9.7,8.2,11.7,90.9
