Station/Location,Datum,"Globalstrahlung, Tagesmittel","Gesamtschneehöhe, Morgenmessung von 6 UTC","Gesamtbewölkung, Tagesmittel","Luftdruck auf Stationshöhe (QFE), Tagesmittel","Niederschlag, Tagessumme 6 UTC - 6 UTC Folgetag","Sonnenscheindauer, Tagessumme","Lufttemperatur 2 m über Boden, Tagesmittel","Lufttemperatur 2 m über Boden, Tagesminimum","Lufttemperatur 2 m über Boden, Tagesmaximum","Relative Luftfeuchtigkeit 2 m über Boden, Tagesmittel"
St. Gallen,2023-01-02,37.0,0.0,,933.1,0.3,0.0,10.4,7.5,12.7,58.7
St. Gallen,2023-01-06,38.0,0.0,,933.1,0.0,121.0,5.6,3.1,7.7,83.4
St. Gallen,2023-01-07,33.0,0.0,,927.2,0.0,113.0,4.3,1.4,7.8,78.9
St. Gallen,2023-01-08,17.0,0.0,,918.3,7.7,0.0,5.0,3.2,6.5,75.0
St. Gallen,2023-01-09,29.0,0.0,,918.0,3.5,6.0,3.1,1.0,6.7,80.6
St. Gallen,2023-01-12,19.0,0.0,,930.5,0.0,0.0,5.4,3.5,7.1,62.2
St. Gallen,2023-01-19,51.0,5.0,,917.5,0.0,64.0,-4.4,-6.2,-2.5,70.5
St. Gallen,2023-01-21,12.0,6.0,,929.1,4.1,0.0,-5.1,-6.2,-4.1,92.3
St. Gallen,2023-02-08,61.0,4.0,,939.7,0.0,175.0,-5.1,-6.7,-3.2,88.4
St. Gallen,2023-02-11,92.0,3.0,,943.6,0.0,212.0,0.9,-2.9,4.7,60.0
St. Gallen,2023-02-19,24.0,0.0,,935.8,0.2,0.0,6.8,5.6,8.1,76.7
St. Gallen,2023-02-22,124.0,0.0,,924.7,3.1,355.0,8.4,6.2,12.7,59.5
St. Gallen,2023-02-24,103.0,0.0,,917.8,28.5,192.0,7.4,2.3,11.3,77.0
St. Gallen,2023-02-26,61.0,4.0,,921.0,0.0,28.0,-3.7,-5.1,-2.7,80.9
St. Gallen,2023-02-28,50.0,6.0,,929.6,0.0,0.0,-3.5,-4.7,-2.1,85.6
St. Gallen,2023-03-07,158.0,0.0,,913.9,0.0,380.0,2.2,-0.4,6.6,62.8
St. Gallen,2023-03-08,64.0,0.0,,911.1,11.4,3.0,6.2,0.3,11.4,69.0
St. Gallen,2023-03-10,64.0,0.0,,911.0,9.7,79.0,6.0,1.6,10.6,70.9
St. Gallen,2023-03-11,77.0,2.0,,919.0,3.9,0.0,0.4,-2.0,2.0,89.3
St. Gallen,2023-03-12,74.0,0.0,,924.8,3.0,119.0,5.6,0.7,8.5,81.3
St. Gallen,2023-03-25,168.0,0.0,,924.6,1.1,291.0,6.2,1.4,9.4,73.4
St. Gallen,2023-03-27,69.0,0.0,,927.1,4.2,65.0,1.3,-0.9,3.1,79.8
St. Gallen,2023-03-30,61.0,0.0,,925.9,2.9,127.0,12.3,9.1,16.1,60.2
St. Gallen,2023-03-31,98.0,0.0,,918.1,2.9,124.0,9.2,4.8,13.4,64.1
St. Gallen,2023-04-17,193.0,0.0,,929.1,0.0,299.0,6.5,4.0,10.7,84.3
St. Gallen,2023-04-25,148.0,0.0,,923.5,5.4,199.0,5.6,3.6,8.5,77.8
St. Gallen,2023-04-26,214.0,0.0,,926.8,0.6,235.0,6.9,2.8,11.3,75.3
St. Gallen,2023-05-04,315.0,0.0,,929.8,0.0,757.0,13.6,7.1,19.6,69.3
St. Gallen,2023-05-14,93.0,0.0,,924.9,4.1,49.0,9.1,8.0,12.1,92.5
St. Gallen,2023-05-16,36.0,0.0,,925.1,53.3,0.0,8.1,5.6,10.2,95.1
St. Gallen,2023-05-20,192.0,0.0,,925.4,0.0,112.0,12.0,6.7,16.7,83.8
St. Gallen,2023-05-22,313.0,0.0,,925.6,0.0,716.0,18.4,14.1,23.9,62.7
St. Gallen,2023-05-24,45.0,0.0,,929.1,4.9,0.0,9.7,8.2,11.7,90.9
St. Gallen,2023-05-26,331.0,0.0,,933.1,0.0,700.0,15.6,9.7,21.7,72.8
St. Gallen,2023-05-27,333.0,0.0,,930.8,0.0,799.0,15.2,9.8,21.1,68.8
St. Gallen,2023-06-12,360.0,0.0,,924.9,0.0,885.0,17.6,12.0,23.3,58.1
